,,,Catabolic titration - mean absolute concentration [mM],,,,,,,,,,,Anabolic titration - mean absolute concentration [mM],,,,,,,,
2-oxoglutarate,,C00026,0.30,0.24,0.25,0.36,0.53,0.40,0.45,0.41,,,,0.45,0.35,NaN,NaN,2.05,2.06,1.38,9.11,
succinate,,C00042,0.78,1.10,0.89,0.60,0.56,0.57,0.44,0.32,,,,1.61,1.25,1.62,1.71,1.43,1.31,1.26,1.56,
fumarate,,C00122,0.36,0.44,0.43,0.23,0.16,0.21,0.13,0.05,,,,0.52,0.40,0.49,1.16,1.12,1.07,0.86,0.78,
malate,,C00149,1.74,2.02,1.91,1.12,0.53,0.98,0.61,0.18,,,,2.15,1.79,2.03,3.40,3.32,3.30,2.50,2.24,
glutamine,,C00064,1.95,1.89,2.18,1.77,2.29,1.99,1.85,1.76,,,,2.10,1.74,2.26,5.62,7.10,9.34,12.98,15.35,
glutamate,,C00025,21.79,21.01,19.35,21.02,33.90,26.21,29.23,34.14,,,,22.56,20.32,22.97,NaN,11.98,15.36,12.20,9.01,
aspartate,,C00049,0.85,0.92,0.92,0.74,0.70,1.00,1.01,0.45,,,,0.98,0.84,0.82,0.22,0.23,0.25,0.22,0.20,
arginine,,C00062                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
tyrosine,,C00082                      ,0.04,0.06,0.07,0.04,0.06,0.05,0.07,0.05,,,,0.09,0.07,0.06,0.05,0.06,0.07,0.05,0.06,
AMP,,C00020,0.33,0.40,0.40,0.16,0.14,0.14,0.20,0.17,,,,0.46,0.45,0.44,0.23,0.33,0.36,0.24,0.24,
ADP,,C00008,0.46,0.52,0.61,0.57,0.70,0.57,0.63,0.65,,,,0.68,0.55,0.61,0.46,0.32,0.34,0.22,0.24,
ATP,,C00002,2.53,3.30,3.26,2.87,4.04,3.39,3.29,3.38,,,,3.50,2.96,2.28,2.54,1.86,2.72,1.28,1.15,
GMP,,C00144,0.07,0.09,0.03,NaN,0.02,0.01,0.01,0.01,,,,NaN,0.05,0.13,0.07,0.10,0.16,0.13,0.07,
GDP,,C00035,0.12,0.15,0.12,0.09,0.11,0.12,0.10,0.09,,,,0.15,0.11,0.19,0.15,0.16,0.11,0.12,0.09,
GTP,,C00044,1.00,2.10,1.77,1.65,1.69,1.04,0.93,0.86,,,,1.34,1.37,NaN,1.62,1.19,1.78,1.44,0.93,
IMP,,C00130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
GTT(red),,C00051                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
GTT(ox),,C00127                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NAD,,C00003                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NADH,,C00004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NADP,,C00006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NADPH,,C00005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
glycerol-phosphate,,C00093,0.45,0.50,0.47,0.48,0.63,0.52,0.50,0.51,,,,0.48,0.46,0.44,0.37,0.36,0.47,0.41,0.41,
panthothenate,,C00864,0.05,0.07,0.08,0.05,0.04,0.01,0.01,0.01,,,,0.10,0.08,0.09,0.00,0.00,0.00,0.00,0.00,
Ga6P,,C00352,0.19,0.16,0.17,0.14,0.20,0.19,0.17,0.15,,,,0.23,0.15,0.16,NaN,0.16,0.17,0.12,0.11,
UDP-hexose,assumed to be predominantly UDP-glucose,C00029 (UDP-glucose),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
cAMP,,C00575,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,STDEV,,,,,,,,,,,,,,,,,,,,
G6P,,C00092,0.04,0.02,0.05,0.09,0.01,0.05,0.06,0.05,,,,0.01,0.06,0.08,0.03,0.06,0.05,0.04,0.05,
F6P,,C00085,0.16,0.33,0.12,0.03,0.07,0.04,0.06,0.02,,,,0.27,0.16,0.39,0.22,0.22,0.13,0.03,0.09,
FBP,,C00354,0.26,0.11,0.64,0.11,0.02,0.01,0.35,0.03,,,,0.70,0.12,0.99,0.41,0.09,0.27,0.14,0.10,
DHAP,,C00111,0.17,0.17,0.35,0.10,0.01,0.04,0.17,0.01,,,,0.30,0.14,0.23,0.20,0.04,0.03,0.01,0.02,
xPG,pool of 3-phosphoglycerate (3PG) and 2-phosphoglycerate (2PG),C00197 (3PG); C00631 (2PG),0.05,0.09,0.13,0.03,0.04,0.11,0.07,0.13,,,,0.09,0.07,0.03,0.07,0.01,0.07,0.02,0.01,
PEP,,C00074,0.04,0.05,0.04,0.01,0.02,0.03,0.05,0.03,,,,0.05,0.03,0.05,0.02,0.00,0.02,0.01,0.00,
6PG,,C00345,0.08,0.24,0.36,0.52,0.16,0.62,0.44,0.02,,,,1.13,0.25,0.25,0.00,0.02,0.00,0.01,0.02,
R5P,,C00117,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,,,,0.01,0.01,0.04,0.01,0.00,0.02,0.01,0.00,
Ru5P,,C00199                      ,0.02,0.06,0.06,0.02,0.03,0.01,0.03,0.02,,,,0.02,0.05,0.05,0.01,0.03,0.03,0.04,0.02,
Xu5P,,C00231                      ,0.01,0.02,0.03,0.01,0.00,0.03,0.02,0.01,,,,0.02,0.03,0.05,0.01,0.02,0.02,0.02,0.01,
R1P,,C00620                      ,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.01,0.01,0.02,0.01,0.00,0.01,0.00,0.00,
S7P,,C05382                      ,0.02,0.08,0.04,0.02,0.05,0.03,0.06,0.06,,,,0.01,0.04,NaN,0.04,0.02,0.04,0.03,0.01,
AcCoA,,C00024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
citrate/isocitrate,pool of citrate (CIT) and isocitrate (ICIT),C00158 (CIT); C00311 (ICIT),0.01,0.07,0.12,0.03,0.01,0.04,0.08,0.01,,,,0.10,0.09,0.04,0.13,0.06,0.06,0.06,0.06,
aconitate,,C00417,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.02,0.00,0.01,0.01,0.01,0.02,
2-oxoglutarate,,C00026,0.01,0.10,0.06,0.10,0.05,0.07,0.11,0.10,,,,0.14,0.04,NaN,NaN,1.28,1.61,0.97,3.60,
succinate,,C00042,0.10,0.17,0.11,0.03,0.02,0.09,0.13,0.03,,,,0.17,0.05,0.03,0.13,0.03,0.09,0.05,0.01,
fumarate,,C00122,0.04,0.12,0.15,0.04,0.01,0.07,0.08,0.01,,,,0.06,0.03,0.12,0.14,0.08,0.09,0.18,0.02,
malate,,C00149,0.16,0.25,0.20,0.04,0.05,0.33,0.44,0.01,,,,0.26,0.32,0.20,0.50,0.33,0.12,0.32,0.17,
glutamine,,C00064,0.13,0.19,0.31,0.10,0.01,0.09,0.09,0.06,,,,0.11,0.07,0.06,0.93,0.01,0.85,0.82,1.03,
glutamate,,C00025,1.12,1.43,1.78,0.70,0.62,1.18,2.54,1.55,,,,2.53,0.74,1.12,NaN,0.68,2.92,2.18,0.29,
aspartate,,C00049,0.10,0.13,0.10,0.03,0.05,0.13,0.56,0.06,,,,0.12,0.07,0.06,0.05,0.01,0.00,0.02,0.01,
arginine,,C00062                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
tyrosine,,C00082                      ,0.01,0.01,0.05,0.01,0.01,0.01,0.03,0.01,,,,0.03,0.01,0.00,0.01,0.01,0.00,0.00,0.00,
AMP,,C00020,0.19,0.22,0.21,0.05,0.01,0.03,0.09,0.06,,,,0.25,0.26,0.23,0.13,0.03,0.06,0.02,0.03,
ADP,,C00008,0.07,0.05,0.04,0.08,0.03,0.10,0.05,0.02,,,,0.09,0.04,0.04,0.07,0.03,0.03,0.04,0.01,
ATP,,C00002,0.53,0.66,0.53,0.40,0.59,0.36,0.43,0.53,,,,0.20,0.51,1.01,0.69,0.28,1.10,0.53,0.05,
GMP,,C00144,0.05,0.06,0.02,NaN,0.01,0.01,0.01,0.01,,,,NaN,0.03,0.08,0.02,0.07,0.11,0.06,0.04,
GDP,,C00035,0.03,0.04,0.02,0.03,0.02,0.04,0.04,0.02,,,,0.03,0.04,0.08,0.04,0.02,0.03,0.03,0.02,
GTP,,C00044,0.08,0.40,0.80,0.39,0.09,0.07,0.40,0.20,,,,0.29,0.21,NaN,0.14,0.38,0.53,0.44,0.13,
IMP,,C00130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
GTT(red),,C00051                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
GTT(ox),,C00127                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NAD,,C00003                      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NADH,,C00004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NADP,,C00006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NADPH,,C00005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
glycerol-phosphate,,C00093,0.02,0.03,0.03,0.08,0.05,0.03,0.06,0.13,,,,0.03,0.05,0.03,0.05,0.01,0.04,0.02,0.02,
panthothenate,,C00864,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,,,,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
Ga6P,,C00352,0.02,0.02,0.02,0.03,0.02,0.06,0.04,0.01,,,,0.07,0.02,0.02,NaN,0.03,0.03,0.02,0.01,
UDP-hexose,assumed to be predominantly UDP-glucose,C00029 (UDP-glucose),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
cAMP,,C00575,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
