!!!SBtab						
!!SBtab Document='e_coli_noor_2016_glucose' TableName='Reaction' TableType='Reaction' SBtabVersion='1.0' Date='2019-06-11'						
!ID	!ReactionFormula	!Name	!NameForPlots	!Identifiers:kegg.reaction	!IsReversible	!Gene
PTS_RPTSsy	D_Glucose + Phosphoenolpyruvate <=> Pyruvate + D_Glucose_6_phosphate	PTS_RPTSsy	pts	RPTSsy	True	PTS
TXT_R01641	D_Xylulose_5_phosphate + D_Ribose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate	TXT_R01641	tkt1	R01641	True	TKT1
TAL_R08575	D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate <=> D_Erythrose_4_phosphate + D_Fructose_6_phosphate	TAL_R08575	tal	R08575	True	TAL
TXT_R01067	D_Erythrose_4_phosphate + D_Xylulose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + D_Fructose_6_phosphate	TXT_R01067	tkt2	R01067	True	TKT2
FBP_R00762	D_Fructose_1_6_bisphosphate <=> Orthophosphate + D_Fructose_6_phosphate	FBP_R00762	fbp	R00762	True	FBP
CSN_R00351	Acetyl_CoA + Oxaloacetate <=> CoA + Citrate	CSN_R00351	csn	R00351	True	CSN
ACN_R01325	Citrate <=> cis_Aconitate	ACN_R01325	acn1	R01325	True	ACN1
ACN_R01900	cis_Aconitate <=> Isocitrate	ACN_R01900	acn2	R01900	True	ACN2
ICD_R00709	NADplus + Isocitrate <=> NADH + _2_Oxoglutarate + CO2	ICD_R00709	icd	R00709	True	ICD
KGD_R08549	NADplus + _2_Oxoglutarate + CoA <=> NADH + CO2 + Succinyl_CoA	KGD_R08549	kgd	R08549	True	KGD
SCS_R00405	Orthophosphate + ADP + Succinyl_CoA <=> ATP + CoA + Succinate	SCS_R00405	scs	R00405	True	SCS
SDH_R02164	Ubiquinone + Succinate <=> Fumarate + Ubiquinol	SDH_R02164	sdh	R02164	True	SDH
FUM_R01082	Fumarate <=> _S__Malate	FUM_R01082	fum	R01082	True	FUM
MDH_R00342	_S__Malate + NADplus <=> NADH + Oxaloacetate	MDH_R00342	mdh	R00342	True	MDH
PPC_R00345	Orthophosphate + Oxaloacetate <=> CO2 + Phosphoenolpyruvate	PPC_R00345	ppc	R00345	True	PPC
%						
!!SBtab Document='e_coli_noor_2016_glucose' TableName='Compound' TableType='Compound' SBtabVersion='1.0' Date='2019-06-11'						
!ID	!Name	!NameForPlots	!Identifiers:kegg.compound	!IsConstant		
_S__Malate	(S)-Malate	(S)-Malate	C00149	False		
Acetyl_CoA	Acetyl-CoA	Acetyl-CoA	C00024	False		
Fumarate	Fumarate	Fumarate	C00122	False		
cis_Aconitate	cis-Aconitate	cis-Aconitate	C00417	False		
_6_Phospho_D_gluconate	6-Phospho-D-gluconate	6-Phospho-D-gluconate	C00345	False		
Orthophosphate	Orthophosphate	Orthophosphate	C00009	True		
Pyruvate	Pyruvate	Pyruvate	C00022	False		
NADPplus	NADP+	NADP+	C00006	True		
NADPH	NADPH	NADPH	C00005	True		
NADH	NADH	NADH	C00004	True		
NADplus	NAD+	NAD+	C00003	True		
ATP	ATP	ATP	C00002	True		
H2O	H2O	H2O	C00001	True		
_2_Oxoglutarate	2-Oxoglutarate	2-Oxoglutarate	C00026	False		
Oxaloacetate	Oxaloacetate	Oxaloacetate	C00036	True		
Ubiquinone	Ubiquinone	Ubiquinone	C00399	True		
D_Erythrose_4_phosphate	D-Erythrose 4-phosphate	D-Erythrose 4-phosphate	C00279	False		
Ubiquinol	Ubiquinol	Ubiquinol	C00390	True		
ADP	ADP	ADP	C00008	True		
Isocitrate	Isocitrate	Isocitrate	C00311	False		
D_Ribulose_5_phosphate	D-Ribulose 5-phosphate	D-Ribulose 5-phosphate	C00199	False		
D_Xylulose_5_phosphate	D-Xylulose 5-phosphate	D-Xylulose 5-phosphate	C00231	False		
D_Glucose_6_phosphate	D-Glucose 6-phosphate	D-Glucose 6-phosphate	C00092	False		
_3_Phospho_D_glyceroyl_phosphate	3-Phospho-D-glyceroyl phosphate	3-Phospho-D-glyceroyl phosphate	C00236	False		
CoA	CoA	CoA	C00010	False		
CO2	CO2	CO2	C00011	True		
D_Ribose_5_phosphate	D-Ribose 5-phosphate	D-Ribose 5-phosphate	C00117	False		
Glycerone_phosphate	Glycerone phosphate	Glycerone phosphate	C00111	False		
D_Glucose	D-Glucose	D-Glucose	C00031	True		
D_Fructose_1_6_bisphosphate	D-Fructose 1,6-bisphosphate	D-Fructose 1,6-bisphosphate	C00354	False		
D_Glyceraldehyde_3_phosphate	D-Glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	C00118	False		
Phosphoenolpyruvate	Phosphoenolpyruvate	Phosphoenolpyruvate	C00074	False		
Citrate	Citrate	Citrate	C00158	False		
Succinyl_CoA	Succinyl-CoA	Succinyl-CoA	C00091	False		
_3_Phospho_D_glycerate	3-Phospho-D-glycerate	3-Phospho-D-glycerate	C00197	False		
D_Glucono_1_5_lactone_6_phosphate	D-Glucono-1,5-lactone 6-phosphate	D-Glucono-1,5-lactone 6-phosphate	C01236	False		
D_Fructose_6_phosphate	D-Fructose 6-phosphate	D-Fructose 6-phosphate	C00085	False		
_2_Phospho_D_glycerate	2-Phospho-D-glycerate	2-Phospho-D-glycerate	C00631	False		
Succinate	Succinate	Succinate	C00042	False		
Sedoheptulose_7_phosphate	Sedoheptulose 7-phosphate	Sedoheptulose 7-phosphate	C05382	False		
%						
!!SBtab Document='e_coli_noor_2016_glucose' TableName='Layout' TableType='Layout' SBtabVersion='1.0' Date='2019-06-11'						
!Element	!PositionX	!PositionY				
_S__Malate	0.32772	0.095058				
Acetyl_CoA	0.359426	0.22902				
Fumarate	0.362438	-0.001611				
cis_Aconitate	0.561709	0.210402				
_6_Phospho_D_gluconate	0.616335	0.956914				
Orthophosphate	0.056437	0.637639				
Pyruvate	0.352063	0.308997				
NADPplus	0.059533	0.388417				
NADPH	0.061081	0.44724				
NADH	0.059533	0.561789				
NADplus	0.057985	0.506062				
ATP	0.056437	0.698009				
H2O	0.448708	0.128361				
_2_Oxoglutarate	0.643751	0.055607				
Oxaloacetate	0.355831	0.176347				
Ubiquinone	0.331064	-0.009408				
D_Erythrose_4_phosphate	0.503642	0.870531				
Ubiquinol	0.317132	-0.032627				
ADP	0.054889	0.758379				
Isocitrate	0.637559	0.137648				
D_Ribulose_5_phosphate	0.668449	0.871147				
D_Xylulose_5_phosphate	0.60891	0.841377				
D_Glucose_6_phosphate	0.351859	0.965424				
_3_Phospho_D_glyceroyl_phosphate	0.352021	0.64203				
CoA	0.391786	0.278709				
CO2	0.544682	0.123717				
D_Ribose_5_phosphate	0.613611	0.76147				
Glycerone_phosphate	0.267748	0.745939				
D_Glucose	0.110615	0.965805				
D_Fructose_1_6_bisphosphate	0.351859	0.828211				
D_Glyceraldehyde_3_phosphate	0.352021	0.721029				
Phosphoenolpyruvate	0.352007	0.406884				
Citrate	0.445962	0.220921				
Succinyl_CoA	0.586477	-0.018695				
_3_Phospho_D_glycerate	0.352021	0.569228				
D_Glucono_1_5_lactone_6_phosphate	0.493599	0.982833				
D_Fructose_6_phosphate	0.351859	0.895258				
_2_Phospho_D_glycerate	0.352021	0.485582				
Succinate	0.465736	-0.051202				
Sedoheptulose_7_phosphate	0.574673	0.821603				
PTS_RPTSsy	0.181365	0.96522				
PGI_R02740	0.352063	0.923947				
PFK_R04779	0.333521	0.858996				
ALD_R01070	0.352021	0.790734				
TIM_R01015	0.297009	0.716584				
GAP_R01061	0.351954	0.683129				
PGK_R01512	0.352471	0.606396				
PGM_R01518	0.352021	0.524307				
PGH_R00658	0.352007	0.437823				
PYK_R00200	0.352063	0.353918				
PDH_R00209	0.352021	0.265625				
ZWF_R00835	0.428585	0.982833				
GLH_R02035	0.584929	0.973545				
PGD_R01528	0.651221	0.918706				
RPI_R01056	0.663749	0.80064				
RPE_R01529	0.637113	0.860179				
TXT_R01641	0.501711	0.735972				
TAL_R08575	0.566723	0.88656				
TXT_R01067	0.426938	0.837812				
FBP_R00762	0.372405	0.857241				
CSN_R00351	0.392982	0.198019				
ACN_R01325	0.505983	0.224334				
ACN_R01900	0.61434	0.176347				
ICD_R00709	0.645299	0.100497				
KGD_R08549	0.62208	0.016908				
SCS_R00405	0.535394	-0.037271				
SDH_R02164	0.402092	-0.03917				
FUM_R01082	0.340351	0.035483				
MDH_R00342	0.33416	0.140744				
PPC_R00345	0.40095304	0.50690003				
%						
!!SBtab Document='e_coli_noor_2016_glucose' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		1.0590251	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		3.3790663	dimensionless	R02740	
equilibrium constant	PFK_R04779		3.4263123	dimensionless	R04779	
equilibrium constant	ALD_R01070		1.2955873	dimensionless	R01070	
equilibrium constant	TIM_R01015		11.520931	dimensionless	R01015	
equilibrium constant	GAP_R01061		1.1455421	dimensionless	R01061	
equilibrium constant	PGK_R01512		10.891927	dimensionless	R01512	
equilibrium constant	PGM_R01518		2.1582045	dimensionless	R01518	
equilibrium constant	PGH_R00658		0.44734927	dimensionless	R00658	
equilibrium constant	PYK_R00200		9.738756	dimensionless	R00200	
equilibrium constant	PDH_R00209		0.70806704	dimensionless	R00209	
equilibrium constant	ZWF_R00835		571.44972	dimensionless	R00835	
equilibrium constant	GLH_R02035		9.1813162	dimensionless	R02035	
equilibrium constant	PGD_R01528		39.285928	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.8561214	dimensionless	R01056	
equilibrium constant	RPE_R01529		1.4263734	dimensionless	R01529	
equilibrium constant	TXT_R01641		1.1748968	dimensionless	R01641	
equilibrium constant	TAL_R08575		1.0646883	dimensionless	R08575	
equilibrium constant	TXT_R01067		1.249071	dimensionless	R01067	
equilibrium constant	FBP_R00762		0.99999999	dimensionless	R00762	
equilibrium constant	CSN_R00351		72.497833	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.97578929	dimensionless	R01325	
equilibrium constant	ACN_R01900		2.1813473	dimensionless	R01900	
equilibrium constant	ICD_R00709		1.6219685	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.020292027	dimensionless	R08549	
equilibrium constant	SCS_R00405		10.169482	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.23275174	dimensionless	R02164	
equilibrium constant	FUM_R01082		20.098177	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.049996996	dimensionless	R00342	
equilibrium constant	PPC_R00345		0.14181468	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		202.06178	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		229.37181	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		246.40709	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		210.6757	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		254.87338	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		205.88363	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		250.96726	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		220.79152	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		185.18817	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		226.78675	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		185.0445	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		681.4386	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		249.59265	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		303.07154	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		204.71178	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		202.62388	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		201.3239	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		199.69186	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		200.83689	1/s	R01067	
catalytic rate constant geometric mean	FBP_R00762		199.93127	1/s	R00762	
catalytic rate constant geometric mean	CSN_R00351		248.09879	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		198.64103	1/s	R01325	
catalytic rate constant geometric mean	ACN_R01900		210.37422	1/s	R01900	
catalytic rate constant geometric mean	ICD_R00709		203.15079	1/s	R00709	
catalytic rate constant geometric mean	KGD_R08549		194.79001	1/s	R08549	
catalytic rate constant geometric mean	SCS_R00405		200.48586	1/s	R00405	
catalytic rate constant geometric mean	SDH_R02164		195.635	1/s	R02164	
catalytic rate constant geometric mean	FUM_R01082		252.41672	1/s	R01082	
catalytic rate constant geometric mean	MDH_R00342		188.80096	1/s	R00342	
catalytic rate constant geometric mean	PPC_R00345		216.01349	1/s	R00345	
Michaelis constant	FUM_R01082	_S__Malate	0.10801591	mM	R01082	C00149
Michaelis constant	MDH_R00342	_S__Malate	0.097967361	mM	R00342	C00149
Michaelis constant	PDH_R00209	Acetyl_CoA	0.10356212	mM	R00209	C00024
Michaelis constant	CSN_R00351	Acetyl_CoA	0.09034313	mM	R00351	C00024
Michaelis constant	SDH_R02164	Fumarate	0.10079804	mM	R02164	C00122
Michaelis constant	FUM_R01082	Fumarate	0.090993219	mM	R01082	C00122
Michaelis constant	ACN_R01325	cis_Aconitate	0.10031986	mM	R01325	C00417
Michaelis constant	ACN_R01900	cis_Aconitate	0.098092241	mM	R01900	C00417
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	0.10584233	mM	R02035	C00345
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.087064274	mM	R01528	C00345
Michaelis constant	GAP_R01061	Orthophosphate	0.10117525	mM	R01061	C00009
Michaelis constant	FBP_R00762	Orthophosphate	0.099996443	mM	R00762	C00009
Michaelis constant	SCS_R00405	Orthophosphate	0.099887723	mM	R00405	C00009
Michaelis constant	PPC_R00345	Orthophosphate	0.10162383	mM	R00345	C00009
Michaelis constant	PTS_RPTSsy	Pyruvate	0.099536002	mM	RPTSsy	C00022
Michaelis constant	PYK_R00200	Pyruvate	0.10184203	mM	R00200	C00022
Michaelis constant	PDH_R00209	Pyruvate	0.098070702	mM	R00209	C00022
Michaelis constant	ZWF_R00835	NADPplus	0.055059657	mM	R00835	C00006
Michaelis constant	PGD_R01528	NADPplus	0.081369588	mM	R01528	C00006
Michaelis constant	ZWF_R00835	NADPH	0.08794522	mM	R00835	C00005
Michaelis constant	PGD_R01528	NADPH	0.098318202	mM	R01528	C00005
Michaelis constant	GAP_R01061	NADH	0.098553659	mM	R01061	C00004
Michaelis constant	PDH_R00209	NADH	0.1037199	mM	R00209	C00004
Michaelis constant	ICD_R00709	NADH	0.099825133	mM	R00709	C00004
Michaelis constant	KGD_R08549	NADH	0.10125535	mM	R08549	C00004
Michaelis constant	MDH_R00342	NADH	0.10269647	mM	R00342	C00004
Michaelis constant	GAP_R01061	NADplus	0.1012752	mM	R01061	C00003
Michaelis constant	PDH_R00209	NADplus	0.097042873	mM	R00209	C00003
Michaelis constant	ICD_R00709	NADplus	0.099432835	mM	R00709	C00003
Michaelis constant	KGD_R08549	NADplus	0.098951412	mM	R08549	C00003
Michaelis constant	MDH_R00342	NADplus	0.097871096	mM	R00342	C00003
Michaelis constant	PFK_R04779	ATP	0.10160426	mM	R04779	C00002
Michaelis constant	PGK_R01512	ATP	0.10572118	mM	R01512	C00002
Michaelis constant	PYK_R00200	ATP	0.10361605	mM	R00200	C00002
Michaelis constant	SCS_R00405	ATP	0.10009338	mM	R00405	C00002
Michaelis constant	ICD_R00709	_2_Oxoglutarate	0.10032239	mM	R00709	C00026
Michaelis constant	KGD_R08549	_2_Oxoglutarate	0.099238387	mM	R08549	C00026
Michaelis constant	CSN_R00351	Oxaloacetate	0.090430895	mM	R00351	C00036
Michaelis constant	MDH_R00342	Oxaloacetate	0.10249135	mM	R00342	C00036
Michaelis constant	PPC_R00345	Oxaloacetate	0.10162824	mM	R00345	C00036
Michaelis constant	SDH_R02164	Ubiquinone	0.099573923	mM	R02164	C00399
Michaelis constant	TAL_R08575	D_Erythrose_4_phosphate	0.10000135	mM	R08575	C00279
Michaelis constant	TXT_R01067	D_Erythrose_4_phosphate	0.099976886	mM	R01067	C00279
Michaelis constant	SDH_R02164	Ubiquinol	0.10059867	mM	R02164	C00390
Michaelis constant	PFK_R04779	ADP	0.097134998	mM	R04779	C00008
Michaelis constant	PGK_R01512	ADP	0.093485942	mM	R01512	C00008
Michaelis constant	PYK_R00200	ADP	0.095961055	mM	R00200	C00008
Michaelis constant	SCS_R00405	ADP	0.099887189	mM	R00405	C00008
Michaelis constant	ACN_R01900	Isocitrate	0.098237222	mM	R01900	C00311
Michaelis constant	ICD_R00709	Isocitrate	0.099242776	mM	R00709	C00311
Michaelis constant	PGD_R01528	D_Ribulose_5_phosphate	0.11092092	mM	R01528	C00199
Michaelis constant	RPI_R01056	D_Ribulose_5_phosphate	0.099791976	mM	R01056	C00199
Michaelis constant	RPE_R01529	D_Ribulose_5_phosphate	0.099962763	mM	R01529	C00199
Michaelis constant	RPE_R01529	D_Xylulose_5_phosphate	0.09996628	mM	R01529	C00231
Michaelis constant	TXT_R01641	D_Xylulose_5_phosphate	0.10000648	mM	R01641	C00231
Michaelis constant	TXT_R01067	D_Xylulose_5_phosphate	0.099976808	mM	R01067	C00231
Michaelis constant	PTS_RPTSsy	D_Glucose_6_phosphate	0.099544068	mM	RPTSsy	C00092
Michaelis constant	PGI_R02740	D_Glucose_6_phosphate	0.099018161	mM	R02740	C00092
Michaelis constant	ZWF_R00835	D_Glucose_6_phosphate	0.079800789	mM	R00835	C00092
Michaelis constant	GAP_R01061	_3_Phospho_D_glyceroyl_phosphate	0.098566766	mM	R01061	C00236
Michaelis constant	PGK_R01512	_3_Phospho_D_glyceroyl_phosphate	0.093561708	mM	R01512	C00236
Michaelis constant	PDH_R00209	CoA	0.09712592	mM	R00209	C00010
Michaelis constant	CSN_R00351	CoA	0.10880705	mM	R00351	C00010
Michaelis constant	KGD_R08549	CoA	0.098981005	mM	R08549	C00010
Michaelis constant	SCS_R00405	CoA	0.1000855	mM	R00405	C00010
Michaelis constant	PDH_R00209	CO2	0.10349756	mM	R00209	C00011
Michaelis constant	PGD_R01528	CO2	0.11094429	mM	R01528	C00011
Michaelis constant	ICD_R00709	CO2	0.10043614	mM	R00709	C00011
Michaelis constant	KGD_R08549	CO2	0.10120404	mM	R08549	C00011
Michaelis constant	PPC_R00345	CO2	0.097746389	mM	R00345	C00011
Michaelis constant	RPI_R01056	D_Ribose_5_phosphate	0.10010318	mM	R01056	C00117
Michaelis constant	TXT_R01641	D_Ribose_5_phosphate	0.10001446	mM	R01641	C00117
Michaelis constant	ALD_R01070	Glycerone_phosphate	0.099627943	mM	R01070	C00111
Michaelis constant	TIM_R01015	Glycerone_phosphate	0.092448087	mM	R01015	C00111
Michaelis constant	PTS_RPTSsy	D_Glucose	0.10043766	mM	RPTSsy	C00031
Michaelis constant	PFK_R04779	D_Fructose_1_6_bisphosphate	0.097589114	mM	R04779	C00354
Michaelis constant	ALD_R01070	D_Fructose_1_6_bisphosphate	0.099280533	mM	R01070	C00354
Michaelis constant	FBP_R00762	D_Fructose_1_6_bisphosphate	0.09999644	mM	R00762	C00354
Michaelis constant	ALD_R01070	D_Glyceraldehyde_3_phosphate	0.10040987	mM	R01070	C00118
Michaelis constant	TIM_R01015	D_Glyceraldehyde_3_phosphate	0.10609688	mM	R01015	C00118
Michaelis constant	GAP_R01061	D_Glyceraldehyde_3_phosphate	0.1011737	mM	R01061	C00118
Michaelis constant	TXT_R01641	D_Glyceraldehyde_3_phosphate	0.099925499	mM	R01641	C00118
Michaelis constant	TAL_R08575	D_Glyceraldehyde_3_phosphate	0.10000179	mM	R08575	C00118
Michaelis constant	TXT_R01067	D_Glyceraldehyde_3_phosphate	0.099976559	mM	R01067	C00118
Michaelis constant	PTS_RPTSsy	Phosphoenolpyruvate	0.10011658	mM	RPTSsy	C00074
Michaelis constant	PGH_R00658	Phosphoenolpyruvate	0.10272962	mM	R00658	C00074
Michaelis constant	PYK_R00200	Phosphoenolpyruvate	0.09544819	mM	R00200	C00074
Michaelis constant	PPC_R00345	Phosphoenolpyruvate	0.09733906	mM	R00345	C00074
Michaelis constant	CSN_R00351	Citrate	0.11031752	mM	R00351	C00158
Michaelis constant	ACN_R01325	Citrate	0.099679098	mM	R01325	C00158
Michaelis constant	KGD_R08549	Succinyl_CoA	0.1012276	mM	R08549	C00091
Michaelis constant	SCS_R00405	Succinyl_CoA	0.099880967	mM	R00405	C00091
Michaelis constant	PGK_R01512	_3_Phospho_D_glycerate	0.10525212	mM	R01512	C00197
Michaelis constant	PGM_R01518	_3_Phospho_D_glycerate	0.10077273	mM	R01518	C00197
Michaelis constant	ZWF_R00835	D_Glucono_1_5_lactone_6_phosphate	0.11472245	mM	R00835	C01236
Michaelis constant	GLH_R02035	D_Glucono_1_5_lactone_6_phosphate	0.094032003	mM	R02035	C01236
Michaelis constant	PGI_R02740	D_Fructose_6_phosphate	0.10026393	mM	R02740	C00085
Michaelis constant	PFK_R04779	D_Fructose_6_phosphate	0.10091873	mM	R04779	C00085
Michaelis constant	TAL_R08575	D_Fructose_6_phosphate	0.10000133	mM	R08575	C00085
Michaelis constant	TXT_R01067	D_Fructose_6_phosphate	0.099976634	mM	R01067	C00085
Michaelis constant	FBP_R00762	D_Fructose_6_phosphate	0.099996438	mM	R00762	C00085
Michaelis constant	PGM_R01518	_2_Phospho_D_glycerate	0.098852186	mM	R01518	C00631
Michaelis constant	PGH_R00658	_2_Phospho_D_glycerate	0.097905253	mM	R00658	C00631
Michaelis constant	SCS_R00405	Succinate	0.10006576	mM	R00405	C00042
Michaelis constant	SDH_R02164	Succinate	0.099670907	mM	R02164	C00042
Michaelis constant	TXT_R01641	Sedoheptulose_7_phosphate	0.09992563	mM	R01641	C05382
Michaelis constant	TAL_R08575	Sedoheptulose_7_phosphate	0.10000175	mM	R08575	C05382
substrate catalytic rate constant	PTS_RPTSsy		209.47916	1/s	RPTSsy	
substrate catalytic rate constant	PGI_R02740		419.00911	1/s	R02740	
substrate catalytic rate constant	PFK_R04779		474.373	1/s	R04779	
substrate catalytic rate constant	ALD_R01070		755.44185	1/s	R01070	
substrate catalytic rate constant	TIM_R01015		807.54347	1/s	R01015	
substrate catalytic rate constant	GAP_R01061		71.986032	1/s	R01061	
substrate catalytic rate constant	PGK_R01512		734.33671	1/s	R01512	
substrate catalytic rate constant	PGM_R01518		327.49678	1/s	R01518	
substrate catalytic rate constant	PGH_R00658		120.91822	1/s	R00658	
substrate catalytic rate constant	PYK_R00200		659.36172	1/s	R00200	
substrate catalytic rate constant	PDH_R00209		141.98283	1/s	R00209	
substrate catalytic rate constant	ZWF_R00835		10749.933	1/s	R00835	
substrate catalytic rate constant	GLH_R02035		712.84057	1/s	R02035	
substrate catalytic rate constant	PGD_R01528		4596.6194	1/s	R01528	
substrate catalytic rate constant	RPI_R01056		278.46455	1/s	R01056	
substrate catalytic rate constant	RPE_R01529		241.99122	1/s	R01529	
substrate catalytic rate constant	TXT_R01641		218.40574	1/s	R01641	
substrate catalytic rate constant	TAL_R08575		206.0504	1/s	R08575	
substrate catalytic rate constant	TXT_R01067		224.45958	1/s	R01067	
substrate catalytic rate constant	FBP_R00762		632.24944	1/s	R00762	
substrate catalytic rate constant	CSN_R00351		1742.7792	1/s	R00351	
substrate catalytic rate constant	ACN_R01325		195.59403	1/s	R01325	
substrate catalytic rate constant	ACN_R01900		310.48042	1/s	R01900	
substrate catalytic rate constant	ICD_R00709		810.38274	1/s	R00709	
substrate catalytic rate constant	KGD_R08549		26.859554	1/s	R08549	
substrate catalytic rate constant	SCS_R00405		637.46228	1/s	R00405	
substrate catalytic rate constant	SDH_R02164		93.374408	1/s	R02164	
substrate catalytic rate constant	FUM_R01082		1038.621	1/s	R01082	
substrate catalytic rate constant	MDH_R00342		40.292363	1/s	R00342	
substrate catalytic rate constant	PPC_R00345		84.7525	1/s	R00345	
product catalytic rate constant	PTS_RPTSsy		194.90705	1/s	RPTSsy	
product catalytic rate constant	PGI_R02740		125.56154	1/s	R02740	
product catalytic rate constant	PFK_R04779		127.99306	1/s	R04779	
product catalytic rate constant	ALD_R01070		58.752701	1/s	R01070	
product catalytic rate constant	TIM_R01015		80.442036	1/s	R01015	
product catalytic rate constant	GAP_R01061		588.83741	1/s	R01061	
product catalytic rate constant	PGK_R01512		85.77069	1/s	R01512	
product catalytic rate constant	PGM_R01518		148.85305	1/s	R01518	
product catalytic rate constant	PGH_R00658		283.61861	1/s	R00658	
product catalytic rate constant	PYK_R00200		78.003058	1/s	R00200	
product catalytic rate constant	PDH_R00209		241.16624	1/s	R00209	
product catalytic rate constant	ZWF_R00835		43.196414	1/s	R00835	
product catalytic rate constant	GLH_R02035		87.391897	1/s	R02035	
product catalytic rate constant	PGD_R01528		19.982589	1/s	R01528	
product catalytic rate constant	RPI_R01056		150.49282	1/s	R01056	
product catalytic rate constant	RPE_R01529		169.66086	1/s	R01529	
product catalytic rate constant	TXT_R01641		185.57806	1/s	R01641	
product catalytic rate constant	TAL_R08575		193.52954	1/s	R08575	
