!!!SBtab				
				
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'				
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	S_1_Mean	S_1_Std
concentration	D_Erythrose_4_phosphate	C00279	NaN	
concentration	Ubiquinol	C00390	NaN	
concentration	ADP	C00008	0.823	
concentration	Isocitrate	C00311	0.02	
concentration	D_Ribulose_5_phosphate	C00199	NaN	
concentration	D_Xylulose_5_phosphate	C00231	NaN	
concentration	D_Glucose_6_phosphate	C00092	0.801	
concentration	_3_Phospho_D_glyceroyl_phosphate	C00236	NaN	
concentration	CoA	C00010	1.37	
concentration	CO2	C00011	NaN	
concentration	D_Ribose_5_phosphate	C00117	1.32	
concentration	Glycerone_phosphate	C00111	0.203	
concentration	D_Glucose	C00031	17.363	
concentration	D_Fructose_1_6_bisphosphate	C00354	1.9	
concentration	D_Glyceraldehyde_3_phosphate	C00118	NaN	
concentration	Phosphoenolpyruvate	C00074	0.196	
concentration	Citrate	C00158	12.99	
concentration	Succinyl_CoA	C00091	0.233	
concentration	_3_Phospho_D_glycerate	C00197	1.54	
concentration	D_Glucono_1_5_lactone_6_phosphate	C01236	NaN	
concentration	D_Fructose_6_phosphate	C00085	NaN	
concentration	_2_Phospho_D_glycerate	C00631	NaN	
concentration	Succinate	C00042	0.569	
concentration	Sedoheptulose_7_phosphate	C05382	NaN	
				
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'				
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	S_1_Mean	
concentration of enzyme	PTS_RPTSsy	RPTSsy	0.0052772441	
concentration of enzyme	PGI_R02740	R02740	0.0044271666	
concentration of enzyme	PFK_R04779	R04779	0.0024618428	
concentration of enzyme	ALD_R01070	R01070	NaN	
concentration of enzyme	TIM_R01015	R01015	0.0061319332	
concentration of enzyme	GAP_R01061	R01061	0.024067338	
concentration of enzyme	PGK_R01512	R01512	0.014506657	
concentration of enzyme	PGM_R01518	R01518	0.0080626697	
concentration of enzyme	PGH_R00658	R00658	0.024884366	
concentration of enzyme	PYK_R00200	R00200	0.0076606892	
concentration of enzyme	PDH_R00209	R00209	0.0077736742	
concentration of enzyme	ZWF_R00835	R00835	0.0014011675	
concentration of enzyme	GLH_R02035	R02035	0.0017831643	
concentration of enzyme	PGD_R01528	R01528	0.013452899	
concentration of enzyme	RPI_R01056	R01056	0.003620131	
concentration of enzyme	RPE_R01529	R01529	0.0023565439	
concentration of enzyme	TXT_R01641	R01641	NaN	
concentration of enzyme	TAL_R08575	R08575	0.0098996364	
concentration of enzyme	TXT_R01067	R01067	0.0017969992	
concentration of enzyme	FBP_R00762	R00762	NaN	
concentration of enzyme	CSN_R00351	R00351	0.0060373947	
concentration of enzyme	ACN_R01325	R01325	NaN	
concentration of enzyme	ACN_R01900	R01900	0.0060312459	
concentration of enzyme	ICD_R00709	R00709	0.017891595	
concentration of enzyme	KGD_R08549	R08549	0.0053033767	
concentration of enzyme	SCS_R00405	R00405	0.0075992007	
concentration of enzyme	SDH_R02164	R02164	0.0032181505	
concentration of enzyme	FUM_R01082	R01082	0.0015986991	
concentration of enzyme	MDH_R00342	R00342	0.024144199	
concentration of enzyme	PPC_R00345	R00345	0.006214174	
