!!!SBtab DocumentName='CMB result' Document='CMBresult' CalculationTime='145.092226 s'			
			
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'			
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	S1
concentration of enzyme	FBP_R00762		0.0020129785
concentration of enzyme	CSN_R00351		0.00074618166
concentration of enzyme	ACN_R01325		0.001637086
concentration of enzyme	ACN_R01900		0.0032773933
concentration of enzyme	ICD_R00709		0.0027420929
concentration of enzyme	KGD_R08549		0.00041331903
concentration of enzyme	SCS_R00405		0.00057504866
concentration of enzyme	SDH_R02164		0.00061654177
concentration of enzyme	FUM_R01082		0.0023213792
concentration of enzyme	MDH_R00342		0.00057150094
concentration of enzyme	PPC_R00345		0.00094711947
			
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'			
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	S1
Gibbs energy of reaction	PTS_RPTSsy		-0.41306391
Gibbs energy of reaction	PGI_R02740		7.9947839
Gibbs energy of reaction	PFK_R04779		-2.5974232
Gibbs energy of reaction	ALD_R01070		-0.62278945
Gibbs energy of reaction	TIM_R01015		-3.3227125
Gibbs energy of reaction	GAP_R01061		-14.794043
Gibbs energy of reaction	PGK_R01512		-2.9024907
Gibbs energy of reaction	PGM_R01518		-0.0033369828
Gibbs energy of reaction	PGH_R00658		-0.0023701005
Gibbs energy of reaction	PYK_R00200		3.3611064
Gibbs energy of reaction	PDH_R00209		0.65812004
Gibbs energy of reaction	ZWF_R00835		9.213239
Gibbs energy of reaction	GLH_R02035		3.7271703
Gibbs energy of reaction	PGD_R01528		18.574193
Gibbs energy of reaction	RPI_R01056		0.032832977
Gibbs energy of reaction	RPE_R01529		0.039522535
Gibbs energy of reaction	TXT_R01641		0.22315454
Gibbs energy of reaction	TAL_R08575		2.8847187
Gibbs energy of reaction	TXT_R01067		0.080833943
Gibbs energy of reaction	FBP_R00762		19.492041
Gibbs energy of reaction	CSN_R00351		0.11498432
Gibbs energy of reaction	ACN_R01325		0.0010940614
Gibbs energy of reaction	ACN_R01900		0.0198742
Gibbs energy of reaction	ICD_R00709		5.072322
Gibbs energy of reaction	KGD_R08549		10.312485
Gibbs energy of reaction	SCS_R00405		4.4672684
Gibbs energy of reaction	SDH_R02164		0.2185148
Gibbs energy of reaction	FUM_R01082		0.00082535572
Gibbs energy of reaction	MDH_R00342		4.9217322
Gibbs energy of reaction	PPC_R00345		-9.629364
			
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'			
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	S1
rate of reaction	PTS_RPTSsy		-0.0010480156
rate of reaction	PGI_R02740		0.15020883
rate of reaction	PFK_R04779		-0.00028762697
rate of reaction	ALD_R01070		-0.0066650682
rate of reaction	TIM_R01015		-0.0066650682
rate of reaction	GAP_R01061		-7.4799201e-06
rate of reaction	PGK_R01512		-7.4800201e-06
rate of reaction	PGM_R01518		-7.4800472e-06
rate of reaction	PGH_R00658		-7.4800475e-06
rate of reaction	PYK_R00200		0.001048158
rate of reaction	PDH_R00209		1.4601142e-07
rate of reaction	ZWF_R00835		0.0013364285
rate of reaction	GLH_R02035		0.0013366201
rate of reaction	PGD_R01528		0.0013392375
rate of reaction	RPI_R01056		0.00055455891
rate of reaction	RPE_R01529		0.0007981756
rate of reaction	TXT_R01641		0.00055276312
rate of reaction	TAL_R08575		0.00055722369
rate of reaction	TXT_R01067		0.00024872175
rate of reaction	FBP_R00762		0.69917499
rate of reaction	CSN_R00351		1.65402e-05
rate of reaction	ACN_R01325		2.1643747e-05
rate of reaction	ACN_R01900		8.1740771e-05
rate of reaction	ICD_R00709		8.2120559e-05
rate of reaction	KGD_R08549		2.2357507e-05
rate of reaction	SCS_R00405		3.4570765e-06
rate of reaction	SDH_R02164		3.6497623e-06
rate of reaction	FUM_R01082		2.6358193e-05
rate of reaction	MDH_R00342		4.5398347e-05
rate of reaction	PPC_R00345		-2.0502983e-05
