!!!SBtab										
										
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'										
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
rate of reaction	ZWF_R00835	R00835	0.00013226515	3.439338e-05	0.00014308745	5.2304999e-05	0.00011452909	3.8950395e-05	9.5807712e-05	4.7640043e-05
rate of reaction	GLH_R02035	R02035	3.46493e-05	3.4416427e-05	0.00011135044	4.1150615e-05	0.00010239739	3.9211841e-05	0.00011336867	4.7939702e-05
rate of reaction	PGD_R01528	R01528	0.00013645306	3.5387465e-05	0.00020270287	4.1032935e-05	0.0001222421	3.4745708e-05	0.00019703896	5.208537e-05
rate of reaction	RPI_R01056	R01056	4.2376976e-05	2.1085207e-05	8.2581505e-05	2.7129757e-05	8.1044477e-05	2.4342289e-05	3.8338958e-05	2.3666972e-05
rate of reaction	RPE_R01529	R01529	8.4545166e-05	2.761155e-05	0.00010999111	2.1229562e-05	6.3708147e-05	2.5880452e-05	3.0616208e-05	3.8299273e-05
rate of reaction	TXT_R01641	R01641	8.4376035e-05	2.2988895e-05	5.185343e-05	2.0486917e-05	9.9033757e-05	2.5609611e-05	5.507111e-05	1.6625966e-05
rate of reaction	TAL_R08575	R08575	1.6685103e-05	1.89651e-05	4.6693397e-05	2.0112641e-05	5.5679915e-05	2.2125821e-05	5.3667904e-05	2.3293083e-05
rate of reaction	TXT_R01067	R01067	3.3766928e-05	1.9884572e-05	1.8435678e-05	1.8992177e-05	4.0074143e-05	1.8930761e-05	5.2671342e-05	1.7782653e-05
rate of reaction	FBP_R00762	R00762	0	1.1239318e-05	0	1.1239318e-05	0	1.1239318e-05	0	1.1239318e-05
rate of reaction	CSN_R00351	R00351	0.00052099945	9.8043476e-05	6.4784733e-05	3.4696335e-05	0.00038474984	7.7694835e-05	0.00023451705	6.0170865e-05
rate of reaction	ACN_R01325	R01325	0.00023533086	5.8113158e-05	0.00013386048	4.9198816e-05	0.00013248594	5.4624646e-05	0.00015760861	4.3467895e-05
rate of reaction	ACN_R01900	R01900	0.00028232474	5.735179e-05	0.00027813574	5.3303902e-05	0.0002380521	5.4962442e-05	0.00018403469	4.8411448e-05
rate of reaction	ICD_R00709	R00709	0.00029432228	5.6950638e-05	0.00015225777	5.406056e-05	0.00021427466	5.5113185e-05	0.00030089776	5.0356049e-05
rate of reaction	KGD_R08549	R08549	0.00020913454	4.5181712e-05	0.00012326546	4.0113686e-05	0.00016833254	3.9821462e-05	4.2174477e-05	2.1434545e-05
rate of reaction	SCS_R00405	R00405	0.00014134426	4.3599193e-05	0.00024495796	4.5780842e-05	0.00010174559	3.8177577e-05	0.00022940307	3.589031e-05
rate of reaction	SDH_R02164	R02164	7.4560931e-05	2.3364038e-05	9.4479059e-05	2.7009408e-05	8.0482338e-05	3.322648e-05	4.3248672e-05	3.0020204e-05
rate of reaction	FUM_R01082	R01082	5.2816664e-05	1.8679153e-05	2.9158128e-05	1.5300457e-05	6.4732479e-05	3.2018634e-05	0.00015212309	3.9377986e-05
rate of reaction	MDH_R00342	R00342	-4.5659812e-05	2.1692311e-05	-9.6703962e-05	2.3805881e-05	3.4410091e-05	1.8820099e-05	0.00011119189	4.7410135e-05
rate of reaction	PPC_R00345	R00345	-0.00036573185	0.00010974356	-0.00019108243	4.7641685e-05	-0.00041891814	7.0696236e-05	-5.1312254e-05	2.3623446e-05
										
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'										
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration	_S__Malate	C00149	1.1950688	0.21971011	0.9922688	0.18242589	0.63404367	0.11656718	0.42997783	0.07905024
concentration	Acetyl_CoA	C00024	0.14390707	0.026456919	0.2406859	0.04424944	0.20615303	0.037900668	0.33867897	0.062265196
concentration	Fumarate	C00122	0.359271	0.066050984	0.26382511	0.048503521	0.25811805	0.047454292	0.22484087	0.041336374
concentration	cis_Aconitate	C00417	0.3483722	0.064047271	0.089282756	0.016414389	0.047674683	0.0087648593	0.065428581	0.012028864
concentration	_6_Phospho_D_gluconate	C00345	0.072258249	0.01328448	0.038387981	0.0070575247	0.12749654	0.023439888	0.081619975	0.015005608
concentration	Orthophosphate	C00009	12.340684	2.2688008	9.3295473	1.7152116	6.2883327	1.1560927	7.7827256	1.4308327
concentration	Pyruvate	C00022	1.0485078	0.19276526	0.52103259	0.095790407	0.1335682	0.024556146	0.37819064	0.069529308
concentration	NADPplus	C00006	0.23362959	0.042952157	0.25626592	0.047113783	0.15210929	0.027964874	0.29396017	0.054043767
concentration	NADPH	C00005	0.073418556	0.013497799	0.11398032	0.020954968	0.1160236	0.02133062	0.048576173	0.0089305956
concentration	NADH	C00004	0.0031662529	0.00058210687	0.0047692762	0.0008768183	0.0043415066	0.00079817403	0.0019114926	0.00035142266
concentration	NADplus	C00003	9.6855585	1.7806633	3.5736024	0.65699696	7.3617156	1.3534311	4.3758213	0.8044827
concentration	ATP	C00002	0.73759463	0.13560474	0.45907209	0.084399139	0.86127472	0.15834299	0.61641584	0.11332636
concentration	H2O	C00001	0.11151324	0.020501402	0.28708929	0.052780576	0.072705657	0.013366735	0.13448773	0.024725199
concentration	_2_Oxoglutarate	C00026	0.95792046	0.17611104	0.29056786	0.0534201	0.11518161	0.021175822	0.34329004	0.063112929
concentration	Oxaloacetate	C00036	0.18567586	0.034135996	0.024866464	0.004571631	0.025041825	0.0046038706	0.0090902728	0.0016712216
concentration	Ubiquinone	C00399	0.085155739	0.015655648	0.070597443	0.012979146	0.17643103	0.03243636	0.12559731	0.02309072
concentration	D_Erythrose_4_phosphate	C00279	0.069133619	0.012710026	0.099333205	0.018262136	0.11579907	0.02128934	0.12932405	0.02377587
concentration	Ubiquinol	C00390	0.064221472	0.011806941	0.078377193	0.014409431	0.042363033	0.007788327	0.076426516	0.014050805
concentration	ADP	C00008	0.25402026	0.046700926	0.25723574	0.047292083	0.31820006	0.058500205	0.28664806	0.052699457
concentration	Isocitrate	C00311	0.18140573	0.033350944	0.020769956	0.0038184993	0.0164285	0.0030203345	0.020724489	0.0038101402
concentration	D_Ribulose_5_phosphate	C00199	0.21066643	0.038730444	0.20558924	0.037797016	0.15035767	0.027642844	0.2990924	0.054987314
concentration	D_Xylulose_5_phosphate	C00231	0.64691339	0.11893325	0.92997838	0.17097396	0.49369903	0.090765207	0.51654914	0.094966137
concentration	D_Glucose_6_phosphate	C00092	0.27760839	0.051037538	0.92850033	0.17070223	1.1867677	0.21818397	0.42610219	0.078337714
concentration	_3_Phospho_D_glyceroyl_phosphate	C00236	0.023003948	0.0042292124	0.030006559	0.0055166233	0.041383099	0.0076081689	0.04556527	0.0083770494
concentration	CoA	C00010	0.072831433	0.013389858	0.068044306	0.012509758	0.044316181	0.0081474078	0.021319515	0.0039195342
concentration	CO2	C00011	0.13046706	0.02398601	0.099736052	0.018336199	0.072451937	0.013320089	0.1043371	0.019182088
concentration	D_Ribose_5_phosphate	C00117	0.37163031	0.06832321	0.26033332	0.047861564	0.25707881	0.047263232	0.44827401	0.082413942
concentration	Glycerone_phosphate	C00111	0.71537236	0.13151924	2.3958461	0.44046971	0.74234622	0.13647831	1.0226191	0.18800571
concentration	D_Glucose	C00031	0.088566646	0.016282734	0.095582406	0.017572562	0.045592228	0.0083820055	0.089481786	0.01645098
concentration	D_Fructose_1_6_bisphosphate	C00354	0.57281175	0.10530986	3.3866209	0.62262094	1.0326537	0.18985054	2.1744211	0.39976133
concentration	D_Glyceraldehyde_3_phosphate	C00118	0.062947845	0.011572788	0.19171449	0.035246182	0.060026429	0.011035694	0.086185136	0.0158449
concentration	Phosphoenolpyruvate	C00074	0.3830125	0.070415794	0.14632291	0.026901064	0.13221055	0.024306545	0.04459933	0.008199464
concentration	Citrate	C00158	8.8689561	1.6305332	19.272898	3.5432691	11.371619	2.0906408	7.9393584	1.4596292
concentration	Succinyl_CoA	C00091	0.21817168	0.040110262	0.099979755	0.018381003	0.13168001	0.024209007	0.11658202	0.021433284
concentration	_3_Phospho_D_glycerate	C00197	3.4635236	0.63675927	2.3479795	0.43166957	1.4558295	0.26765024	2.2647368	0.41636563
concentration	D_Glucono_1_5_lactone_6_phosphate	C01236	0.0012756084	0.00023451709	0.17563629	0.032290249	0.12439843	0.022870308	0.0060376586	0.0011100069
concentration	D_Fructose_6_phosphate	C00085	0.023616248	0.0043417822	0.19369419	0.035610143	0.054067832	0.0099402221	0.077604857	0.014267439
concentration	_2_Phospho_D_glycerate	C00631	0.20258773	0.037245196	0.17868266	0.032850314	0.12740813	0.023423634	0.066401638	0.012207758
concentration	Succinate	C00042	1.276062	0.23460049	0.28128919	0.051714242	0.062845092	0.011553897	0.15588108	0.028658308
concentration	Sedoheptulose_7_phosphate	C05382	0.48121372	0.088469817	0.75139387	0.13814169	0.71831072	0.13205945	1.2613347	0.23189291
										
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'										
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration of enzyme	PTS_RPTSsy	RPTSsy	2.6680308e-10	4.9051011e-11	6.2427412e-10	1.1477108e-10	3.535986e-10	6.5008129e-11	4.3727169e-10	8.0391197e-11
concentration of enzyme	PGI_R02740	R02740	0.00011594678	2.1316497e-05	0.00020697238	3.8051302e-05	0.00017580582	3.2321417e-05	0.00018053695	3.3191222e-05
concentration of enzyme	PFK_R04779	R04779	1.6272028e-06	2.9915675e-07	1.6522346e-06	3.0375879e-07	2.6243975e-06	4.8248825e-07	1.3679162e-06	2.5148763e-07
concentration of enzyme	ALD_R01070	R01070	1.1282416e-06	2.0742411e-07	1.4136621e-06	2.5989789e-07	4.1851208e-07	7.6942293e-08	5.4546874e-07	1.0028293e-07
concentration of enzyme	TIM_R01015	R01015	0.004667522	0.00085811107	0.0015987373	0.00029392345	0.0034103999	0.00062699264	0.0021703054	0.00039900467
concentration of enzyme	GAP_R01061	R01061	0.011347766	0.0020862556	0.014560794	0.0026769619	0.015028187	0.0027628907	0.0087499981	0.0016086631
concentration of enzyme	PGK_R01512	R01512	0.0059033943	0.0010853228	0.0069460367	0.0012770097	0.0051877152	0.00095374715	0.0039560075	0.00072730109
concentration of enzyme	PGM_R01518	R01518	0.0022423542	0.00041225064	0.0014609205	0.00026858621	0.0015561101	0.00028608657	0.00079049597	0.00014533051
concentration of enzyme	PGH_R00658	R00658	6.3324494e-07	1.1642034e-07	8.2172026e-07	1.5107101e-07	1.2143639e-06	2.2325746e-07	8.5494003e-07	1.5717837e-07
concentration of enzyme	PYK_R00200	R00200	2.5326633e-05	4.6562317e-06	1.7185779e-05	3.1595582e-06	2.961626e-05	5.4448679e-06	1.1806634e-05	2.1706172e-06
concentration of enzyme	PDH_R00209	R00209	2.8810549e-07	5.2967401e-08	8.7911158e-08	1.6162224e-08	2.6486344e-07	4.8694414e-08	3.8203903e-07	7.0236825e-08
concentration of enzyme	ZWF_R00835	R00835	6.1395696e-07	1.128743e-07	5.889232e-07	1.0827191e-07	8.6384313e-07	1.5881518e-07	6.1933004e-07	1.1386212e-07
concentration of enzyme	GLH_R02035	R02035	3.2525346e-06	5.9796952e-07	1.5109222e-06	2.7777889e-07	1.6935728e-06	3.1135869e-07	2.5640242e-06	4.7138879e-07
concentration of enzyme	PGD_R01528	R01528	1.1480419e-06	2.1106434e-07	1.1992421e-06	2.2047736e-07	6.8871292e-07	1.2661797e-07	9.2068595e-07	1.6926558e-07
concentration of enzyme	RPI_R01056	R01056	0.0045916449	0.00084416126	0.0046673495	0.00085807935	0.0076406639	0.001404715	0.0075410566	0.0013864025
concentration of enzyme	RPE_R01529	R01529	2.6945565e-06	4.953868e-07	2.8306925e-06	5.2041501e-07	2.3420795e-06	4.3058487e-07	2.3100458e-06	4.2469556e-07
concentration of enzyme	TXT_R01641	R01641	2.9769305e-08	5.4730047e-09	5.9278286e-08	1.089815e-08	7.1819574e-08	1.3203831e-08	3.6243372e-08	6.6632441e-09
concentration of enzyme	TAL_R08575	R08575	5.0957953e-05	9.3684793e-06	3.3559514e-05	6.1698242e-06	8.4210751e-05	1.5481915e-05	5.3071795e-05	9.7571034e-06
concentration of enzyme	TXT_R01067	R01067	2.2282106e-06	4.0965038e-07	6.6974892e-06	1.2313149e-06	2.7860867e-06	5.1221438e-07	2.9890566e-06	5.4952982e-07
concentration of enzyme	FBP_R00762	R00762	0	0	0	0	0	0	0	0
concentration of enzyme	CSN_R00351	R00351	2.3901922e-07	4.3943025e-08	3.5326106e-07	6.4946074e-08	3.2753737e-07	6.0216844e-08	5.4261871e-07	9.9758956e-08
concentration of enzyme	ACN_R01325	R01325	0.021553873	0.0039626202	0.003563403	0.00065512183	0.0067552056	0.001241926	0.0044742735	0.00082258287
concentration of enzyme	ACN_R01900	R01900	5.5705483e-06	1.02413e-06	4.9150242e-06	9.0361366e-07	6.104473e-06	1.1222906e-06	6.3448522e-06	1.1664836e-06
concentration of enzyme	ICD_R00709	R00709	6.1275393e-08	1.1265312e-08	1.4753219e-07	2.7123388e-08	2.2779098e-07	4.1878744e-08	1.8787939e-07	3.4541108e-08
concentration of enzyme	KGD_R08549	R08549	3.0712307e-09	5.6463731e-10	3.5715541e-09	6.5662038e-10	6.4176359e-09	1.1798647e-09	3.5068594e-09	6.4472645e-10
concentration of enzyme	SCS_R00405	R00405	1.3813135e-06	2.5395069e-07	2.2583345e-06	4.1518858e-07	1.2173093e-06	2.2379896e-07	1.3412037e-06	2.4657661e-07
concentration of enzyme	SDH_R02164	R02164	6.2996229e-09	1.1581683e-09	1.0960358e-08	2.0150317e-09	8.3077245e-09	1.5273523e-09	8.0895876e-09	1.4872484e-09
concentration of enzyme	FUM_R01082	R01082	1.9761652e-07	3.6331253e-08	1.9169971e-07	3.5243465e-08	1.9807423e-07	3.6415402e-08	1.4197574e-07	2.6101849e-08
concentration of enzyme	MDH_R00342	R00342	0.01830621	0.0033655464	0.017124631	0.0031483163	0.016326861	0.0030016484	0.023920623	0.0043977407
concentration of enzyme	PPC_R00345	R00345	0.00095700072	0.00017594195	0.00121212	0.00022284492	0.0012376824	0.0002275445	0.00044199719	8.1259967e-05
