!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
Michaelis constant	_2_Oxoglutarate	KGD_R08549	mM	4	4.0670379	0.74771371	NaN	NaN	C00026	R08549
Michaelis constant	Oxaloacetate	CSN_R00351	mM	0.033920097	0.03448858	0.0063406304	NaN	NaN	C00036	R00351
Michaelis constant	Oxaloacetate	MDH_R00342	mM	0.034479991	0.035057857	0.0064452905	NaN	NaN	C00036	R00342
Michaelis constant	Ubiquinone	SDH_R02164	mM	0.037084298	0.037705811	0.0069321095	NaN	NaN	C00399	R02164
Michaelis constant	D_Erythrose_4_phosphate	TAL_R08575	mM	0.031862242	0.032396236	0.0059559588	NaN	NaN	C00279	R08575
Michaelis constant	D_Erythrose_4_phosphate	TXT_R01067	mM	0.36	0.36603341	0.067294234	NaN	NaN	C00279	R01067
Michaelis constant	ADP	PFK_R04779	mM	0.82825117	0.84213222	0.15482369	NaN	NaN	C00008	R04779
Michaelis constant	ADP	PGK_R01512	mM	0.2	0.20335189	0.037385686	NaN	NaN	C00008	R01512
Michaelis constant	ADP	PYK_R00200	mM	0.25	0.25418987	0.046732107	NaN	NaN	C00008	R00200
Michaelis constant	ADP	SCS_R00405	mM	0.061357924	0.06238625	0.01146954	NaN	NaN	C00008	R00405
Michaelis constant	Isocitrate	ACN_R01900	mM	0.19745878	0.20076808	0.036910659	NaN	NaN	C00311	R01900
Michaelis constant	Isocitrate	ICD_R00709	mM	2.4	2.4402227	0.44862823	NaN	NaN	C00311	R00709
Michaelis constant	D_Ribulose_5_phosphate	PGD_R01528	mM	0.14142136	0.14379151	0.026435673	NaN	NaN	C00199	R01528
Michaelis constant	D_Ribulose_5_phosphate	RPI_R01056	mM	3.1464265	3.1991589	0.58815656	NaN	NaN	C00199	R01056
Michaelis constant	D_Ribulose_5_phosphate	RPE_R01529	mM	0.86969557	0.8842712	0.16257083	NaN	NaN	C00199	R01529
Michaelis constant	D_Xylulose_5_phosphate	TXT_R01641	mM	0.49	0.49821214	0.09159493	NaN	NaN	C00231	R01641
Michaelis constant	D_Xylulose_5_phosphate	TXT_R01067	mM	0.49	0.49821214	0.09159493	NaN	NaN	C00231	R01067
Michaelis constant	D_Glucose_6_phosphate	ZWF_R00835	mM	0.174	0.17691615	0.032525546	NaN	NaN	C00092	R00835
Michaelis constant	_3_Phospho_D_glyceroyl_phosphate	GAP_R01061	mM	0.05	0.050837973	0.0093464214	NaN	NaN	C00236	R01061
Michaelis constant	_3_Phospho_D_glyceroyl_phosphate	PGK_R01512	mM	0.0018	0.001830167	0.00033647117	NaN	NaN	C00236	R01512
Michaelis constant	CoA	PDH_R00209	mM	0.0034641016	0.0035221581	0.00064753907	NaN	NaN	C00010	R00209
Michaelis constant	CoA	SCS_R00405	mM	0.086881013	0.088337092	0.016240531	NaN	NaN	C00010	R00405
Michaelis constant	CO2	PGD_R01528	mM	41.231056	41.922066	7.7072565	NaN	NaN	C00011	R01528
Michaelis constant	CO2	PPC_R00345	mM	0.19	0.1931843	0.035516401	NaN	NaN	C00011	R00345
Michaelis constant	D_Ribose_5_phosphate	RPI_R01056	mM	2.2	2.2368708	0.41124254	NaN	NaN	C00117	R01056
Michaelis constant	D_Ribose_5_phosphate	TXT_R01641	mM	0.53	0.53888252	0.099072067	NaN	NaN	C00117	R01641
Michaelis constant	Glycerone_phosphate	ALD_R01070	mM	0.16124515	0.16394753	0.030141302	NaN	NaN	C00111	R01070
Michaelis constant	Glycerone_phosphate	TIM_R01015	mM	1	1.0167595	0.18692843	NaN	NaN	C00111	R01015
Michaelis constant	D_Fructose_1_6_bisphosphate	FBP_R00762	mM	0.013652535	0.013881344	0.0025520469	NaN	NaN	C00354	R00762
Michaelis constant	D_Glyceraldehyde_3_phosphate	ALD_R01070	mM	0.13076697	0.13295855	0.024444064	NaN	NaN	C00118	R01070
Michaelis constant	D_Glyceraldehyde_3_phosphate	TIM_R01015	mM	1	1.0167595	0.18692843	NaN	NaN	C00118	R01015
Michaelis constant	D_Glyceraldehyde_3_phosphate	GAP_R01061	mM	0.21	0.21351949	0.03925497	NaN	NaN	C00118	R01061
Michaelis constant	D_Glyceraldehyde_3_phosphate	TXT_R01641	mM	4.9	4.9821214	0.9159493	NaN	NaN	C00118	R01641
Michaelis constant	D_Glyceraldehyde_3_phosphate	TAL_R08575	mM	0.084433137	0.085848191	0.015782954	NaN	NaN	C00118	R08575
Michaelis constant	D_Glyceraldehyde_3_phosphate	TXT_R01067	mM	4.9	4.9821214	0.9159493	NaN	NaN	C00118	R01067
Michaelis constant	Phosphoenolpyruvate	PGH_R00658	mM	0.3	0.30502784	0.056078528	NaN	NaN	C00074	R00658
Michaelis constant	Phosphoenolpyruvate	PYK_R00200	mM	0.31	0.31519543	0.057947813	NaN	NaN	C00074	R00200
Michaelis constant	Phosphoenolpyruvate	PPC_R00345	mM	0.38431493	0.39075584	0.071839386	NaN	NaN	C00074	R00345
Michaelis constant	Citrate	CSN_R00351	mM	0.001	0.0010167595	0.00018692843	NaN	NaN	C00158	R00351
Michaelis constant	Citrate	ACN_R01325	mM	0.73118139	0.7434356	0.13667859	NaN	NaN	C00158	R01325
Michaelis constant	Succinyl_CoA	KGD_R08549	mM	0.077459667	0.07875785	0.014479414	NaN	NaN	C00091	R08549
Michaelis constant	Succinyl_CoA	SCS_R00405	mM	0.027912311	0.028380106	0.0052176044	NaN	NaN	C00091	R00405
Michaelis constant	_3_Phospho_D_glycerate	PGK_R01512	mM	0.69	0.70156403	0.12898062	NaN	NaN	C00197	R01512
Michaelis constant	_3_Phospho_D_glycerate	PGM_R01518	mM	0.65	0.66089365	0.12150348	NaN	NaN	C00197	R01518
Michaelis constant	D_Glucono_1_5_lactone_6_phosphate	ZWF_R00835	mM	0.174	0.17691615	0.032525546	NaN	NaN	C01236	R00835
Michaelis constant	D_Glucono_1_5_lactone_6_phosphate	GLH_R02035	mM	0.02	0.020335189	0.0037385686	NaN	NaN	C01236	R02035
Michaelis constant	D_Fructose_6_phosphate	TAL_R08575	mM	0.49559808	0.50390404	0.09264137	NaN	NaN	C00085	R08575
Michaelis constant	D_Fructose_6_phosphate	TXT_R01067	mM	7	7.1173163	1.308499	NaN	NaN	C00085	R01067
Michaelis constant	_2_Phospho_D_glycerate	PGM_R01518	mM	0.041	0.041687138	0.0076640656	NaN	NaN	C00631	R01518
Michaelis constant	_2_Phospho_D_glycerate	PGH_R00658	mM	0.3	0.30502784	0.056078528	NaN	NaN	C00631	R00658
Michaelis constant	Succinate	SCS_R00405	mM	2.2969796	2.3354757	0.42937079	NaN	NaN	C00042	R00405
Michaelis constant	Succinate	SDH_R02164	mM	0.11895397	0.12094757	0.022235879	NaN	NaN	C00042	R02164
Michaelis constant	Sedoheptulose_7_phosphate	TXT_R01641	mM	4	4.0670379	0.74771371	NaN	NaN	C05382	R01641
Michaelis constant	Sedoheptulose_7_phosphate	TAL_R08575	mM	0.28683033	0.29163745	0.053616743	NaN	NaN	C05382	R08575
equilibrium constant		PTS_RPTSsy	dimensionless	57262184	58221868	10703930	NaN	NaN		RPTSsy
equilibrium constant		PGI_R02740	dimensionless	0.36350845	0.36960066	0.067950063	NaN	NaN		R02740
equilibrium constant		PFK_R04779	dimensionless	1764.8694	1794.4477	329.90426	NaN	NaN		R04779
equilibrium constant		ALD_R01070	dimensionless	0.1889019	0.19206779	0.035311135	NaN	NaN		R01070
equilibrium constant		TIM_R01015	dimensionless	0.10733371	0.10913257	0.020063722	NaN	NaN		R01015
equilibrium constant		GAP_R01061	dimensionless	0.00035180468	0.00035770074	6.5762296e-05	NaN	NaN		R01061
equilibrium constant		PGK_R01512	dimensionless	1883.7137	1915.2837	352.11964	NaN	NaN		R01512
equilibrium constant		PGM_R01518	dimensionless	0.1881272	0.19128011	0.035166322	NaN	NaN		R01518
equilibrium constant		PGH_R00658	dimensionless	5.202263	5.2894501	0.97245085	NaN	NaN		R00658
equilibrium constant		PYK_R00200	dimensionless	22335.814	22710.15	4175.1986	NaN	NaN		R00200
equilibrium constant		PDH_R00209	dimensionless	1670759.7	1698760.7	312312.48	NaN	NaN		R00209
equilibrium constant		ZWF_R00835	dimensionless	12.916734	13.133212	2.4145048	NaN	NaN		R00835
equilibrium constant		GLH_R02035	dimensionless	20744.52	21092.187	3877.7405	NaN	NaN		R02035
equilibrium constant		PGD_R01528	dimensionless	12.330424	12.537075	2.3049068	NaN	NaN		R01528
equilibrium constant		RPI_R01056	dimensionless	2.264296	2.3022444	0.42326129	NaN	NaN		R01056
equilibrium constant		RPE_R01529	dimensionless	3.9024941	3.9678978	0.72948709	NaN	NaN		R01529
equilibrium constant		TXT_R01641	dimensionless	4.7316932	4.8109938	0.88448797	NaN	NaN		R01641
equilibrium constant		TAL_R08575	dimensionless	1.3194676	1.3415812	0.246646	NaN	NaN		R08575
equilibrium constant		TXT_R01067	dimensionless	59.621212	60.620432	11.144899	NaN	NaN		R01067
equilibrium constant		FBP_R00762	dimensionless	49007.074	49828.406	9160.8153	NaN	NaN		R00762
equilibrium constant		CSN_R00351	dimensionless	5416530.1	5507308.2	1012503.5	NaN	NaN		R00351
equilibrium constant		ACN_R01325	dimensionless	0.034861263	0.035445519	0.0065165611	NaN	NaN		R01325
equilibrium constant		ACN_R01900	dimensionless	1.3190957	1.341203	0.24657649	NaN	NaN		R01900
equilibrium constant		ICD_R00709	dimensionless	100.21644	101.89601	18.733302	NaN	NaN		R00709
equilibrium constant		KGD_R08549	dimensionless	92567.323	94118.702	17303.464	NaN	NaN		R08549
equilibrium constant		SCS_R00405	dimensionless	0.58290232	0.59267145	0.10896101	NaN	NaN		R00405
equilibrium constant		SDH_R02164	dimensionless	6026.7589	6127.7642	1126.5726	NaN	NaN		R02164
equilibrium constant		FUM_R01082	dimensionless	4.0148279	4.0821143	0.75048547	NaN	NaN		R01082
equilibrium constant		MDH_R00342	dimensionless	1.940976e-05	1.9735057e-05	3.6282359e-06	NaN	NaN		R00342
equilibrium constant		PPC_R00345	dimensionless	3.7190993e-07	3.7814294e-07	6.9520539e-08	NaN	NaN		R00345
substrate catalytic rate constant		PTS_RPTSsy	1/s	15	15.251392	2.8039264	NaN	NaN		RPTSsy
substrate catalytic rate constant		PGI_R02740	1/s	125.62172	127.72707	23.482271	NaN	NaN		R02740
substrate catalytic rate constant		PFK_R04779	1/s	41.75	42.449708	7.8042619	NaN	NaN		R04779
substrate catalytic rate constant		TIM_R01015	1/s	4500	4575.4176	841.17793	NaN	NaN		R01015
substrate catalytic rate constant		GAP_R01061	1/s	134	136.24577	25.048409	NaN	NaN		R01061
substrate catalytic rate constant		PGK_R01512	1/s	67.158925	68.284473	12.553912	NaN	NaN		R01512
substrate catalytic rate constant		PGM_R01518	1/s	530	538.88252	99.072067	NaN	NaN		R01518
substrate catalytic rate constant		PGH_R00658	1/s	197.83576	201.15138	36.981128	NaN	NaN		R00658
substrate catalytic rate constant		PYK_R00200	1/s	67	68.122884	12.524205	NaN	NaN		R00200
substrate catalytic rate constant		PDH_R00209	1/s	37.9	38.535184	7.0845874	NaN	NaN		R00209
substrate catalytic rate constant		ZWF_R00835	1/s	174	176.91615	32.525546	NaN	NaN		R00835
substrate catalytic rate constant		GLH_R02035	1/s	468	475.84343	87.482504	NaN	NaN		R02035
substrate catalytic rate constant		PGD_R01528	1/s	27.456347	27.916501	5.1323718	NaN	NaN		R01528
substrate catalytic rate constant		RPI_R01056	1/s	1405.8805	1429.4423	262.79903	NaN	NaN		R01056
substrate catalytic rate constant		RPE_R01529	1/s	1300	1321.7873	243.00696	NaN	NaN		R01529
substrate catalytic rate constant		TXT_R01641	1/s	45	45.754176	8.4117793	NaN	NaN		R01641
substrate catalytic rate constant		TAL_R08575	1/s	6.44	6.547931	1.2038191	NaN	NaN		R08575
substrate catalytic rate constant		TXT_R01067	1/s	69	70.156403	12.898062	NaN	NaN		R01067
substrate catalytic rate constant		CSN_R00351	1/s	40.499408	41.178156	7.5704907	NaN	NaN		R00351
substrate catalytic rate constant		ACN_R01325	1/s	19.6	19.928486	3.6637972	NaN	NaN		R01325
substrate catalytic rate constant		ACN_R01900	1/s	71	72.189922	13.271918	NaN	NaN		R01900
substrate catalytic rate constant		ICD_R00709	1/s	106.3	108.08153	19.870492	NaN	NaN		R00709
substrate catalytic rate constant		SCS_R00405	1/s	201	204.36865	37.572614	NaN	NaN		R00405
substrate catalytic rate constant		SDH_R02164	1/s	85.572486	87.006635	15.99593	NaN	NaN		R02164
substrate catalytic rate constant		FUM_R01082	1/s	409.59643	416.46105	76.565217	NaN	NaN		R01082
substrate catalytic rate constant		MDH_R00342	1/s	1034.7807	1052.1231	193.42993	NaN	NaN		R00342
substrate catalytic rate constant		PPC_R00345	1/s	270	274.52506	50.470676	NaN	NaN		R00345
product catalytic rate constant		TIM_R01015	1/s	250	254.18987	46.732107	NaN	NaN		R01015
product catalytic rate constant		GAP_R01061	1/s	221	224.70384	41.311183	NaN	NaN		R01061
product catalytic rate constant		PGK_R01512	1/s	833	846.96063	155.71138	NaN	NaN		R01512
product catalytic rate constant		PGM_R01518	1/s	26.124843	26.562681	4.8834758	NaN	NaN		R01518
product catalytic rate constant		PDH_R00209	1/s	0.077	0.078290479	0.014393489	NaN	NaN		R00209
product catalytic rate constant		ZWF_R00835	1/s	571	580.56965	106.73613	NaN	NaN		R00835
product catalytic rate constant		PGD_R01528	1/s	98	99.642428	18.318986	NaN	NaN		R01528
product catalytic rate constant		RPI_R01056	1/s	906.06764	921.25285	169.3698	NaN	NaN		R01056
product catalytic rate constant		RPE_R01529	1/s	182.45258	185.51039	34.105574	NaN	NaN		R01529
product catalytic rate constant		FBP_R00762	1/s	23.4	23.792171	4.3741252	NaN	NaN		R00762
product catalytic rate constant		CSN_R00351	1/s	119.32901	121.3289	22.305984	NaN	NaN		R00351
product catalytic rate constant		ACN_R01325	1/s	30.09	30.594292	5.6246764	NaN	NaN		R01325
product catalytic rate constant		ACN_R01900	1/s	267.48	271.96282	49.999616	NaN	NaN		R01900
product catalytic rate constant		ICD_R00709	1/s	30	30.502784	5.6078528	NaN	NaN		R00709
product catalytic rate constant		SCS_R00405	1/s	45.344239	46.104184	8.4761273	NaN	NaN		R00405
product catalytic rate constant		SDH_R02164	1/s	79.556898	80.890229	14.871446	NaN	NaN		R02164
product catalytic rate constant		FUM_R01082	1/s	115.24806	117.17956	21.543139	NaN	NaN		R01082
product catalytic rate constant		MDH_R00342	1/s	227.92729	231.74723	42.60609	NaN	NaN		R00342
