!!!SBtab									
									
!!SBtab TableID='MetaboliteConcentration' TableType='QuantityMatrix'									
!Compound	!Identifiers:kegg.compound	!QuantityType	!Unit	!G1	!G1S	!earlyS	!lateS	!G2	!M
R_ALCD2m		rate of reaction	mM/s	0.00089168594	0.0011544427	0.00089361095	0.00048414315	0.00053230712	0.00064078333
R_ME1m	R00214	rate of reaction	mM/s	0.0018167645	0.0023625742	0.0023761881	0.0025771404	0.0023172438	0.001722558
									
!!SBtab TableID='EnzymeConcentration' TableType='QuantityMatrix'									
!Reaction	!Identifiers:kegg.reaction	!QuantityType	!Unit	!G1	!G1S	!earlyS	!lateS	!G2	!M
GLI_GLUNim		concentration of enzyme	mM	NaN	NaN	NaN	NaN	NaN	NaN
GTS_GLTEsy		concentration of enzyme	mM	0.00045126448	0.00052925875	0.00041813628	0.00042692222	0.00041524801	0.00039284854
R_GLUDym		concentration of enzyme	mM	NaN	NaN	NaN	NaN	NaN	NaN
R_AKGDam	R01197	concentration of enzyme	mM	0.00086573822	0.00089007741	0.00082473511	0.00081903828	0.00092146591	0.00092146591
R_SUCOAS1m	R00405	concentration of enzyme	mM	0.0007795753	0.00063761626	0.00065554206	0.00068813347	0.00057465195	0.00066931644
R_SUCD2_u6m		concentration of enzyme	mM	0.0004595953	0.00088787963	0.00068228005	0.0004595953	0.00068702568	0.00093202206
R_FUMm	R01082	concentration of enzyme	mM	0.0018345658	0.0017843994	0.0019257743	0.0019124721	0.0020497367	0.0017720737
R_MDHm	R00342	concentration of enzyme	mM	0.0054143298	0.0044902097	0.0050517488	0.0049821997	0.0049477849	0.0053769305
R_CSm		concentration of enzyme	mM	0.0047620673	0.0044740706	0.0034860374	0.0035102847	0.0039219959	0.0044740706
R_ACL		concentration of enzyme	mM	NaN	NaN	NaN	NaN	NaN	NaN
R_ACONTm	R01324	concentration of enzyme	mM	0.00020314635	0.00021772686	0.00023825714	0.00023991434	0.00025713384	0.00015289269
R_ICDHym	R00267	concentration of enzyme	mM	0.00038960693	0.00028520895	0.00033219245	0.00029938859	0.00032310864	0.00039231686
R_ICDHxm	R00709	concentration of enzyme	mM	0.00045718555	0.00041779054	0.0004325239	0.0004120387	0.00042953623	0.00048661466
ASS_ASPAsy		concentration of enzyme	mM	NaN	NaN	NaN	NaN	NaN	NaN
ASC_ASPAcons		concentration of enzyme	mM	NaN	NaN	NaN	NaN	NaN	NaN
PYS_PYRIsy		concentration of enzyme	mM	NaN	NaN	NaN	NaN	NaN	NaN
R_PC	R00344	concentration of enzyme	mM	0.00039823516	0.0003873454	0.00047687815	0.00056710686	0.00050406877	0.00048689835
R_ALCD2m		concentration of enzyme	mM	0.00078616938	0.00072845517	0.00075414405	0.00079714392	0.00072845517	0.00078073888
R_ME1m	R00214	concentration of enzyme	mM	0.00047866702	0.00052380228	0.00060587592	0.00055751952	0.00064936171	0.00050947888
