!!!SBtab										
										
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'										
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration	_2_Oxoglutarate	C00026	0.87098289	0.16012781	0.22255543	0.040916204	0.20141341	0.0370293	0.36414705	0.066947432
concentration	Oxaloacetate	C00036	0.10357932	0.019042773	0.021049124	0.0038698235	0.028000387	0.005147794	0.008702783	0.0015999827
concentration	Ubiquinone	C00399	0.090443973	0.016627875	0.053586509	0.0098517322	0.17695168	0.03253208	0.14187844	0.02608396
concentration	D_Erythrose_4_phosphate	C00279	0.081407392	0.014966525	0.10790853	0.019838685	0.10050535	0.018477631	0.11715176	0.021538028
concentration	Ubiquinol	C00390	0.076980806	0.014152709	0.09647373	0.01773643	0.043063948	0.0079171883	0.087385095	0.016065509
concentration	ADP	C00008	0.35732996	0.06569413	0.29254552	0.053783687	0.32695015	0.060108884	0.25617847	0.047097706
concentration	Isocitrate	C00311	0.13805363	0.02538078	0.02206238	0.0040561078	0.019314919	0.0035509947	0.021607293	0.0039724413
concentration	D_Ribulose_5_phosphate	C00199	0.28369685	0.052156884	0.27128052	0.049874177	0.1732118	0.031844513	0.25751207	0.047342885
concentration	D_Xylulose_5_phosphate	C00231	0.75560368	0.13891566	0.90237244	0.16589869	0.44018907	0.080927548	0.53137691	0.097692181
concentration	D_Glucose_6_phosphate	C00092	0.22809864	0.041935307	1.0148742	0.18658183	1.5085355	0.27734011	0.54088783	0.099440738
concentration	_3_Phospho_D_glyceroyl_phosphate	C00236	0.024925847	0.0045825483	0.026961221	0.0049567463	0.035128535	0.0064582844	0.039542546	0.0072697881
concentration	CoA	C00010	0.039701319	0.0072989781	0.080227211	0.014749552	0.051510682	0.0094700971	0.026437496	0.0048604608
concentration	CO2	C00011	0.1280213	0.023536363	0.093212746	0.017136907	0.080467194	0.014793672	0.099003891	0.018201593
concentration	D_Ribose_5_phosphate	C00117	0.42788245	0.078665009	0.32757402	0.060223581	0.25589451	0.047045501	0.41301713	0.075932063
concentration	Glycerone_phosphate	C00111	0.6322616	0.11623955	2.3004365	0.42292892	0.6699799	0.12317396	1.1276141	0.20730874
concentration	D_Glucose	C00031	0.10056458	0.018488522	0.10305875	0.018947067	0.04704545	0.0086491764	0.10584196	0.019458753
concentration	D_Fructose_1_6_bisphosphate	C00354	0.58073543	0.10676661	4.0763139	0.74941909	1.1621877	0.21366501	2.4643445	0.45306295
concentration	D_Glyceraldehyde_3_phosphate	C00118	0.062649943	0.01151802	0.20345568	0.037404767	0.061726081	0.01134817	0.10518824	0.019338568
concentration	Phosphoenolpyruvate	C00074	0.26571256	0.048850522	0.13895183	0.025545911	0.13179843	0.024230778	0.048758158	0.008964053
concentration	Citrate	C00158	10.89728	2.003435	19.313591	3.5507506	9.7785727	1.7977637	9.3871638	1.7258042
concentration	Succinyl_CoA	C00091	0.19364	0.035600181	0.099320837	0.018259862	0.11592527	0.021312541	0.16885132	0.03104285
concentration	_3_Phospho_D_glycerate	C00197	2.6739098	0.49159096	2.8685294	0.52737123	1.7489676	0.32154289	2.0156749	0.37057628
concentration	D_Glucono_1_5_lactone_6_phosphate	C01236	0.0014828268	0.00027261362	0.16400884	0.030152573	0.18728869	0.034432509	0.0049082592	0.00090236995
concentration	D_Fructose_6_phosphate	C00085	0.023388687	0.0042999457	0.18778091	0.034523003	0.053068724	0.0097565388	0.089555939	0.016464613
concentration	_2_Phospho_D_glycerate	C00631	0.23679949	0.043534935	0.14515836	0.026686966	0.10809133	0.019872293	0.079859435	0.014681937
concentration	Succinate	C00042	0.92442135	0.16995232	0.20792801	0.038226992	0.10871118	0.019986251	0.1873432	0.034442531
concentration	Sedoheptulose_7_phosphate	C05382	0.46543396	0.085568753	0.70645541	0.12987988	0.63696149	0.11710362	0.95583524	0.17572768
										
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'										
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration of enzyme	PTS_RPTSsy	RPTSsy	2.3641352e-10	4.3463974e-11	4.8732778e-10	8.9593871e-11	2.9569146e-10	5.436206e-11	4.3053092e-10	7.9151925e-11
concentration of enzyme	PGI_R02740	R02740	0.00011445103	2.1041506e-05	0.00024440478	4.4933145e-05	0.00020059275	3.6878425e-05	0.00019518794	3.5884765e-05
concentration of enzyme	PFK_R04779	R04779	1.8101612e-06	3.3279316e-07	1.6979313e-06	3.1216e-07	1.7147103e-06	3.1524477e-07	1.5250363e-06	2.8037372e-07
concentration of enzyme	ALD_R01070	R01070	9.3769514e-07	1.7239267e-07	1.5209271e-06	2.7961826e-07	6.6637284e-07	1.2251081e-07	6.2489572e-07	1.1488536e-07
concentration of enzyme	TIM_R01015	R01015	0.0048646998	0.00089436167	0.0017762775	0.00032656372	0.0028929672	0.00053186406	0.0019302615	0.00035487327
concentration of enzyme	GAP_R01061	R01061	0.010090515	0.0018551135	0.01010456	0.0018576955	0.014418557	0.0026508119	0.0090636214	0.0016663218
concentration of enzyme	PGK_R01512	R01512	0.005691098	0.0010462927	0.0076223914	0.0014013557	0.0055308097	0.0010168241	0.0040477621	0.00074416992
concentration of enzyme	PGM_R01518	R01518	0.0022542559	0.00041443874	0.001437434	0.00026426829	0.0014134324	0.00025985566	0.00080121261	0.00014730073
concentration of enzyme	PGH_R00658	R00658	7.588298e-07	1.3950877e-07	8.2467668e-07	1.5161454e-07	1.0353268e-06	1.9034199e-07	6.9675866e-07	1.2809716e-07
concentration of enzyme	PYK_R00200	R00200	1.7640678e-05	3.2431901e-06	1.9661236e-05	3.614664e-06	1.6927562e-05	3.1120857e-06	1.2363873e-05	2.2730641e-06
concentration of enzyme	PDH_R00209	R00209	3.4193797e-07	6.2864355e-08	1.0846104e-07	1.9940263e-08	2.9650074e-07	5.4510845e-08	4.1056806e-07	7.5481808e-08
concentration of enzyme	ZWF_R00835	R00835	8.2333843e-07	1.513685e-07	8.3998629e-07	1.5442917e-07	7.5240784e-07	1.3832811e-07	5.7641118e-07	1.0597161e-07
concentration of enzyme	GLH_R02035	R02035	3.3855171e-06	6.22418e-07	1.5036957e-06	2.7645032e-07	1.4039636e-06	2.5811485e-07	2.9016797e-06	5.3346581e-07
concentration of enzyme	PGD_R01528	R01528	1.2076009e-06	2.220141e-07	1.3941264e-06	2.5630629e-07	6.8210979e-07	1.2540401e-07	9.4893202e-07	1.7445854e-07
concentration of enzyme	RPI_R01056	R01056	0.0053908752	0.00099109757	0.0053201251	0.00097809035	0.0073525029	0.0013517374	0.0082746079	0.0015212639
concentration of enzyme	RPE_R01529	R01529	2.4224283e-06	4.4535677e-07	4.0325684e-06	7.413766e-07	1.8982226e-06	3.4898301e-07	2.1129461e-06	3.8845932e-07
concentration of enzyme	TXT_R01641	R01641	3.181157e-08	5.8484695e-09	4.9510869e-08	9.102437e-09	7.6583973e-08	1.4079753e-08	2.898289e-08	5.3284245e-09
concentration of enzyme	TAL_R08575	R08575	4.7229999e-05	8.6831052e-06	4.5446805e-05	8.3552699e-06	7.6655765e-05	1.4092951e-05	5.456494e-05	1.0031614e-05
concentration of enzyme	TXT_R01067	R01067	1.7622346e-06	3.2398198e-07	4.5976538e-06	8.45266e-07	2.3378055e-06	4.2979911e-07	2.5650952e-06	4.715857e-07
concentration of enzyme	FBP_R00762	R00762	0	0	0	0	0	0	0	0
concentration of enzyme	CSN_R00351	R00351	2.2042289e-07	4.0524141e-08	3.3609844e-07	6.1790773e-08	3.4126531e-07	6.2740688e-08	4.6201315e-07	8.4939846e-08
concentration of enzyme	ACN_R01325	R01325	0.016574347	0.003047148	0.0054961412	0.0010104504	0.0064548882	0.0011867134	0.005004714	0.00092010288
concentration of enzyme	ACN_R01900	R01900	5.242523e-06	9.6382342e-07	4.5864755e-06	8.4321089e-07	8.6568554e-06	1.591539e-06	6.4771475e-06	1.1908057e-06
concentration of enzyme	ICD_R00709	R00709	5.5773637e-08	1.025383e-08	1.7675869e-07	3.2496598e-08	2.0008862e-07	3.6785743e-08	1.6380097e-07	3.0114357e-08
concentration of enzyme	KGD_R08549	R08549	3.203962e-09	5.8903959e-10	3.5107263e-09	6.4543737e-10	4.8263904e-09	8.873186e-10	3.1999949e-09	5.8831026e-10
concentration of enzyme	SCS_R00405	R00405	1.2376499e-06	2.2753853e-07	2.0082198e-06	3.6920569e-07	1.4149969e-06	2.6014329e-07	9.7101084e-07	1.7851767e-07
concentration of enzyme	SDH_R02164	R02164	5.6339509e-09	1.0357864e-09	1.264214e-08	2.3242227e-09	9.214412e-09	1.6940443e-09	8.051785e-09	1.4802985e-09
concentration of enzyme	FUM_R01082	R01082	2.1225756e-07	3.9022968e-08	1.8657501e-07	3.4301302e-08	2.2601089e-07	4.1551481e-08	1.4211009e-07	2.6126549e-08
concentration of enzyme	MDH_R00342	R00342	0.01608105	0.0029564568	0.020254879	0.0037238038	0.019624403	0.0036078925	0.019809248	0.0036418757
concentration of enzyme	PPC_R00345	R00345	0.0013519066	0.0002485443	0.00097550861	0.00017934457	0.0010833436	0.00019916974	0.00059198956	0.00010883565
