!!!SBtab Document='Model' DocumentName='ECM metabolic state'						
						
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'						
!ID	!ReactionFormula	!Name	!Identifiers:kegg.reaction	!IsReversible		
M_nad_m	NAD	C00003	True			
M_nadh_m	NADH	C00004	True			
M_nadp_m	NADP	C00006	True			
M_nadph_m	NADPH	C00005	True			
M_nh4_m	Ammonium	C00014	True			
M_oaa_m	OAA[m]	C00036	False			
M_oaa_c	OAA[c]	C00036	True			
M_pi_m	Phosphate	C00009	True			
Purines	Purines		True			
Pyrimidines	Pyrimidines		True			
M_pyr_m	Pyruvate	C00022	True			
M_q6_m	Ubiquinone	C17568	True			
M_q6h2_m	Ubiquinol	C00390	True			
M_succ_m	Succinate	C00042	False			
M_succoa_m	Succinyl-CoA	C00091	False			
						
!!SBtab Document='Model' TableID='Layout' TableType='Layout' TableName='Layout'						
!Element	!PositionX	!PositionY				
M_accoa_m	0.24638	0.44830269				
M_accoa_c	0.39781461	0.45474277				
M_adp_m	0.23387931	0.27632169				
M_akg_m	0.36021178	0.2641826				
M_asp_L_c	0.11982414	0.40677575				
AspartateSink	0.032800939	0.46801787				
M_atp_m	0.20321993	0.28027774				
M_cit_m	0.31227222	0.40435016				
M_co2_m	0.32190139	0.35643167				
M_coa_m	0.28838086	0.43150235				
M_coa_c	0.32987735	0.44927656				
M_fum_m	0.162476	0.30997182				
M_glu_L_m	0.44651693	0.31489316				
Glutamine	0.45047297	0.40093722				
Glutamine_ex	0.45047297	0.48599227				
M_hco3_m	0.20147275	0.4789503				
M_icit_m	0.36403962	0.35222276				
M_mal_L_m	0.17322371	0.36774077				
M_nad_m	0.27146177	0.30599205				
M_nadh_m	0.29223103	0.32873933				
M_nadp_m	0.38681719	0.27986008				
M_nadph_m	0.40497841	0.30104699				
M_nh4_m	0.41999967	0.24486765				
M_oaa_m	0.22494707	0.40636535				
M_oaa_c	0.37360708	0.47738853				
M_pi_m	0.2734398	0.26544255				
Purines	0.033109839	0.36731081				
Pyrimidines	0.032020051	0.41804103				
M_pyr_m	0.24745009	0.53634548				
M_q6_m	0.16051158	0.23083158				
M_q6h2_m	0.1306443	0.27189908				
M_succ_m	0.19414199	0.24542975				
M_succoa_m	0.2807274	0.22593758				
GLI_GLUNim	0.45047297	0.44346474				
GTS_GLTEsy	0.45047297	0.35445365				
R_GLUDym	0.4040419	0.26419988				
R_AKGDam	0.32480433	0.23547385				
R_SUCOAS1m	0.23197937	0.22399035				
R_SUCD2_u6m	0.16919332	0.27336243				
R_FUMm	0.16238295	0.34079518				
R_MDHm	0.19740606	0.39461004				
R_CSm	0.2709607	0.41140334				
R_ACL	0.36267465	0.44068679				
R_ACONTm	0.34485121	0.38151127				
R_ICDHym	0.37611599	0.30176636				
R_ICDHxm	0.34811541	0.31763335				
ASS_ASPAsy	0.15589685	0.40677575				
ASC_ASPAcons	0.080435109	0.46801787				
PYS_PYRIsy	0.080538076	0.41804103				
R_PC	0.21285376	0.46135945				
R_ALCD2m	0.24745009	0.48529385				
R_ME1m	0.16945634	0.47973119				
						
!!SBtab Document='Model' TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	GLI_GLUNim		35.23	dimensionless		
equilibrium constant	GTS_GLTEsy		32.46	dimensionless		
equilibrium constant	R_GLUDym		0.1398	dimensionless		
equilibrium constant	R_AKGDam		4.115	dimensionless	R01197	
equilibrium constant	R_SUCOAS1m		0.3119	dimensionless	R00405	
equilibrium constant	R_SUCD2_u6m		37.84	dimensionless		
equilibrium constant	R_FUMm		206.3	dimensionless	R01082	
equilibrium constant	R_MDHm		0.09936	dimensionless	R00342	
equilibrium constant	R_CSm		237.7	dimensionless		
equilibrium constant	R_ACL		0.6061	dimensionless		
equilibrium constant	R_ACONTm		4.631	dimensionless	R01324	
equilibrium constant	R_ICDHym		27.45	dimensionless	R00267	
equilibrium constant	R_ICDHxm		2.456	dimensionless	R00709	
equilibrium constant	ASS_ASPAsy		95.64	dimensionless		
equilibrium constant	ASC_ASPAcons		0.8352	dimensionless		
equilibrium constant	PYS_PYRIsy		0.03189	dimensionless		
equilibrium constant	R_PC		27.2	dimensionless	R00344	
equilibrium constant	R_ALCD2m		0.9633	dimensionless		
equilibrium constant	R_ME1m		0.5051	dimensionless	R00214	
catalytic rate constant geometric mean	GLI_GLUNim		19.999391	1/s		
catalytic rate constant geometric mean	GTS_GLTEsy		20.000352	1/s		
catalytic rate constant geometric mean	R_GLUDym		19.996887	1/s		
catalytic rate constant geometric mean	R_AKGDam		19.99929	1/s	R01197	
catalytic rate constant geometric mean	R_SUCOAS1m		19.998465	1/s	R00405	
catalytic rate constant geometric mean	R_SUCD2_u6m		20.000263	1/s		
catalytic rate constant geometric mean	R_FUMm		19.996662	1/s	R01082	
catalytic rate constant geometric mean	R_MDHm		19.995562	1/s	R00342	
catalytic rate constant geometric mean	R_CSm		20.000425	1/s		
catalytic rate constant geometric mean	R_ACL		20.000175	1/s		
catalytic rate constant geometric mean	R_ACONTm		19.996	1/s	R01324	
catalytic rate constant geometric mean	R_ICDHym		20.00125	1/s	R00267	
catalytic rate constant geometric mean	R_ICDHxm		20.0012	1/s	R00709	
catalytic rate constant geometric mean	ASS_ASPAsy		20.000031	1/s		
catalytic rate constant geometric mean	ASC_ASPAcons		20.000977	1/s		
catalytic rate constant geometric mean	PYS_PYRIsy		20.0039	1/s		
catalytic rate constant geometric mean	R_PC		20.000361	1/s	R00344	
catalytic rate constant geometric mean	R_ALCD2m		19.99936	1/s		
catalytic rate constant geometric mean	R_ME1m		20.001012	1/s	R00214	
Michaelis constant	R_CSm	M_accoa_m	0.05254	mM		C00024
Michaelis constant	R_ALCD2m	M_accoa_m	0.09964	mM		C00024
Michaelis constant	R_ACL	M_accoa_c	0.117	mM		C00024
Michaelis constant	GTS_GLTEsy	M_adp_m	0.07179	mM		C00008
Michaelis constant	R_SUCOAS1m	M_adp_m	0.1117	mM	R00405	C00008
Michaelis constant	R_ACL	M_adp_m	0.117	mM		C00008
Michaelis constant	R_PC	M_adp_m	0.137	mM	R00344	C00008
Michaelis constant	R_GLUDym	M_akg_m	0.1036	mM		C00026
Michaelis constant	R_AKGDam	M_akg_m	0.0874	mM	R01197	C00026
Michaelis constant	R_ICDHym	M_akg_m	0.08991	mM	R00267	C00026
Michaelis constant	R_ICDHxm	M_akg_m	0.1401	mM	R00709	C00026
Michaelis constant	ASS_ASPAsy	M_asp_L_c	0.2017	mM		C00049
Michaelis constant	ASC_ASPAcons	M_asp_L_c	0.1028	mM		C00049
Michaelis constant	PYS_PYRIsy	M_asp_L_c	0.1165	mM		C00049
Michaelis constant	ASC_ASPAcons	AspartateSink	0.09727	mM		
Michaelis constant	GTS_GLTEsy	M_atp_m	0.1393	mM		C00002
Michaelis constant	R_SUCOAS1m	M_atp_m	0.0895	mM	R00405	C00002
Michaelis constant	R_ACL	M_atp_m	0.0855	mM		C00002
Michaelis constant	R_PC	M_atp_m	0.07301	mM	R00344	C00002
Michaelis constant	R_CSm	M_cit_m	0.1903	mM		C00158
Michaelis constant	R_ACL	M_cit_m	0.0855	mM		C00158
Michaelis constant	R_ACONTm	M_cit_m	0.07899	mM	R01324	C00158
Michaelis constant	R_AKGDam	M_co2_m	0.1144	mM	R01197	C00011
Michaelis constant	R_ICDHym	M_co2_m	0.08991	mM	R00267	C00011
Michaelis constant	R_ICDHxm	M_co2_m	0.1401	mM	R00709	C00011
Michaelis constant	PYS_PYRIsy	M_co2_m	0.08587	mM		C00011
Michaelis constant	R_ALCD2m	M_co2_m	0.09964	mM		C00011
Michaelis constant	R_ME1m	M_co2_m	0.1186	mM	R00214	C00011
Michaelis constant	R_AKGDam	M_coa_m	0.0874	mM	R01197	C00010
Michaelis constant	R_SUCOAS1m	M_coa_m	0.0895	mM	R00405	C00010
Michaelis constant	R_CSm	M_coa_m	0.1903	mM		C00010
Michaelis constant	R_ALCD2m	M_coa_m	0.1004	mM		C00010
Michaelis constant	R_ACL	M_coa_c	0.0855	mM		C00010
Michaelis constant	R_SUCD2_u6m	M_fum_m	0.1533	mM		C00122
Michaelis constant	R_FUMm	M_fum_m	0.04405	mM	R01082	C00122
Michaelis constant	GTS_GLTEsy	M_glu_L_m	0.1393	mM		C00025
Michaelis constant	R_GLUDym	M_glu_L_m	0.09653	mM		C00025
Michaelis constant	GLI_GLUNim	Glutamine	0.173	mM		C00064
Michaelis constant	GTS_GLTEsy	Glutamine	0.07179	mM		C00064
Michaelis constant	GLI_GLUNim	Glutamine_ex	0.05781	mM		C00064
Michaelis constant	R_PC	M_hco3_m	0.07301	mM	R00344	C00288
Michaelis constant	R_ACONTm	M_icit_m	0.1266	mM	R01324	C00311
Michaelis constant	R_ICDHym	M_icit_m	0.1112	mM	R00267	C00311
Michaelis constant	R_ICDHxm	M_icit_m	0.07139	mM	R00709	C00311
Michaelis constant	R_FUMm	M_mal_L_m	0.227	mM	R01082	C00149
Michaelis constant	R_MDHm	M_mal_L_m	0.1312	mM	R00342	C00149
Michaelis constant	R_ME1m	M_mal_L_m	0.08433	mM	R00214	C00149
Michaelis constant	R_AKGDam	M_nad_m	0.0874	mM	R01197	C00003
Michaelis constant	R_MDHm	M_nad_m	0.1312	mM	R00342	C00003
Michaelis constant	R_ICDHxm	M_nad_m	0.07139	mM	R00709	C00003
Michaelis constant	R_ALCD2m	M_nad_m	0.1004	mM		C00003
Michaelis constant	R_ME1m	M_nad_m	0.08433	mM	R00214	C00003
Michaelis constant	R_AKGDam	M_nadh_m	0.1144	mM	R01197	C00004
Michaelis constant	R_MDHm	M_nadh_m	0.07621	mM	R00342	C00004
Michaelis constant	R_ICDHxm	M_nadh_m	0.1401	mM	R00709	C00004
Michaelis constant	R_ALCD2m	M_nadh_m	0.09964	mM		C00004
Michaelis constant	R_ME1m	M_nadh_m	0.1186	mM	R00214	C00004
Michaelis constant	R_GLUDym	M_nadp_m	0.09653	mM		C00006
Michaelis constant	R_ICDHym	M_nadp_m	0.1112	mM	R00267	C00006
Michaelis constant	R_GLUDym	M_nadph_m	0.1036	mM		C00005
Michaelis constant	R_ICDHym	M_nadph_m	0.08991	mM	R00267	C00005
Michaelis constant	GTS_GLTEsy	M_nh4_m	0.1393	mM		C00014
Michaelis constant	R_GLUDym	M_nh4_m	0.1036	mM		C00014
Michaelis constant	R_MDHm	M_oaa_m	0.07621	mM	R00342	C00036
Michaelis constant	R_CSm	M_oaa_m	0.05254	mM		C00036
Michaelis constant	ASS_ASPAsy	M_oaa_m	0.04958	mM		C00036
Michaelis constant	R_PC	M_oaa_m	0.137	mM	R00344	C00036
Michaelis constant	R_ACL	M_oaa_c	0.117	mM		C00036
Michaelis constant	GTS_GLTEsy	M_pi_m	0.07179	mM		C00009
Michaelis constant	R_SUCOAS1m	M_pi_m	0.1117	mM	R00405	C00009
Michaelis constant	R_ACL	M_pi_m	0.117	mM		C00009
Michaelis constant	R_PC	M_pi_m	0.137	mM	R00344	C00009
Michaelis constant	PYS_PYRIsy	Pyrimidines	0.08587	mM		
Michaelis constant	R_PC	M_pyr_m	0.07301	mM	R00344	C00022
Michaelis constant	R_ALCD2m	M_pyr_m	0.1004	mM		C00022
Michaelis constant	R_ME1m	M_pyr_m	0.1186	mM	R00214	C00022
Michaelis constant	R_SUCD2_u6m	M_q6_m	0.06522	mM		C17568
Michaelis constant	R_SUCD2_u6m	M_q6h2_m	0.1533	mM		C00390
Michaelis constant	R_SUCOAS1m	M_succ_m	0.0895	mM	R00405	C00042
Michaelis constant	R_SUCD2_u6m	M_succ_m	0.06522	mM		C00042
Michaelis constant	R_AKGDam	M_succoa_m	0.1144	mM	R01197	C00091
Michaelis constant	R_SUCOAS1m	M_succoa_m	0.1117	mM	R00405	C00091
substrate catalytic rate constant	GLI_GLUNim		68.63	1/s		
substrate catalytic rate constant	GTS_GLTEsy		42.16	1/s		
substrate catalytic rate constant	R_GLUDym		21.65	1/s		
substrate catalytic rate constant	R_AKGDam		27.08	1/s	R01197	
substrate catalytic rate constant	R_SUCOAS1m		15.58	1/s	R00405	
substrate catalytic rate constant	R_SUCD2_u6m		52.33	1/s		
substrate catalytic rate constant	R_FUMm		126.5	1/s	R01082	
substrate catalytic rate constant	R_MDHm		10.85	1/s	R00342	
substrate catalytic rate constant	R_CSm		85.11	1/s		
substrate catalytic rate constant	R_ACL		28.45	1/s		
substrate catalytic rate constant	R_ACONTm		34	1/s	R01324	
substrate catalytic rate constant	R_ICDHym		25.4	1/s	R00267	
substrate catalytic rate constant	R_ICDHxm		42.69	1/s	R00709	
substrate catalytic rate constant	ASS_ASPAsy		96.97	1/s		
substrate catalytic rate constant	ASC_ASPAcons		18.79	1/s		
substrate catalytic rate constant	PYS_PYRIsy		14.2	1/s		
substrate catalytic rate constant	R_PC		40.59	1/s	R00344	
substrate catalytic rate constant	R_ALCD2m		19.84	1/s		
substrate catalytic rate constant	R_ME1m		29.35	1/s	R00214	
product catalytic rate constant	GLI_GLUNim		5.828	1/s		
product catalytic rate constant	GTS_GLTEsy		9.488	1/s		
product catalytic rate constant	R_GLUDym		18.47	1/s		
product catalytic rate constant	R_AKGDam		14.77	1/s	R01197	
product catalytic rate constant	R_SUCOAS1m		25.67	1/s	R00405	
product catalytic rate constant	R_SUCD2_u6m		7.644	1/s		
product catalytic rate constant	R_FUMm		3.161	1/s	R01082	
product catalytic rate constant	R_MDHm		36.85	1/s	R00342	
product catalytic rate constant	R_CSm		4.7	1/s		
product catalytic rate constant	R_ACL		14.06	1/s		
product catalytic rate constant	R_ACONTm		11.76	1/s	R01324	
product catalytic rate constant	R_ICDHym		15.75	1/s	R00267	
product catalytic rate constant	R_ICDHxm		9.371	1/s	R00709	
product catalytic rate constant	ASS_ASPAsy		4.125	1/s		
product catalytic rate constant	ASC_ASPAcons		21.29	1/s		
product catalytic rate constant	PYS_PYRIsy		28.18	1/s		
product catalytic rate constant	R_PC		9.855	1/s	R00344	
product catalytic rate constant	R_ALCD2m		20.16	1/s		
product catalytic rate constant	R_ME1m		13.63	1/s	R00214	
