!!!SBtab													
													
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'													
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
rate of reaction	PDH_R00209	1.3948839e-06	0.012855828	5.2745984e-07	0.012855654	4.1035243e-07	0.012855631	1.2691748e-06	0.012855803	1.3009535e-06	0.012855809	5.4387433e-07	0.012855658
rate of reaction	ZWF_R00835	-7.4737857e-05	0.012870497	0.00022189239	0.012899927	-0.00014932868	0.012885415	0.00023196547	0.012901942	0.00021773626	0.012899096	-9.9515744e-05	0.012875452
rate of reaction	GLH_R02035	3.1601522e-06	0.012856181	2.9046781e-06	0.01285613	3.8705449e-06	0.012856323	2.3464699e-06	0.012856018	3.9068489e-06	0.01285633	1.9406233e-06	0.012855937
rate of reaction	PGD_R01528	3.1592867e-06	0.012856181	2.9038497e-06	0.01285613	3.873844e-06	0.012856324	2.3461748e-06	0.012856018	3.9053806e-06	0.01285633	1.9392566e-06	0.012855937
rate of reaction	RPI_R01056	2.2616378e-05	0.012860072	1.8675322e-05	0.012859284	3.8002827e-05	0.01286315	2.132622e-05	0.012859814	3.1604451e-05	0.01286187	2.664569e-05	0.012860878
rate of reaction	RPE_R01529	-4.0627157e-05	0.012863674	-3.8405671e-05	0.01286323	-8.935277e-06	0.012857336	-2.9692665e-05	0.012861488	-6.1415603e-05	0.012867832	-3.9546726e-05	0.012863458
rate of reaction	TXT_R01641	1.7114273e-05	0.012858972	1.63837e-05	0.012858826	2.8573882e-05	0.012861264	1.56703e-05	0.012858683	2.6849614e-05	0.012860919	1.3649761e-05	0.012858279
rate of reaction	TAL_R08575	1.1661706e-05	0.012857881	1.2508678e-05	0.012858051	2.486356e-05	0.012860522	7.5798098e-06	0.012857065	2.2235383e-05	0.012859996	6.0770231e-06	0.012856764
rate of reaction	TXT_R01067	-6.2882429e-05	0.012868125	-6.029187e-05	0.012867607	-3.1385598e-05	0.012861826	-4.7529178e-05	0.012865055	-9.6461646e-05	0.012874841	-5.6803812e-05	0.01286691
rate of reaction	FBP_R00762	0.49866993	0.11258953	1.2855549	0.26996653	0.35335533	0.083526615	0.44044694	0.10094494	0.48278323	0.1094122	0.5609632	0.12504819
rate of reaction	CSN_R00351	0.00019530526	0.01289461	0.00024976861	0.012905503	0.00036570079	0.012928689	0.00019910764	0.012895371	9.7096483e-05	0.012874968	0.00040666691	0.012936882
rate of reaction	ACN_R01325	0.00041309716	0.012938168	0.00076781758	0.013009113	0.00038156034	0.012931861	0.0003890645	0.012933362	0.0002549983	0.012906549	0.00082381184	0.013020311
rate of reaction	ACN_R01900	0.0004149564	0.01293854	0.00078042858	0.013011635	0.00038142709	0.012931834	0.0003920428	0.012933958	0.00025707314	0.012906964	0.00085555802	0.013026661
rate of reaction	ICD_R00709	0.00041496759	0.012938543	0.00078045356	0.01301164	0.00038142597	0.012931834	0.00039205456	0.01293396	0.00025708189	0.012906965	0.00085571775	0.013026693
rate of reaction	KGD_R08549	0.0002166863	0.012898886	0.00011178247	0.012877905	0.00019128126	0.012893805	0.00019615966	0.012894781	8.0691008e-05	0.012871687	0.0010785958	0.013071268
rate of reaction	SCS_R00405	-0.00022566822	0.012900683	-0.00022196267	0.012899942	-0.0011844816	0.013092445	-0.00023080408	0.01290171	-9.5904994e-05	0.01287473	-0.00022916994	0.012901383
rate of reaction	SDH_R02164	-0.0003076392	0.012917077	-0.00063417053	0.012982383	-0.00042723125	0.012940995	-0.00038756247	0.012933061	-0.00082967826	0.013021485	-0.00028796356	0.012913142
rate of reaction	FUM_R01082	-0.00030776979	0.012917103	-0.00063454787	0.012982459	-0.00042392618	0.012940334	-0.00038782037	0.012933113	-0.00083099965	0.013021749	-0.00028803414	0.012913156
rate of reaction	MDH_R00342	-0.00030787874	0.012917125	-0.00063486256	0.012982522	-0.00042116386	0.012939782	-0.00038803543	0.012933156	-0.00083209828	0.013021969	-0.00028809313	0.012913168
rate of reaction	PPC_R00345	2.1462753e-06	0.012855978	6.437505e-06	0.012856836	1.8534752e-06	0.01285592	4.8703697e-06	0.012856523	2.2166115e-06	0.012855992	1.011104e-05	0.012857571
													
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'													
!QuantityType	!Compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
concentration	_S__Malate	0.0050607643	0.0021392611	0.0039554568	0.001672031	0.01153543	0.0048761998	0.009452937	0.0039958986	0.0092242157	0.0038992146	0.0043300307	0.001830369
concentration	Acetyl_CoA	0.48045906	0.20309727	0.98869267	0.41793525	0.52424835	0.22160766	0.82248863	0.34767831	0.63032234	0.26644673	0.45548879	0.19254196
concentration	Fumarate	0.0057705336	0.0024392913	0.003901619	0.001649273	0.013431436	0.00567767	0.010968462	0.0046365337	0.010250511	0.0043330451	0.0048174103	0.0020363918
concentration	cis_Aconitate	0.026817495	0.011336158	0.14265339	0.060301734	0.027523199	0.01163447	0.036940557	0.015615329	0.035802925	0.015134434	0.096631343	0.040847521
concentration	_6_Phospho_D_gluconate	1.3455578e-05	5.687875e-06	1.4273134e-05	6.0334682e-06	6.5368177e-05	2.7632111e-05	1.2576884e-05	5.3164377e-06	1.9603331e-05	8.2866228e-06	2.9321153e-05	1.2394492e-05
concentration	Orthophosphate	0.015821284	0.0066878946	0.015629965	0.0066070213	0.008037336	0.0033975028	0.01080141	0.0045659184	0.011373051	0.0048075598	0.021884881	0.009251068
concentration	Pyruvate	0.12806304	0.054134173	0.093236594	0.03941251	0.04340254	0.018346906	0.37916148	0.16027726	0.15973091	0.067520659	0.18746584	0.079244627
concentration	NADPplus	0.2249939	0.095108304	0.19563786	0.082699064	0.092625153	0.039154045	0.21017905	0.088845846	0.14727672	0.062256085	0.08448461	0.035712915
concentration	NADPH	0.13794817	0.058312763	0.13013753	0.055011089	0.15272432	0.064558866	0.061293603	0.025909727	0.097694577	0.041296966	0.16129555	0.068182052
concentration	NADH	0.008389636	0.0035464253	0.014106638	0.0059630881	0.011227342	0.0047459661	0.0053458681	0.0022597788	0.010742918	0.0045411929	0.011448952	0.0048396441
concentration	NADplus	0.13865754	0.058612627	0.084309263	0.035638793	0.12334181	0.052138437	0.089648084	0.037895593	0.1129098	0.047728672	0.093656799	0.039590137
concentration	ATP	0.087387023	0.036939808	0.08528713	0.036052152	0.14954682	0.063215691	0.10595426	0.044788458	0.11510171	0.048655221	0.1045365	0.044189151
concentration	H2O	0.10195092	0.043096185	0.20866012	0.088203768	0.078453244	0.033163365	0.12971258	0.054831459	0.23044198	0.097411287	0.13241893	0.055975472
concentration	_2_Oxoglutarate	5.3460012	2.2598351	4.1997881	1.7753136	3.6116196	1.5266859	4.6221945	1.9538711	6.5044968	2.7495486	6.351359	2.6848149
concentration	Oxaloacetate	0.071088552	0.0300502	0.11604005	0.049051871	0.12185082	0.051508172	0.08570096	0.036227084	0.093666294	0.03959415	0.097142911	0.041063769
concentration	Ubiquinone	9.4370591e-05	3.9891867e-05	5.5912963e-05	2.363525e-05	0.00018463403	7.8047578e-05	0.00014803808	6.2577922e-05	0.00013146597	5.5572643e-05	0.00014279231	6.0360454e-05
concentration	D_Erythrose_4_phosphate	0.81590643	0.34489591	1.5739807	0.66534528	1.3199283	0.55795352	1.3114904	0.55438669	0.97081742	0.41037911	1.3435742	0.567949
concentration	Ubiquinol	8.2219265	3.4755319	10.303866	4.3555991	4.5994403	1.9442525	9.3331555	3.9452651	8.7799529	3.7114181	14.247692	6.0227137
concentration	ADP	0.015805129	0.0066810656	0.012939636	0.0054697786	0.014461393	0.0061130484	0.011331078	0.0047898171	0.0061822965	0.0026133497	0.011813791	0.0049938669
concentration	Isocitrate	0.00014494903	6.1272135e-05	0.00052145831	0.00022042827	0.0001109261	4.689013e-05	0.00016507624	6.9780208e-05	0.00017200668	7.2709811e-05	0.00051988647	0.00021976383
concentration	D_Ribulose_5_phosphate	0.32005638	0.13529264	0.3806279	0.16089714	0.49041054	0.20730391	0.42860478	0.18117768	0.4405136	0.18621172	0.31553911	0.13338312
concentration	D_Xylulose_5_phosphate	0.077822772	0.032896856	0.092580897	0.039135337	0.11921162	0.050392544	0.10419577	0.044045117	0.10711323	0.045278372	0.076710827	0.032426819
concentration	D_Glucose_6_phosphate	0.059667419	0.025222315	0.11661758	0.049296005	0.19781424	0.083619054	0.052541404	0.022210041	0.15136008	0.063982179	0.12481295	0.052760312
concentration	_3_Phospho_D_glyceroyl_phosphate	0.0025047279	0.0010587861	0.0028792143	0.0012170872	0.004428794	0.0018721178	0.0032849155	0.0013885832	0.0051262747	0.0021669534	0.00088574261	0.00037441671
concentration	CoA	0.93205591	0.39399405	2.0224162	0.85490573	1.4671428	0.62018331	2.2185858	0.93782956	1.697738	0.71765938	2.2040307	0.93167691
concentration	CO2	0.00011772588	4.9764499e-05	8.5716617e-05	3.6233703e-05	7.3996057e-05	3.1279246e-05	9.1042041e-05	3.8484839e-05	8.8001765e-05	3.7199669e-05	0.000162512	6.8696265e-05
concentration	D_Ribose_5_phosphate	0.12869163	0.054399889	0.14413369	0.060927478	0.091896374	0.038845979	0.13417735	0.056718783	0.08653859	0.036581163	0.14711163	0.062186298
concentration	Glycerone_phosphate	0.013119621	0.0055458609	0.015725034	0.0066472081	0.0069875589	0.0029537462	0.022263337	0.0094110473	0.012421192	0.0052506248	0.0096968822	0.0040990179
concentration	D_Glucose	8.9177776	3.7696786	9.1389529	3.8631728	4.1718549	1.7635058	9.3857598	3.9675018	9.3793776	3.9648039	13.329183	5.6344462
concentration	D_Fructose_1_6_bisphosphate	0.13815029	0.058398205	0.21509589	0.090924266	0.055400874	0.023418782	0.13471841	0.056947496	0.17185052	0.0726438	0.10308641	0.043576174
concentration	D_Glyceraldehyde_3_phosphate	0.097054657	0.041026462	0.12590965	0.0532239	0.073617694	0.031119306	0.055756059	0.023568924	0.12815159	0.054171602	0.097906179	0.041386414
concentration	Phosphoenolpyruvate	0.051120527	0.021609415	0.069585146	0.029414687	0.11897302	0.050291684	0.1311947	0.055457973	0.15133506	0.063971605	0.10518569	0.044463574
concentration	Citrate	1.6019869	0.67718393	2.473331	1.0455142	1.8999285	0.80312836	1.3908505	0.5879334	1.5200744	0.64255829	0.87483916	0.36980766
concentration	Succinyl_CoA	9.285902	3.9252904	10.419488	4.404474	7.2121046	3.048665	14.814447	6.2622892	21.005011	8.879134	8.9037761	3.76376
concentration	_3_Phospho_D_glycerate	0.015254628	0.0064483608	0.021236388	0.0089769404	0.03099038	0.013100099	0.033713201	0.014251077	0.035770015	0.015120523	0.030385726	0.012844503
concentration	D_Glucono_1_5_lactone_6_phosphate	0.80952228	0.34219724	0.91671358	0.38750861	1.0003452	0.42286094	0.87079687	0.36809893	1.1811491	0.4992895	0.56544193	0.2390208
concentration	D_Fructose_6_phosphate	0.12887285	0.054476492	0.15348643	0.064881023	0.11566931	0.048895158	0.14661896	0.061978037	0.16283069	0.068830982	0.18599139	0.078621357
concentration	_2_Phospho_D_glycerate	0.0031503912	0.0013317177	0.004289537	0.0018132518	0.0073269471	0.0030972107	0.0080717718	0.0034120593	0.0093224636	0.0039407455	0.0064796647	0.0027390517
concentration	Succinate	2.9793942	1.2594347	3.4943954	1.4771334	2.8399934	1.2005079	6.1580337	2.6030934	5.1134219	2.1615203	3.3951586	1.4351846
concentration	Sedoheptulose_7_phosphate	0.050021821	0.021144976	0.051402103	0.021728441	0.072104282	0.030479564	0.12168772	0.051439229	0.035008872	0.014798777	0.055903986	0.023631455
													
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'													
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
concentration of enzyme	PTS_RPTSsy	0.00073093593	0.00030897761	0.00098955856	0.00041830128	0.001195727	0.00050545178	0.00045181781	0.00019099018	0.0010973354	0.00046386016	0.00077935777	0.00032944624
concentration of enzyme	PGI_R02740	0.001981946	0.00083779837	0.0015366762	0.00064957612	0.001764438	0.00074585448	0.0011053098	0.00046723105	0.00093644956	0.0003958513	0.0016958009	0.00071684054
concentration of enzyme	PFK_R04779	0.0018376981	0.0007768226	0.0013749844	0.00058122659	0.0011509916	0.00048654144	0.0013371015	0.00056521291	0.0009213273	0.0003894589	0.00078614148	0.00033231382
concentration of enzyme	ALD_R01070	0.0013833361	0.00058475695	0.0011324571	0.00047870664	0.0011057415	0.00046741355	0.00043535905	0.00018403282	0.0006668503	0.00028188765	0.0016165222	0.00068332823
concentration of enzyme	TIM_R01015	0.00094785609	0.00040067302	0.00062844785	0.00026565435	0.001097617	0.0004639792	0.00062251861	0.00026314797	0.00099820788	0.00042195748	0.00065237448	0.0002757685
concentration of enzyme	GAP_R01061	0.00079764157	0.00033717508	0.00054736416	0.00023137906	0.00071161109	0.0003008087	0.0016321557	0.00068993674	0.00060659455	0.00025641663	0.0028553569	0.0012070023
concentration of enzyme	PGK_R01512	0.00068159636	0.00028812103	0.00059559605	0.0002517674	0.0011024634	0.00046602785	0.0010944939	0.000462659	0.000604262	0.00025543063	0.00043670302	0.00018460093
concentration of enzyme	PGM_R01518	0.0018553747	0.00078429477	0.001166614	0.00049314527	0.001638095	0.00069244736	0.0014756803	0.00062379223	0.00071075808	0.00030044812	0.0013128721	0.00055497076
concentration of enzyme	PGH_R00658	0.0010567944	0.00044672287	0.0010667485	0.00045093061	0.0011341027	0.00047940226	0.0005629764	0.00023797858	0.00092970199	0.00039299901	0.00055245096	0.00023352933
concentration of enzyme	PYK_R00200	0.0017467785	0.00073838951	0.00095452136	0.00040349053	0.0021999321	0.00092994438	0.0012747954	0.00053887517	0.0006854885	0.00028976629	0.0016521242	0.00069837775
concentration of enzyme	PDH_R00209	0.00080148853	0.00033880125	0.00052536065	0.00022207784	0.00040640563	0.00017179377	0.00082879414	0.00035034374	0.00081737446	0.00034551647	0.00038641798	0.00016334469
concentration of enzyme	ZWF_R00835	0.0016719078	0.00070674057	0.001790743	0.00075697398	0.002916073	0.0012326679	0.002741242	0.0011587642	0.0020912636	0.00088400855	0.0015391307	0.00065061367
concentration of enzyme	GLH_R02035	0.00060194401	0.00025445078	0.00055327048	0.00023387575	0.00073723748	0.00031164137	0.0004469489	0.00018893202	0.00074413476	0.00031455695	0.00036967657	0.00015626784
concentration of enzyme	PGD_R01528	0.0016939234	0.00071604689	0.0018230517	0.00077063137	0.0012213601	0.00051628729	0.0012490908	0.00052800948	0.0023837906	0.0010076641	0.0034757453	0.0014692498
concentration of enzyme	RPI_R01056	0.0010208728	0.00043153829	0.0007551575	0.00031921643	0.00079994773	0.00033814993	0.00069437946	0.00029352463	0.00071040007	0.00030029679	0.001429247	0.00060416419
concentration of enzyme	RPE_R01529	0.0010930494	0.00046204841	0.00052522037	0.00022201855	0.0014185164	0.00059962822	0.0019729297	0.00083398705	0.0016058506	0.00067881717	0.0022429379	0.00094812355
concentration of enzyme	TXT_R01641	0.0003897328	0.00016474591	0.00050295201	0.00021260538	0.00037583886	0.00015887274	0.00047250292	0.00019973409	0.00043064696	0.00018204094	0.00040156287	0.00016974666
concentration of enzyme	TAL_R08575	0.00031277368	0.00013221414	0.00063638264	0.00026900851	0.00094463734	0.0003993124	0.00027126207	0.00011466656	0.0010493164	0.00044356181	0.00039950244	0.00016887569
concentration of enzyme	TXT_R01067	0.0014445941	0.00061065165	0.0013180002	0.0005571385	0.0016199856	0.00068479228	0.0017663628	0.00074666812	0.0018096469	0.00076496493	0.00098328768	0.00041565048
concentration of enzyme	FBP_R00762	0.0017142687	0.00072464716	0.0029756855	0.001257867	0.0028152178	0.0011900349	0.0015597111	0.00065931332	0.0013870464	0.00058632536	0.002988589	0.0012633215
concentration of enzyme	CSN_R00351	0.0012125976	0.00051258323	0.0010027932	0.00042389578	0.0017272242	0.00073012363	0.0012976082	0.00054851849	0.0005385058	0.0002276345	0.0016650782	0.00070385356
concentration of enzyme	ACN_R01325	0.0010292829	0.00043509334	0.0016844209	0.00071203003	0.000855966	0.0003618297	0.0010798854	0.00045648379	0.00066587635	0.00028147594	0.0035305221	0.0014924048
concentration of enzyme	ACN_R01900	0.0040667636	0.0017190821	0.0008584559	0.00036288221	0.0015341627	0.00064851363	0.0015174511	0.0006414494	0.0012352365	0.00052215303	0.003157123	0.0013345634
concentration of enzyme	ICD_R00709	0.0027358746	0.0011564953	0.0026681553	0.0011278693	0.0037898839	0.0016020409	0.0023544863	0.00099527675	0.0021072336	0.00089075931	0.0027536984	0.0011640297
concentration of enzyme	KGD_R08549	0.00067490042	0.00028529055	0.00044672457	0.00018883719	0.00053404647	0.00022574947	0.00066009794	0.00027903332	0.00033899376	0.00014329776	0.0018663256	0.00078892389
concentration of enzyme	SCS_R00405	0.00074879009	0.00031652483	0.00073743845	0.00031172632	0.0022316034	0.00094333228	0.00061092411	0.0002582468	0.00023404408	9.8933951e-05	0.00062003859	0.00026209963
concentration of enzyme	SDH_R02164	0.00059429121	0.00025121583	0.0014404879	0.00060891587	0.0010243974	0.00043302817	0.0014096363	0.00059587446	0.0018206221	0.00076960435	0.00063732613	0.00026940733
concentration of enzyme	FUM_R01082	0.0017910036	0.00075708414	0.0011991109	0.0005068822	0.0020089981	0.00084923369	0.0019612617	0.0008290548	0.001708859	0.00072236041	0.0012810971	0.00054153902
concentration of enzyme	MDH_R00342	0.00051682238	0.00021846859	0.00051414108	0.00021733516	0.00040398822	0.00017077189	0.00064549306	0.00027285962	0.00098276708	0.00041543042	0.00029192186	0.00012339976
concentration of enzyme	PPC_R00345	0.00057767551	0.00024419212	0.001191816	0.00050379855	0.00072312643	0.00030567641	0.0020299899	0.00085810723	0.0008514039	0.00035990123	0.0017698981	0.00074816254
