!!!SBtab DocumentName='MB result' Document='MBresult' CalculationTime='1658.137358 s'							
							
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
concentration	cis_Aconitate	0.024701242	0.13139616	0.025351256	0.03402546	0.032977602	0.089005857
concentration	_6_Phospho_D_gluconate	1.2393755e-05	1.3146795e-05	6.0209766e-05	1.1584402e-05	1.805637e-05	2.7007328e-05
concentration	Orthophosphate	0.014572776	0.014396555	0.0074030843	0.0099490365	0.010475568	0.020157875
concentration	Pyruvate	0.11795718	0.085878998	0.039977508	0.34924064	0.14712604	0.17267231
concentration	NADPplus	0.20723892	0.18019946	0.085315808	0.19359316	0.13565465	0.077817661
concentration	NADPH	0.12706224	0.11986796	0.14067236	0.05645673	0.089985188	0.1485672
concentration	NADH	0.0077275832	0.012993439	0.010341357	0.0049240086	0.0098951601	0.010545479
concentration	NADplus	0.12771563	0.077656151	0.11360852	0.082573669	0.10399973	0.086266043
concentration	ATP	0.080491035	0.078556851	0.13774561	0.097593071	0.10601866	0.096287194
concentration	H2O	0.093905645	0.19219408	0.072262249	0.11947655	0.21225707	0.12196933
concentration	_2_Oxoglutarate	4.9241313	3.8683695	3.3266152	4.2574425	5.9912063	5.8501531
concentration	Oxaloacetate	0.065478729	0.10688296	0.11223518	0.078938025	0.086274789	0.089477055
concentration	Ubiquinone	8.6923507e-05	5.1500694e-05	0.00017006397	0.00013635592	0.00012109157	0.00013152411
concentration	D_Erythrose_4_phosphate	0.75152067	1.4497728	1.2157685	1.2079965	0.89420713	1.2375485
concentration	Ubiquinol	7.5731082	9.4907554	4.2364838	8.5966466	8.0870989	13.123362
concentration	ADP	0.014557896	0.011918528	0.013320199	0.010436907	0.0056944318	0.010881527
concentration	Isocitrate	0.00013351064	0.00048030838	0.00010217257	0.00015204955	0.00015843309	0.00047886058
concentration	D_Ribulose_5_phosphate	0.29479971	0.35059135	0.45171068	0.39478221	0.40575128	0.29063891
concentration	D_Xylulose_5_phosphate	0.07168153	0.085275044	0.10980425	0.095973349	0.098660583	0.070657331
concentration	D_Glucose_6_phosphate	0.054958873	0.10741492	0.18220409	0.048395195	0.13941577	0.11496357
concentration	_3_Phospho_D_glyceroyl_phosphate	0.0023070718	0.0026520064	0.0040793038	0.0030256924	0.004721744	0.00081584584
concentration	CoA	0.85850442	1.8628209	1.3513659	2.0435101	1.5637641	2.0301036
concentration	CO2	0.00010843576	7.8952447e-05	6.8156793e-05	8.3857624e-05	8.1057266e-05	0.00014968766
concentration	D_Ribose_5_phosphate	0.11853617	0.13275964	0.084644539	0.12358899	0.079709555	0.13550259
concentration	Glycerone_phosphate	0.01208431	0.014484121	0.0064361484	0.020506467	0.011440997	0.0089316704
concentration	D_Glucose	8.2140474	8.4177691	3.8426406	8.6450997	8.6392211	12.277335
concentration	D_Fructose_1_6_bisphosphate	0.12724841	0.19812199	0.051029015	0.12408735	0.15828925	0.094951531
concentration	D_Glyceraldehyde_3_phosphate	0.089395765	0.11597372	0.067808288	0.051356172	0.11803874	0.090180091
concentration	Phosphoenolpyruvate	0.047086444	0.064093961	0.10958448	0.12084171	0.13939273	0.096885157
concentration	Citrate	1.475569	2.2781526	1.7499991	1.281094	1.4001205	0.80580282
concentration	Succinyl_CoA	8.553122	9.5972527	6.6429745	13.645391	19.347439	8.2011508
concentration	_3_Phospho_D_glycerate	0.014050837	0.019560557	0.02854483	0.031052785	0.032947289	0.027987891
concentration	D_Glucono_1_5_lactone_6_phosphate	0.74564031	0.8443728	0.92140475	0.80207952	1.0879409	0.52082111
concentration	D_Fructose_6_phosphate	0.11870309	0.14137433	0.10654148	0.13504879	0.14998121	0.17131422
concentration	_2_Phospho_D_glycerate	0.0029017838	0.003951036	0.0067487544	0.0074348026	0.0085867984	0.0059683338
concentration	Succinate	2.7442808	3.2186415	2.6158805	5.6720837	4.7099056	3.1272358
concentration	Sedoheptulose_7_phosphate	0.046074441	0.047345799	0.066414304	0.11208496	0.032246211	0.051492425
							
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
concentration of enzyme	PTS_RPTSsy	0.00067325546	0.00091146935	0.0011013684	0.00041616344	0.0010107412	0.00071785617
concentration of enzyme	PGI_R02740	0.0018255444	0.0014154122	0.0016252006	0.0010180863	0.00086255135	0.0015619799
concentration of enzyme	PFK_R04779	0.0016926795	0.0012664801	0.0010601632	0.0012315866	0.00084862244	0.00072410456
concentration of enzyme	ALD_R01070	0.0012741726	0.0010430913	0.0010184839	0.00040100349	0.00061422703	0.0014889573
concentration of enzyme	TIM_R01015	0.00087305776	0.00057885504	0.0010110005	0.00057339369	0.00091943613	0.00060089353
concentration of enzyme	GAP_R01061	0.00073469714	0.00050416991	0.0006554556	0.0015033571	0.00055872624	0.0026300317
concentration of enzyme	PGK_R01512	0.00062780943	0.00054859567	0.0010154645	0.0010081239	0.00055657777	0.00040224139
concentration of enzyme	PGM_R01518	0.0017089612	0.0010745528	0.0015088277	0.0013592296	0.0006546699	0.0012092692
concentration of enzyme	PGH_R00658	0.00097339937	0.00098256795	0.0010446071	0.00051855014	0.00085633625	0.0005088553
concentration of enzyme	PYK_R00200	0.0016089346	0.00087919705	0.0020263285	0.0011741972	0.00063139443	0.0015217499
concentration of enzyme	PDH_R00209	0.00073824053	0.00048390277	0.00037433487	0.00076339137	0.00075287284	0.00035592451
concentration of enzyme	ZWF_R00835	0.0015399723	0.0016494298	0.0026859564	0.0025249219	0.0019262353	0.001417673
concentration of enzyme	GLH_R02035	0.0005544427	0.00050961014	0.00067905973	0.00041167874	0.00068541272	0.00034050422
concentration of enzyme	PGD_R01528	0.0015602505	0.0016791889	0.0011249787	0.0011505211	0.0021956781	0.0032014632
concentration of enzyme	RPI_R01056	0.00094031252	0.00069556562	0.00073682131	0.00063958377	0.00065434015	0.0013164606
concentration of enzyme	RPE_R01529	0.0010067934	0.00048377357	0.0013065768	0.0018172396	0.0014791278	0.0020659405
concentration of enzyme	TXT_R01641	0.00035897775	0.00046326247	0.00034618022	0.00043521621	0.00039666324	0.00036987427
concentration of enzyme	TAL_R08575	0.00028809172	0.00058616366	0.00087009301	0.00024985592	0.00096651151	0.00036797643
concentration of enzyme	TXT_R01067	0.0013305966	0.0012139926	0.0014921474	0.0016269735	0.0016668419	0.00090569332
concentration of enzyme	FBP_R00762	0.0015789903	0.0027408647	0.0025930601	0.0014366293	0.0012775902	0.0027527499
concentration of enzyme	CSN_R00351	0.0011169077	0.00092365964	0.0015909234	0.0011952098	0.0004960106	0.0015336815
concentration of enzyme	ACN_R01325	0.00094805888	0.0015514979	0.000788419	0.00099466822	0.00061332993	0.0032519174
concentration of enzyme	ACN_R01900	0.0037458424	0.00079071242	0.001413097	0.0013977042	0.00113776	0.0029079844
concentration of enzyme	ICD_R00709	0.0025199781	0.0024576027	0.0034908121	0.0021686863	0.0019409451	0.0025363953
concentration of enzyme	KGD_R08549	0.00062164188	0.00041147212	0.00049190317	0.00060800751	0.00031224269	0.0017190479
concentration of enzyme	SCS_R00405	0.00068970069	0.00067924484	0.0020555004	0.00056271415	0.00021557492	0.00057110938
concentration of enzyme	SDH_R02164	0.0005473938	0.0013268144	0.00094355893	0.0012983974	0.0016769511	0.0005870327
concentration of enzyme	FUM_R01082	0.0016496698	0.0011044852	0.0018504617	0.0018064923	0.0015740076	0.0011800017
concentration of enzyme	MDH_R00342	0.00047603828	0.00047356857	0.00037210822	0.00059455515	0.0009052138	0.00026888538
concentration of enzyme	PPC_R00345	0.0005320893	0.001097766	0.00066606223	0.0018697969	0.00078421691	0.0016302298
							
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
Gibbs energy of reaction	PTS_RPTSsy	-0.025961123	-0.0060936391	-0.0055518579	-0.061349479	-0.0098945371	-0.030307344
Gibbs energy of reaction	PGI_R02740	-2.8866708	-3.3819988	-4.193304	-2.6304754	-3.5836616	-3.2578268
Gibbs energy of reaction	PFK_R04779	-0.71811799	-0.62587826	-2.1498886	-1.3977302	-1.9478338	-1.8480232
Gibbs energy of reaction	ALD_R01070	-0.0039464645	-0.0026400285	-0.011326754	-0.003646074	-0.0088983163	-0.003151987
Gibbs energy of reaction	TIM_R01015	-1.7898239	-1.8689691	-2.1434127	-0.70670334	-2.1224683	-2.1008638
Gibbs energy of reaction	GAP_R01061	-1.8123079	-2.720685	-3.7443051	-3.0048786	-3.0333444	-1.1428949
Gibbs energy of reaction	PGK_R01512	-1.3277192	-1.6949311	-2.0926805	-2.3750108	-2.6778611	-3.5265746
Gibbs energy of reaction	PGM_R01518	-0.046230733	-0.024049747	-0.18146918	-0.19407061	-0.27890404	-0.078282901
Gibbs energy of reaction	PGH_R00658	-0.00041467362	-0.0001275122	-0.0010929957	-0.0020646802	-0.0008245779	-0.0008137169
Gibbs energy of reaction	PYK_R00200	-1.0196502	-0.56961894	-0.28095045	-1.6880393	-1.369422	-1.1494394
Gibbs energy of reaction	PDH_R00209	-4.0343949	-3.0701748	-3.3747904	-5.7210695	-4.4218673	-4.3038259
Gibbs energy of reaction	ZWF_R00835	-0.14246339	-0.32177797	-0.14484619	-0.40047661	-0.33188525	-0.18146085
Gibbs energy of reaction	GLH_R02035	-13.860411	-13.925777	-12.491425	-14.000909	-13.861904	-12.722659
Gibbs energy of reaction	PGD_R01528	-0.91929523	-1.0407458	-1.5482694	-1.5598505	-1.1884308	-0.25416802
Gibbs energy of reaction	RPI_R01056	-1.13998	-1.199983	-1.9034833	-1.3902748	-1.8562529	-0.99199292
Gibbs energy of reaction	RPE_R01529	-0.00033620586	-0.00065983547	-5.6655363e-05	-0.00013557317	-0.00034443402	-0.0001595109
Gibbs energy of reaction	TXT_R01641	-0.0018258919	-0.0012867856	-0.0022692965	-0.00069607075	-0.0033678831	-0.0012955329
Gibbs energy of reaction	TAL_R08575	-1.8998177	-1.3554783	-1.6161408	-1.6308977	-1.413176	-1.1540663
Gibbs energy of reaction	TXT_R01067	-1.8224904	-1.4268544	-0.53051147	-0.63075582	-1.8410235	-1.7137022
Gibbs energy of reaction	FBP_R00762	-5.5388643	-5.8189863	-5.4104668	-5.7663775	-5.853372	-4.5547757
Gibbs energy of reaction	CSN_R00351	-0.0080097327	-0.010683673	-0.0098534587	-0.0066368902	-0.0081372502	-0.011205278
Gibbs energy of reaction	ACN_R01325	-6.6021223	-5.3650801	-6.7467192	-6.1405375	-6.2606618	-4.7153138
Gibbs energy of reaction	ACN_R01900	-0.16876696	-0.55988319	-0.46225967	-0.35899729	-0.2865909	-0.17338734
Gibbs energy of reaction	ICD_R00709	-2.6518171	-3.4735274	-2.8324361	-3.1989169	-2.4651579	-2.7310613
Gibbs energy of reaction	KGD_R08549	-9.5328827	-9.2511912	-9.9030505	-10.059126	-9.3507577	-9.5822107
Gibbs energy of reaction	SCS_R00405	-3.4351085	-4.441906	-5.3969791	-5.4683983	-5.3028764	-4.6142277
Gibbs energy of reaction	SDH_R02164	-0.64442506	-0.84275961	-0.28516066	-0.2371756	-0.41298715	-0.46889525
Gibbs energy of reaction	FUM_R01082	-0.044889083	-0.18984062	-0.023961383	-0.02743758	-0.070640748	-0.06947425
Gibbs energy of reaction	MDH_R00342	-2.8060936	-4.5596879	-2.9294617	-2.3536655	-2.9342585	-3.9775646
Gibbs energy of reaction	PPC_R00345	-5.5035231	-5.9903131	-4.9847723	-4.6233225	-4.6549175	-5.0962857
