!!!SBtab DocumentName='CMB result' Document='CMBresult' CalculationTime='314.422555 s'					
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	S1	S2	S3	S4
concentration of enzyme	ACN_R01325	0.0036628634	0.0011670889	0.0013698643	0.0011414951
concentration of enzyme	ACN_R01900	0.0028504503	0.0025047371	0.004345509	0.0035742452
concentration of enzyme	ICD_R00709	0.0011267553	0.0034840768	0.0039447746	0.0033449477
concentration of enzyme	KGD_R08549	0.00038096434	0.00042064143	0.00056485776	0.00039393547
concentration of enzyme	SCS_R00405	0.00051345142	0.00082590678	0.00059915465	0.00041009446
concentration of enzyme	SDH_R02164	0.00039415215	0.00088408288	0.00062454915	0.00057700024
concentration of enzyme	FUM_R01082	0.0024279592	0.0016049176	5.4566831e-06	0.0020414558
concentration of enzyme	MDH_R00342	0.00050899616	0.00062721697	0.00059959687	0.00060025464
concentration of enzyme	PPC_R00345	0.0014059707	0.0010369826	0.0011096783	0.00062768537
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	S1	S2	S3	S4
Gibbs energy of reaction	PTS_RPTSsy	-0.51795208	-0.42584571	-1.1984481	-0.1016724
Gibbs energy of reaction	PGI_R02740	7.2439381	8.4326137	10.47739	6.5505756
Gibbs energy of reaction	PFK_R04779	-4.0241371	-4.171012	-0.40438482	-2.1866709
Gibbs energy of reaction	ALD_R01070	-0.83929698	-0.20089312	-1.0060929	-0.23247952
Gibbs energy of reaction	TIM_R01015	-3.7020182	-4.502018	-4.310441	-1.5854192
Gibbs energy of reaction	GAP_R01061	-11.502035	-14.150773	-16.577915	-16.266038
Gibbs energy of reaction	PGK_R01512	-2.1203299	-2.5725576	-4.2118207	-3.410513
Gibbs energy of reaction	PGM_R01518	-0.007223513	-0.016311842	-0.02675277	-0.02481485
Gibbs energy of reaction	PGH_R00658	-0.0013316723	-0.0019276295	-0.0020553824	-0.0016225165
Gibbs energy of reaction	PYK_R00200	2.7239098	3.8886018	5.3364205	1.2140579
Gibbs energy of reaction	PDH_R00209	0.35828194	-1.3434719	6.4746413	3.4956025
Gibbs energy of reaction	ZWF_R00835	9.7348424	7.7711055	7.3514439	12.501118
Gibbs energy of reaction	GLH_R02035	2.5462398	6.5998597	4.2907546	2.2471052
Gibbs energy of reaction	PGD_R01528	17.614023	17.499384	18.860707	20.131093
Gibbs energy of reaction	RPI_R01056	0.94528433	0.66600061	0.32777561	0.32960664
Gibbs energy of reaction	RPE_R01529	0.015414968	0.0074615537	0.016372707	0.015921449
Gibbs energy of reaction	TXT_R01641	0.13120334	0.047429236	0.032914056	0.074046125
Gibbs energy of reaction	TAL_R08575	4.28988	3.4860341	1.9867142	2.6395149
Gibbs energy of reaction	TXT_R01067	0.090691938	0.061801596	0.24334955	0.23963054
Gibbs energy of reaction	FBP_R00762	19.476303	20.147449	19.177217	19.984848
Gibbs energy of reaction	CSN_R00351	0.013746407	0.012721755	0.052728652	0.012962968
Gibbs energy of reaction	ACN_R01325	0.013802231	0.083161723	0.0089965281	0.10648824
Gibbs energy of reaction	ACN_R01900	0.012353379	0.025982339	0.00067717836	0.020115379
Gibbs energy of reaction	ICD_R00709	5.6814963	4.4746968	0.10032663	6.355654
Gibbs energy of reaction	KGD_R08549	9.8744839	9.5199398	7.4517696	11.385908
Gibbs energy of reaction	SCS_R00405	5.9275628	3.1225505	10.888867	5.0238346
Gibbs energy of reaction	SDH_R02164	0.087822101	0.026423914	0.3277641	0.022932833
Gibbs energy of reaction	FUM_R01082	0.00025146705	0.00024969338	0.10623635	0.00025004146
Gibbs energy of reaction	MDH_R00342	7.2958477	2.7172112	0.88652932	5.9972644
Gibbs energy of reaction	PPC_R00345	-9.2186975	-7.9571256	-10.548128	-11.31946
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	S1	S2	S3	S4
rate of reaction	PTS_RPTSsy	-0.00062087198	-0.0011198689	-0.0022037453	-0.00024752416
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	-0.00046572886	-0.00045932471	-3.5667498e-05	-0.00018978683
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-3.0063511e-06	-5.668636e-06	-1.4066715e-05	-7.1779785e-06
rate of reaction	PGK_R01512	-3.006338e-06	-5.6686355e-06	-1.4066715e-05	-7.1783921e-06
rate of reaction	PGM_R01518	-3.0063363e-06	-5.6686373e-06	-1.4066715e-05	-7.178501e-06
rate of reaction	PGH_R00658	-3.0063362e-06	-5.6686375e-06	-1.4066715e-05	-7.1785023e-06
rate of reaction	PYK_R00200	0.00062093071	0.0011197834	0.002203967	0.00024795895
rate of reaction	PDH_R00209	6.3847245e-08	-8.404791e-08	2.2171966e-07	4.4118068e-07
rate of reaction	ZWF_R00835	0.0017443008	0.0013038683	0.0010634684	0.0012394958
rate of reaction	GLH_R02035	0.0017446288	0.0013040544	0.0010634688	0.0012395158
rate of reaction	PGD_R01528	0.0017489088	0.0013066995	0.0010634747	0.0012397681
rate of reaction	RPI_R01056	0.00083516991	0.00054901018	0.00035465379	0.00040326433
rate of reaction	RPE_R01529	0.0009402957	0.00077714587	0.00070883358	0.00083774354
rate of reaction	TXT_R01641	0.00082108283	0.00054973369	0.00035465779	0.00040746583
rate of reaction	TAL_R08575	0.00082381476	0.00055764409	0.00035466477	0.00041098388
rate of reaction	TXT_R01067	0.00012578799	0.00023216399	0.0003541789	0.00043055916
rate of reaction	FBP_R00762	0.80379052	1.2058605	0.33838963	0.44865929
rate of reaction	CSN_R00351	8.6121898e-06	1.8652451e-05	2.5598489e-07	2.4897827e-05
rate of reaction	ACN_R01325	1.1787497e-05	2.5042297e-05	2.7352147e-07	3.1728892e-05
rate of reaction	ACN_R01900	5.0654852e-05	0.00010012976	4.9038457e-07	0.00011136309
rate of reaction	ICD_R00709	5.0901667e-05	0.0001006017	4.9177226e-07	0.000111867
rate of reaction	KGD_R08549	1.6307272e-05	1.8176815e-05	7.583237e-06	1.5414578e-05
rate of reaction	SCS_R00405	6.3633926e-06	3.8900034e-06	6.5564213e-06	2.0683402e-06
rate of reaction	SDH_R02164	6.6437932e-06	4.1567252e-06	6.5602077e-06	2.2124107e-06
rate of reaction	FUM_R01082	3.5412709e-05	1.706839e-05	7.9656699e-06	2.241296e-05
rate of reaction	MDH_R00342	5.9534622e-05	2.7894314e-05	9.1440105e-06	3.9350001e-05
rate of reaction	PPC_R00345	-2.5692192e-05	-1.668157e-05	-2.316208e-05	-1.6476091e-05
