!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
equilibrium constant		TAL_R08575	dimensionless	144.77923	NaN	NaN	NaN	NaN		
equilibrium constant		TXT_R01067	dimensionless	0.031837081	NaN	NaN	NaN	NaN		
equilibrium constant		FBP_R00762	dimensionless	3.4582002	NaN	NaN	NaN	NaN		
equilibrium constant		CSN_R00351	dimensionless	44.06801	NaN	NaN	NaN	NaN		
equilibrium constant		ACN_R01325	dimensionless	12.331745	NaN	NaN	NaN	NaN		
equilibrium constant		ACN_R01900	dimensionless	0.0063986988	NaN	NaN	NaN	NaN		
equilibrium constant		ICD_R00709	dimensionless	3.4312741	NaN	NaN	NaN	NaN		
equilibrium constant		KGD_R08549	dimensionless	0.18327491	NaN	NaN	NaN	NaN		
equilibrium constant		SCS_R00405	dimensionless	3.3674749	NaN	NaN	NaN	NaN		
equilibrium constant		SDH_R02164	dimensionless	88.583875	NaN	NaN	NaN	NaN		
equilibrium constant		FUM_R01082	dimensionless	0.83850383	NaN	NaN	NaN	NaN		
equilibrium constant		MDH_R00342	dimensionless	0.051370313	NaN	NaN	NaN	NaN		
equilibrium constant		PPC_R00345	dimensionless	1.3139402	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PTS_RPTSsy	1/s	5.2932089	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PGI_R02740	1/s	7.3979386	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PFK_R04779	1/s	33.21239	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		ALD_R01070	1/s	469.34565	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		TIM_R01015	1/s	12.986919	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		GAP_R01061	1/s	0.52861183	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PGK_R01512	1/s	39.395373	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PGM_R01518	1/s	0.1647448	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PGH_R00658	1/s	301173.53	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PYK_R00200	1/s	2.1394299	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PDH_R00209	1/s	0.021963701	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		ZWF_R00835	1/s	18982.461	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		GLH_R02035	1/s	0.0057006612	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PGD_R01528	1/s	62216.429	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		RPI_R01056	1/s	0.29167667	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		RPE_R01529	1/s	1431.431	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		TXT_R01641	1/s	2091.636	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		TAL_R08575	1/s	220.41607	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		TXT_R01067	1/s	2201.8526	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		FBP_R00762	1/s	75856.918	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		CSN_R00351	1/s	116.77524	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		ACN_R01325	1/s	1.2107019	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		ACN_R01900	1/s	4.7540758	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		ICD_R00709	1/s	659.70657	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		KGD_R08549	1/s	397004.48	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		SCS_R00405	1/s	398.00578	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		SDH_R02164	1/s	1353.439	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		FUM_R01082	1/s	10079.672	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		MDH_R00342	1/s	1.1349266	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		PPC_R00345	1/s	0.96896084	NaN	NaN	NaN	NaN		
product catalytic rate constant		PTS_RPTSsy	1/s	848157.59	NaN	NaN	NaN	NaN		
product catalytic rate constant		PGI_R02740	1/s	82.074602	NaN	NaN	NaN	NaN		
product catalytic rate constant		PFK_R04779	1/s	357.93653	NaN	NaN	NaN	NaN		
product catalytic rate constant		ALD_R01070	1/s	10245.244	NaN	NaN	NaN	NaN		
product catalytic rate constant		TIM_R01015	1/s	0.87083787	NaN	NaN	NaN	NaN		
product catalytic rate constant		GAP_R01061	1/s	5063.9175	NaN	NaN	NaN	NaN		
product catalytic rate constant		PGK_R01512	1/s	0.10623105	NaN	NaN	NaN	NaN		
product catalytic rate constant		PGM_R01518	1/s	1136.7515	NaN	NaN	NaN	NaN		
product catalytic rate constant		PGH_R00658	1/s	186.41074	NaN	NaN	NaN	NaN		
product catalytic rate constant		PYK_R00200	1/s	0.17263087	NaN	NaN	NaN	NaN		
product catalytic rate constant		PDH_R00209	1/s	23126.373	NaN	NaN	NaN	NaN		
product catalytic rate constant		ZWF_R00835	1/s	1.6866521	NaN	NaN	NaN	NaN		
product catalytic rate constant		GLH_R02035	1/s	67.574356	NaN	NaN	NaN	NaN		
product catalytic rate constant		PGD_R01528	1/s	4.8739541	NaN	NaN	NaN	NaN		
product catalytic rate constant		RPI_R01056	1/s	0.01895691	NaN	NaN	NaN	NaN		
product catalytic rate constant		RPE_R01529	1/s	133.35061	NaN	NaN	NaN	NaN		
product catalytic rate constant		TXT_R01641	1/s	535.34691	NaN	NaN	NaN	NaN		
product catalytic rate constant		TAL_R08575	1/s	0.0087757712	NaN	NaN	NaN	NaN		
product catalytic rate constant		TXT_R01067	1/s	0.40787515	NaN	NaN	NaN	NaN		
product catalytic rate constant		FBP_R00762	1/s	55.142497	NaN	NaN	NaN	NaN		
product catalytic rate constant		CSN_R00351	1/s	39.382025	NaN	NaN	NaN	NaN		
product catalytic rate constant		ACN_R01325	1/s	0.016108962	NaN	NaN	NaN	NaN		
product catalytic rate constant		ACN_R01900	1/s	11571.635	NaN	NaN	NaN	NaN		
product catalytic rate constant		ICD_R00709	1/s	554.91296	NaN	NaN	NaN	NaN		
product catalytic rate constant		KGD_R08549	1/s	0.16566921	NaN	NaN	NaN	NaN		
product catalytic rate constant		SCS_R00405	1/s	2984.97	NaN	NaN	NaN	NaN		
product catalytic rate constant		SDH_R02164	1/s	808.11923	NaN	NaN	NaN	NaN		
product catalytic rate constant		FUM_R01082	1/s	8035.9756	NaN	NaN	NaN	NaN		
product catalytic rate constant		MDH_R00342	1/s	9.548998	NaN	NaN	NaN	NaN		
product catalytic rate constant		PPC_R00345	1/s	0.035126421	NaN	NaN	NaN	NaN		
