!!!SBtab									
									
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'									
!QuantityType	!Reaction	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
rate of reaction	ACN_R01900	5.0654852e-05	0.012068736	0.00010012976	0.012078631	4.9038457e-07	0.012058703	0.00011136309	0.012080878
rate of reaction	ICD_R00709	5.0901667e-05	0.012068785	0.0001006017	0.012078725	4.9177226e-07	0.012058703	0.000111867	0.012080978
rate of reaction	KGD_R08549	1.6307272e-05	0.012061866	1.8176815e-05	0.01206224	7.583237e-06	0.012060122	1.5414578e-05	0.012061688
rate of reaction	SCS_R00405	6.3633926e-06	0.012059878	3.8900034e-06	0.012059383	6.5564213e-06	0.012059916	2.0683402e-06	0.012059019
rate of reaction	SDH_R02164	6.6437932e-06	0.012059934	4.1567252e-06	0.012059436	6.5602077e-06	0.012059917	2.2124107e-06	0.012059047
rate of reaction	FUM_R01082	3.5412709e-05	0.012065687	1.706839e-05	0.012062019	7.9656699e-06	0.012060198	2.241296e-05	0.012063088
rate of reaction	MDH_R00342	5.9534622e-05	0.012070512	2.7894314e-05	0.012064184	9.1440105e-06	0.012060434	3.9350001e-05	0.012066475
rate of reaction	PPC_R00345	-2.5692192e-05	0.012063743	-1.668157e-05	0.012061941	-2.316208e-05	0.012063237	-1.6476091e-05	0.0120619
									
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Compound	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
concentration	_S__Malate	0.13975646	0.02569384	0.10062373	0.018499396	0.028347327	0.0052115781	0.089154859	0.016390875
concentration	Acetyl_CoA	0.023364955	0.0042955827	0.033274207	0.0061173713	0.00073564461	0.00013524624	0.04497871	0.008269212
concentration	Fumarate	0.16668775	0.030645084	0.12001124	0.022063735	0.033809556	0.0062157938	0.10633854	0.019550049
concentration	cis_Aconitate	0.11236848	0.020658635	0.12905202	0.023725858	0.006965084	0.0012805115	0.13019112	0.023935278
concentration	_6_Phospho_D_gluconate	0.084098781	0.015461329	0.064756399	0.011905286	0.13637082	0.025071399	0.056756162	0.010434464
concentration	Orthophosphate	0.0014817008	0.00027240662	0.0014637834	0.00026911254	0.0007527156	0.00013838469	0.0010115777	0.00018597578
concentration	Pyruvate	0.14973021	0.027527487	0.10356456	0.01904006	0.062298102	0.011453335	0.39316723	0.072282713
concentration	NADPplus	0.0021071213	0.00038738845	0.001832195	0.00033684401	0.00086745655	0.0001594795	0.0019683768	0.00036188065
concentration	NADPH	0.0012919173	0.00023751544	0.0012187688	0.0002240673	0.0014302995	0.00026295663	0.00057402915	0.00010553368
concentration	NADH	0.00078570933	0.0001444505	0.0013211202	0.00024288431	0.0010514672	0.00019330935	0.00050065324	9.204372e-05
concentration	NADplus	0.0012985608	0.00023873683	0.00078957626	0.00014516142	0.0011551253	0.00021236661	0.0008395756	0.00015435366
concentration	ATP	0.00081840022	0.00015046063	0.00079873422	0.00014684509	0.0014005415	0.0002574857	0.00099228679	0.00018242919
concentration	H2O	0.00095479453	0.00017553635	0.0019541515	0.00035926538	0.00073473326	0.00013507869	0.0012147891	0.00022333564
concentration	_2_Oxoglutarate	0.38055623	0.069964216	0.3736749	0.068699101	0.23663643	0.043504956	0.44632488	0.0820556
concentration	Oxaloacetate	0.00066576117	0.00012239836	0.0010867426	0.00019979463	0.0011411618	0.00020979946	0.00080260984	0.00014755761
concentration	Ubiquinone	0.00088380299	0.00016248475	0.00052363818	9.6269438e-05	0.0017291415	0.0003178979	0.0013864118	0.00025488799
concentration	D_Erythrose_4_phosphate	3.591023	0.66019969	5.2346958	0.9623844	4.437754	0.81586885	3.6375723	0.66875766
concentration	Ubiquinol	0.00077000294	0.00014156292	0.00096498154	0.0001774092	0.0004307485	7.9191926e-05	0.00087407218	0.00016069576
concentration	ADP	0.0014801879	0.00027212846	0.0012118276	0.00022279117	0.0013543438	0.00024899239	0.0010611824	0.00019509546
concentration	Isocitrate	0.00071577388	0.00013159306	0.00081792683	0.0001503736	4.4557042e-05	8.1916895e-06	0.00082685281	0.00015201461
concentration	D_Ribulose_5_phosphate	0.41105961	0.075572177	0.42901079	0.078872453	0.2400999	0.044141706	0.28008786	0.051493381
concentration	D_Xylulose_5_phosphate	0.099332773	0.018262057	0.10397786	0.019116044	0.058019253	0.01066668	0.067663551	0.012439758
concentration	D_Glucose_6_phosphate	0.055879955	0.010273376	0.10921513	0.020078902	0.18525774	0.034059125	0.049206273	0.0090464378
concentration	_3_Phospho_D_glyceroyl_phosphate	0.00040310205	7.4109203e-05	0.00055932078	0.00010282959	0.00077723959	0.00014289336	0.0010727199	0.00019721661
concentration	CoA	0.074413241	0.01368067	0.1469581	0.027017842	0.065181221	0.011983388	0.14377688	0.026432984
concentration	CO2	0.0011025308	0.00020269726	0.00080275647	0.00014758457	0.00069299064	0.00012740442	0.00085263033	0.00015675374
concentration	D_Ribose_5_phosphate	0.35466786	0.065204709	0.41772735	0.076798023	0.26409705	0.048553515	0.30874299	0.056761548
concentration	Glycerone_phosphate	0.016772193	0.0030835216	0.015837942	0.002911762	0.010068264	0.0018510226	0.022648493	0.004163863
concentration	D_Glucose	8.3517104	1.535439	8.5588464	1.5735203	3.9070412	0.71829876	8.789987	1.6160149
concentration	D_Fructose_1_6_bisphosphate	0.12938103	0.023786346	0.20144241	0.037034632	0.051884234	0.0095387736	0.12616699	0.023195453
concentration	D_Glyceraldehyde_3_phosphate	0.09089399	0.01671061	0.11791737	0.021678784	0.068944719	0.012675297	0.052216874	0.0095999284
concentration	Phosphoenolpyruvate	0.047875587	0.0088017949	0.065168142	0.011980983	0.11142106	0.020484455	0.12286696	0.022588751
concentration	Citrate	0.0091605736	0.0016841462	0.010791584	0.0019840029	0.00056674922	0.00010419528	0.011013372	0.0020247781
concentration	Succinyl_CoA	0.14470519	0.026603651	0.16625359	0.030565266	0.22430952	0.041238687	0.23108156	0.042483708
concentration	_3_Phospho_D_glycerate	0.014916034	0.0027422719	0.020221609	0.0037176872	0.034402403	0.006324787	0.038016378	0.0069892064
concentration	D_Glucono_1_5_lactone_6_phosphate	0.01337337	0.0024586573	0.052773018	0.0097021741	0.044050963	0.0080986482	0.007986553	0.0014683058
concentration	D_Fructose_6_phosphate	0.12069249	0.022188981	0.14374369	0.026426882	0.10832706	0.019915631	0.13731213	0.025244458
concentration	_2_Phospho_D_glycerate	0.0029500499	0.00054235856	0.004014902	0.00073812868	0.0068631487	0.001261771	0.0075702126	0.0013917627
concentration	Succinate	0.0016937036	0.00031138274	0.0025207274	0.00046342879	0.00010695485	1.9663355e-05	0.00076379524	0.00014042165
concentration	Sedoheptulose_7_phosphate	0.17964732	0.033027665	0.175429	0.032252138	0.10657134	0.019592848	0.18840713	0.034638131
									
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Reaction	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
concentration of enzyme	PTS_RPTSsy	0.00044751568	8.2274526e-05	0.00092248036	0.00016959547	0.00055972503	0.00010290391	0.00081496753	0.00014982954
concentration of enzyme	PGI_R02740	0.001071424	0.00019697836	0.0022879755	0.00042063799	0.0018778328	0.00034523438	0.0018272361	0.00033593232
concentration of enzyme	PFK_R04779	0.00090729382	0.00016680347	0.00085104165	0.00015646166	0.00085945166	0.00015800782	0.00076438275	0.00014052966
concentration of enzyme	ALD_R01070	0.0010642404	0.00019565767	0.0017261815	0.00031735372	0.0007563022	0.00013904408	0.0007092276	0.00013038954
concentration of enzyme	TIM_R01015	0.0018870755	0.00034693363	0.00068903935	0.00012667799	0.0011222167	0.00020631645	0.00074877162	0.0001376596
concentration of enzyme	GAP_R01061	0.00084441224	0.00015524286	0.00084558751	0.00015545894	0.001206599	0.0002218299	0.00075847788	0.00013944407
concentration of enzyme	PGK_R01512	0.000907781	0.00016689304	0.0012158395	0.00022352875	0.00088221357	0.00016219254	0.00064565424	0.00011870175
concentration of enzyme	PGM_R01518	0.0014827369	0.0002725971	0.00094547229	0.00017382248	0.00092968525	0.00017092007	0.00052699763	9.6887064e-05
concentration of enzyme	PGH_R00658	0.00084474119	0.00015530334	0.00091804296	0.00016877967	0.001152542	0.00021189167	0.00077564262	0.00014259976
concentration of enzyme	PYK_R00200	0.0012761698	0.00023462031	0.0014223419	0.00026149364	0.0012245813	0.0002251359	0.00089443285	0.00016443902
concentration of enzyme	PDH_R00209	0.0007485841	0.00013762513	0.00023744718	4.3654011e-05	0.00064911111	0.00011933729	0.0008988318	0.00016524775
concentration of enzyme	ZWF_R00835	0.0014911799	0.00027414931	0.0015213314	0.0002796926	0.0013627147	0.00025053135	0.0010439604	0.00019192925
concentration of enzyme	GLH_R02035	0.0011702736	0.00021515158	0.00051978334	9.5560736e-05	0.00048530889	8.9222703e-05	0.0010030252	0.00018440343
concentration of enzyme	PGD_R01528	0.0022657467	0.0004165513	0.0026157129	0.00048089162	0.0012798003	0.00023528777	0.0017804224	0.00032732575
concentration of enzyme	RPI_R01056	0.00079496684	0.00014615246	0.00078453365	0.00014423435	0.0010842388	0.00019933431	0.0012202172	0.00022433358
concentration of enzyme	RPE_R01529	0.0013173663	0.00024219416	0.0021929936	0.00040317583	0.0010322925	0.00018978413	0.0011490635	0.00021125216
concentration of enzyme	TXT_R01641	0.00032611126	5.9954657e-05	0.00050755281	9.3312188e-05	0.00078508844	0.00014433635	0.00029711349	5.4623497e-05
concentration of enzyme	TAL_R08575	0.00049131781	9.0327427e-05	0.00047276784	8.6917066e-05	0.00079742417	0.00014660424	0.00056762074	0.00010435551
concentration of enzyme	TXT_R01067	0.00093240804	0.00017142065	0.002432644	0.0004472349	0.0012369458	0.00022740908	0.001357206	0.00024951859
concentration of enzyme	FBP_R00762	0.0023189086	0.00042632496	0.0024411918	0.00044880639	0.0022691785	0.00041718222	0.0013868611	0.0002549706
concentration of enzyme	CSN_R00351	0.000514512	9.4591615e-05	0.00078452235	0.00014423227	0.00079658289	0.00014644957	0.001078433	0.00019826693
concentration of enzyme	ACN_R01325	0.0037710672	0.00069330032	0.0012505059	0.00022990206	0.0014686441	0.00027000618	0.0011386942	0.0002093458
concentration of enzyme	ACN_R01900	0.0029187239	0.00053659936	0.0025534758	0.0004694495	0.0048196205	0.00088607395	0.0036060892	0.00066296957
concentration of enzyme	ICD_R00709	0.0011624437	0.00021371208	0.0036840351	0.0006772997	0.0041702816	0.00076669478	0.003413968	0.00062764861
concentration of enzyme	KGD_R08549	0.00038975213	7.1654857e-05	0.00042706908	7.8515474e-05	0.00058711557	0.00010793958	0.00038926956	7.1566136e-05
concentration of enzyme	SCS_R00405	0.00053816991	9.8941056e-05	0.00087323842	0.00016054248	0.00061528607	0.00011311865	0.00042222667	7.762521e-05
concentration of enzyme	SDH_R02164	0.00041330719	7.5985388e-05	0.00092742864	0.0001705052	0.00067597016	0.00012427525	0.00059067973	0.00010859484
concentration of enzyme	FUM_R01082	0.0026802885	0.00049276365	0.0023559813	0.00043314068	0.0028539591	0.00052469252	0.0017944993	0.00032991376
concentration of enzyme	MDH_R00342	0.00050448066	9.274738e-05	0.00063541838	0.00011681992	0.00061563964	0.00011318365	0.00062143843	0.00011424974
concentration of enzyme	PPC_R00345	0.0014294099	0.00026279308	0.0010314335	0.00018962621	0.0011454505	0.00021058793	0.0006259277	0.00011507508
