ATP1ter	0124#2
SULO	R00533
ACP1_FMN	R00548
RBFK	R00549
ARGN	R00551
ARGDI	R00552
ARGKr	R00554
NOPD	R00563
ARGDC	R00566
DCTPD2	R00568
NTP5	R00569
NDPK3	R00570
CTPS1	R00571
PYK4	R00572
CTPS2	R00573
CBPS	R00575
r0156	R00576
ASNS1	R00578
PSP	R00582
SPTc	R00585
SAT	R00586
SGAT	R00588
SERR	R00589
SERHL	R00590
PRDX	R00602
ALDD1	R00604
ALCD1	R00605
SARCOX	R00610
TDP	R00615
TMDPPK	R00616
TMPK	R00617
THMTP	R00618
TMDPK	R00619
r0163	R00621
METOX	R00648
HCYSMT	R00650
AHSERL	R00651
FMETDF	R00653
METGL	R00654
ENO	R00658
PYK2	R00659
UAGCVT	R00660
NTPP8	R00662
ORNTA	R00667
ACODA	R00669
ORDCh	R00670
ORNCD	R00671
TRPAS2	R00673
TRPS2	R00674
TRPOX	R00677
TRPO2	R00678
TRPTA	R00684
LTDCL	R00685
PHEOX	R00689
AROH	R00691
PHETA1	R00694
PHYCBOXL	R00699
NAD_H2	R00700
PSPPS	R00702
LDH_L	R00703
LDH_D	R00704
MMSAD3	R00705
P5CD	R00707
ICDHx	R00709
ALDD2x	R00710
ALDD2y	R00711
SSALx	R00713
SSALy	R00714
SACCD2	R00715
SACCD3m	R00716
GLYCLTDx	R00717
NTP10	R00719
NTPP9	R00720
NDPK9	R00722
PYK5	R00724
r0354	R00725
TYROX	R00729
TYRTA	R00734
TYRCBOX	R00736
ACCOAC	R00742
OCDOR	R00744
ALCD2y	R00746
PALDH	R00747
r0186	R00748
ETHAAL	R00749
HOPNTAL	R00750
THRA	R00751
ALCD2ir	R00754
PDCh	R00755
PFK	R00756
FBP	R00762
G6PDA	R00765
URCB	R00774
CYSDS	R00782
NTRIR2x	R00787
NTRIR2y	R00789
NO2R	R00790
NAR_syn	R00791
NITR	R00794
SUCR	R00801
SAGH	R00802
SPP	R00805
BZDIOLDH	R00813
CAT23DOX	R00816
CATDOX	R00817
3OXCOAT	R00829
ALASm	R00830
AST	R00832
MMM2	R00833
G6PDH2er	R00835
TRE6PH	R00837
G3PT	R00841
G3PD1	R00842
G3PD2	R00844
G3PO	R00846
GLYK	R00847
G3PD	R00848
G3PCT	R00856
SULR	R00858
SULR_ferr	R00859
CYSSADS	R00863
KHK	R00866
HEX7	R00867
MNLDH2	R00868
SBTD_D2	R00875
GDPMNP	R00881
MAN1PT2	R00883
MAN1PT	R00885
GMAND	R00888
CYS	R00891
CYSDO	R00893
GCL	R00894
CYSAT	R00895
CYSTA	R00896
CYSS	R00897
AMPTASECG	R00899
ALDD22x	R00904
BUPN	R00905
APATr	R00907
APAT2rm	R00908
PCNO	R00919
PCPPTh	R00921
MMSAD1	R00922
MMCD	R00923
PPCOAOm	R00924
ACACT10m	R00927
MCITS	R00931
MMSDH	R00935
DHFR2i	R00936
THFOR1	R00937
DHFR	R00939
THFOR2	R00940
FTHFDH	R00941
FTHFLi	R00943
FTHFD	R00944
GHMT2r	R00945
METS	R00946
GLGC	R00948
ADPGLC	R00951
UGLT	R00955
G1PCTYT	R00956
PGCM	R00959
IDPA	R00961
ITCY	R00962
NTD2	R00963
URIK1	R00964
OMPDC	R00965
UPPRT	R00966
UTUP	R00967
URIK2	R00968
URIK3	R00970
CSND	R00974
DURADx	R00977
DURAD	R00978
ANS2	R00985
ANS	R00986
KYN	R00987
TAL	R00996
ACCAHh	R00997
SHSL4h	R00999
2HBO	R01000
CYSTGL	R01001
ALKP	R01010
DHAK	R01011
DHAPT	R01012
TPI	R01015
MGSA	R01016
CHOLK	R01021
CHAT	R01023
ACHEe	R01026
CHOLSH	R01028
GPDDA1	R01030
GLYCDx	R01034
ALCD19	R01036
GLYCDy	R01039
ALCD19y	R01041
G2PP	R01043
GLYCDH	R01047
RPI	R01056
TRIOK	R01059
GAPD	R01061
GAPDH_nadp_hi	R01063
DDPGALA	R01064
DRPA	R01066
TKT2	R01067
FBA	R01068
TGBPA	R01069
FBAf	R01070
ATPPRT	R01071
GLUPRT	R01072
ANPRT	R01073
BACCL	R01074
URIH	R01080
FUM	R01082
ADSL1r	R01083
FUMAH	R01085
ARGSL	R01086
MALEI	R01087
LLEUDr	R01088
BCTA_glu_h	R01090
GALKh	R01092
GALOR	R01095
GALO	R01098
LACZe	R01100
DGGH	R01101
GGGH	R01104
GTHDH	R01108
CYSGLTH	R01113
ACNMCT	R01117
DPMVD	R01121
IDIh	R01123
NTD11	R01126
IMPC	R01127
IMPD	R01130
INSK	R01131
HXPRT	R01132
GMPR	R01134
ADSS	R01135
NDPK8	R01137
DAPOP	R01138
r0355	R01139
ALATA_D2	R01147
ALATA_D	R01148
ALAALAr	R01150
PTOR	R01151
CMPA	R01152
PTRCAT1	R01154
PTRCTA	R01155
AGMT	R01157
HDH	R01158
ARMT	R01159
HDC	R01167
HISDr	R01168
ACOAD1	R01171
BNORh	R01172
PBUTT	R01174
ACOA40OR	R01175
ACACT2	R01177
IBTMr	R01181
INS2D	R01183
INOSTO	R01184
MI1PP	R01185
MI4PP	R01186
MI3PP	R01187
GPDDA5	R01193
GALIGH	R01194
FNOR	R01195
POR_syn	R01196
AKGDam	R01197
ACGAMK	R01201
ACGAM2E	R01207
OIVD2	R01210
IPPS	R01213
BCTA_val_h	R01214
VPAMTr	R01215
2DHPFALDL	R01216
MTHFD2	R01218
MTHFD	R01220
GLYCL	R01221
MTHFO_nadp	R01224
MOHMT	R01226
GMP5N	R01227
GSNK	R01228
GPAR	R01229
GMPS	R01230
GMPS2	R01231
GCPN	R01234
ADD	R01244
ADNUC	R01245
P5CRx	R01248
P5CR	R01251
PROAKGOX1	R01252
DMALRED	R01257
NNAM	R01268
NNMT	R01269
NAPT	R01271
FACOAE160	R01274
ACOAR7m	R01278
ACOA160OR	R01279
FACOAL160	R01280
SERPT	R01281
CBL	R01286
AHHST	R01287
SHSL2	R01288
CYSTS	R01290
RHCCE	R01291
VNDH_2	R01293
4HBHYOX	R01298
BCOALIG2	R01300
4HBZFm	R01301
CHRPL	R01302
RE3511C	R01320
ACONT	R01324
ACONTa	R01325
AM6PTh	R01326
r0360	R01327
EMGH	R01329
r0361	R01330
GCALDD	R01333
PGLYCP	R01334
AACOAT	R01357
ACACCT	R01359
BDH	R01361
FUMAC	R01364
ADCim	R01366
PPOR	R01372
PPNDH	R01373
PPYRDC	R01377
UDPGLDC	R01384
UGE	R01385
GLYCDH_1	R01388
HPYRRy	R01392
HPYRDC	R01393
HPI	R01394
ASPCT	R01397
OCBT	R01398
MTAN	R01401
MTAP	R01402
MCSNAH	R01411
r0330	R01414
AGDI	R01416
BZDH	R01419
BCOALIG	R01422
NBAH	R01424
XYLOR	R01430
XYLR	R01431
XYLI1	R01432
VALDHr	R01434
LCADi	R01446
LacR	R01450
R01465m	R01465
THRS	R01466
ETHAK	R01468
GPDDA2	R01470
UA4E	R01473
GULND	R01481
GUI1	R01482
BZALDH	R01487
CBLAT	R01492
CERK_cho	R01495
GBA_cho	R01498
DHBS	R01504
DHBD	R01505
PGK	R01512
PGCD	R01513
GLYCK	R01514
ACPh	R01515
PGM	R01518
PRUK	R01523
RBK_Dr	R01526
GND	R01528
RPE	R01529
A5PISO	R01530
ALTRH	R01540
DDGLK	R01541
ATDAMh	R01547
DATCY	R01548
DATUP	R01549
ALCD20y	R01550
MPL	R01555
OXACOAL	R01558
ADA	R01560
PUNP1	R01561
3NTD7l	R01562
TMDK1	R01567
NTD5	R01569
TMDPP	R01570
ARAB1D1	R01574
ARAB1D2	R01575
ARABDI	R01577
3HPPD	R01608
4CMCOAS	R01616
APATT	R01618
ACOATA	R01624
MCOATA	R01626
DHSKDH	R01627
PCADYOX	R01631
XYLK	R01639
TKT1	R01641
GHBDHx	R01644
4H2KPILY	R01645
DHEDAA	R01647
ABTA	R01648
OIVD1m	R01651
OMCDC	R01652
MTHFC	R01655
DMATT	R01658
DCMPDA	R01663
NTD3	R01664
CYTK2	R01665
ADADir	R01666
NDP6	R01667
DCTPDPm	R01668
GUAD	R01676
GNNUC	R01677
LCYSTCBOXL	R01682
GCC2cm	R01698
ALDD16	R01704
PYDXOR	R01708
PYDXO_1	R01710
PYDXNO	R01711
CHORS	R01714
CHORM	R01715
ADCS	R01716
ICHORS	R01717
NAMNPP	R01724
PPND	R01728
PPND2	R01730
DMBZIDS	R01734
LCADi_D	R01735
GLYOX	R01736
GNK	R01737
2DGLCNRy	R01739
5DGLCNR	R01740
HOXPRm	R01745
TARTDC	R01751
GLYALDDr	R01752
HXAND	R01768
XAO2	R01769
INSH	R01770
HSK	R01771
HSDxi	R01773
HSDH	R01775
HSERTA	R01776
HSST	R01777
HACDp	R01778
FBA4	R01785
GLUKA	R01786
SBTRh	R01787
CDIPTr_cho	R01802
ACNPLYS	R01804
ACNML	R01811
r0402	R01813
PMANM	R01818
MAN6PI	R01819
E4PD	R01825
DDPA	R01826
TALA	R01827
FBA3	R01829
TKT2	R01830
PFK_3	R01843
SBP	R01845
NTPP1	R01855
NTPTP1	R01856
ATDGDm	R01857
AGPOP	R01858
PPCOAC	R01859
PUNP5	R01863
DHORDfum	R01867
DHORD_NAD	R01869
ORPT	R01870
QUINDH	R01872
QUIDH	R01873
CYSDDS	R01874
TSULR3e	R01875
PYNP2r	R01876
3NTD2pp	R01877
CYTD	R01878
DGTUP	R01880
NTRLASE3	R01887
CHLPCTD	R01890
RBTDG	R01895
XYLTD_D	R01896
r0422	R01899
ACONTb	R01900
XYLK2	R01901
KHK2	R01902
ABTD	R01903
XYLUR	R01904
DGULND	R01905
LYXI	R01906
OXCDC	R01908
PYDXNK	R01909
PDXPP	R01911
GSPMDS	R01917
GSPMDA	R01918
APAPTm	R01920
CYANST	R01931
2OXOADOXm	R01933
OXAGm	R01936
AMCOXO	R01938
AATA	R01939
CAFFCOA	R01943
F1PGT	R01951
ARGSS	R01954
FKYNH	R01959
KYN3OX	R01960
HEX10	R01961
r0363	R01964
r0364	R01965
DGNSK	R01967
NTD8	R01968
PUNP4	R01969
INDPYRD	R01974
HACD1	R01975
HBCO_nadp	R01976
GUI2	R01983
4ABUTD	R01986
AABTN	R01987
GUDBUTNAH	R01990
AABHH	R01992
DHORTS	R01993
FPPSh	R02003
RNTR1	R02014
TDSRh	R02016
RNDR1	R02017
RNDR4	R02018
RNDR2	R02019
RNTR2	R02020
PAPSR	R02021
RNTR3	R02022
RNTR4	R02023
RNDR3	R02024
METSOXR1	R02025
AHAL	R02026
CLS_cho	R02030
PGLCNDH	R02034
PGL	R02035
EDD	R02036
r0480	R02037
PETHCT	R02038
HIBDm	R02047
CEPTE	R02057
ACGAM6PS	R02058
AGDC	R02059
PGAMT	R02060
FRTT	R02061
GGDPR	R02063
PHYTES	R02065
AMANAPEr	R02087
NTD6	R02088
DADNK	R02089
DGK1	R02090
DGTCY	R02091
DTPH	R02092
NDPK4	R02093
DTMPK	R02094
NTP9	R02095
DTTGY	R02096
DTTUP	R02097
URIDK2m	R02098
DURIK1	R02099
DUTPDP	R02100
TMDS	R02101
NTD1	R02102
XAND	R02103
URAOX	R02106
XAO	R02107
RADH	R02123
RDH1	R02124
RAI1	R02126
METARHODOPSINH	R02127
TMN	R02133
TMK	R02134
THMP	R02135
CYTDH	R02137
XPPT	R02142
XTSNH	R02143
r1384	R02145
PUNP3	R02147
3NTD9pp	R02148
AO	R02150
SAMHISTA	R02155
Q23DO	R02156
NADH2r	R02163
TRYPTAOX	R02173
FERULCOAS	R02194
ILEOX	R02197
BCTAh	R02199
1PPDCRp	R02201
1PPDCRc	R02203
COA1819ZD9DS	R02222
DHFOR	R02235
FOLR2	R02236
DHFS	R02237
ACONIs	R02244
MEVK1	R02245
LCARS	R02258
LALDO3	R02260
FCLPA	R02262
RMPA	R02263
DHPD	R02269
G1SAT	R02272
APENTAMAH	R02273
APTNAT	R02274
ORNTAC	R02282
ACOTA	R02283
FGLU	R02285
FORGLUIH	R02286
GluForTx	R02287
IZPN	R02288
ASAD	R02291
PNP	R02294
NP1	R02295
PYNP1	R02296
PUNP7	R02297
FOMETRi	R02300
FTCL	R02301
FTAL	R02302
r0525	R02313
SACCD1	R02315
NMNDA	R02322
NMNHYD	R02323
RNMK	R02324
DCTPD	R02325
NDPK7	R02326
DCTUP	R02327
G1PTT	R02328
NTP8	R02330
NDPK6	R02331
DUTUP	R02332
G3PL	R02340
HSD17B8r	R02352
HSD17B1	R02353
RE1587C	R02355
RE2235C	R02356
TRETINOLPMTACT	R02367
3NTD4pp	R02370
DCTCP	R02371
DUTCP	R02372
ALCD3ir	R02377
TYROXDAc	R02382
RE2124C	R02384
BILIRED2	R02391
BILIRED	R02393
CSNATer	R02396
BBHOX	R02397
OXPTNDH	R02401
GLCOAS	R02402
ITCOALm	R02404
ITCOAL1m	R02405
CTINBL	R02408
AGMIS	R02411
SHKK	R02412
SHK3Dr	R02413
ALLTAHr	R02422
CDPGLC46DH	R02426
AATC	R02433
RMI	R02437
RBK_L1	R02439
MANAO	R02454
DORNOp	R02457
SGPL11r	R02464
P4502C93	R02470
DPR	R02472
PANTS	R02473
HEMELh	R02480
DURIPP	R02484
DCYTD	R02485
GLUTCOADHc	R02487
NHFRBO	R02492
PYDAMK	R02493
HYPOE	R02494
HGNTOR	R02519
34HPPOR	R02521
LALDO2x	R02527
ALR2	R02528
AACTOOR	R02529
GLYOX_1	R02530
ALCD22_L	R02531
41R2A1H12BOOX	R02532
SALMCOM	R02534
DOPABMO	R02535
ALDD19xr	R02536
ALDD19x_P	R02537
PACCOAL	R02539
AMID2	R02540
TARTRDH2	R02544
ABUTD	R02549
TAGURr	R02555
DADA	R02556
PUNP2	R02557
BETALDHx	R02565
BETALDHy	R02566
FBA2	R02568
2DOXG6PP	R02587
OP4ENH	R02601
4OD	R02602
HKNDDH	R02603
HMSH	R02604
ALCD25xi	R02611
PEAMNO	R02613
DOGULNR	R02637
GULN3D	R02640
ACGK	R02649
r0558	R02655
r0559	R02657
2DHGLCK	R02658
3HAO	R02665
HKYNH	R02668
ALDD20x	R02678
ALCD26xi	R02679
4HALDD	R02695
4HOXPACDOX_NADP	R02697
4HOXPACMON	R02698
PACCOAL2	R02699
M1PD	R02703
AMANK	R02705
NTD10	R02719
NTPP11	R02720
SERH	R02722
PGMT_B	R02728
FBP26	R02731
PFK26	R02732
DAPDA	R02733
SDPDS	R02734
DAPE	R02735
G6PBDH	R02736
UG6PGT	R02737
G6PI_1	R02739
PGIA	R02740
r0568	R02743
PUNP6	R02748
PPM2	R02749
DRBK	R02750
GLCRD	R02752
GLCRAL	R02754
HMSD	R02762
r0571	R02764
MME	R02765
TDPDRR	R02777
TRE6PP	R02778
2INSD	R02782
UAMAGS	R02783
UAAGLS2	R02786
BHMT	R02821
PSP_D	R02853
ACTD	R02855
ACTDa	R02856
SHCHF	R02864
ASAPT	R02869
SS	R02872
SMO	R02874
RHODOPSINRT	R02904
5HOXINOXDA	R02908
URCN	R02914
TYRTRS	R02918
DARGOp	R02923
SORD_D	R02925
MELTGH	R02926
GLNLASEer	R02933
URDGLYCD	R02935
OXAMTC	R02937
ACLDC	R02948
ALDD32	R02957
LCD	R02963
APNPT	R02971
PNCDC	R02972
PNTEH	R02973
SLCBK1	R02976
3DSPHR	R02978
3OADPCOAT	R02990
OXOAEL	R02991
DNADDP	R03004
NNATm	R03005
HISTP	R03013
RMK	R03014
PNTK	R03018
ECOAH1	R03026
VACOAI	R03031
GALCTND	R03033
APPAT	R03035
DPCOAPP	R03036
ICHORT	R03037
HPHL	R03045
LTC4Sr	R03059
DHPS2	R03067
ALCD21_D	R03080
LALDO	R03082
DHQS	R03083
DHQTi	R03084
RE3013C	R03090
NTRLASE	R03093
AMID3	R03096
AASAD3	R03102
MCPST	R03106
13GS	R03118
13PPDH	R03119
ACSERSULL	R03132
RBCh	R03140
3HPCOAHYD	R03158
UPP3S	R03165
UPP1S	R03166
GDBTALDH	R03177
OARGDC	R03178
AMID	R03180
MAAIn	R03181
DBTS	R03182
GLUFT	R03189
UAPGR	R03192
UAMAS	R03193
UPP3MT	R03194
UPPDC1	R03197
LNSTLS	R03199
CAS	R03200
CHCOAL	R03209
AOXSr	R03210
AHSL	R03217
CPPPGO	R03220
PPPGO_1	R03222
TMPPP	R03223
AMAOTr	R03231
PFK_2	R03236
FCLK	R03241
AOOAh	R03243
X5PL3E	R03244
PMEVK	R03245
KDOPS	R03254
SHSL1	R03260
PPCDC	R03269
BADP	R03288
HPROa	R03291
HPROb	R03293
3HPAOX	R03299
34DHALDD	R03300
34DHPLACOX_NADP	R03302
34DHPACDO	R03303
MUCCY_kt	R03307
G5DHx	R03313
G5SADrm	R03314
UACMAMO	R03317
G6PI2	R03321
34HPLFM	R03336
34HPPYRI	R03342
NT5C	R03346
NICRNS	R03347
NNDPR	R03348
PIK4_cho	R03361
PIK3_cho	R03362
PI3P3Pn_cho	R03363
MIHKPP	R03372
PCLYSOX	R03376
HOLYSK	R03378
DDGALK	R03387
STS1	R03404
DHEASULT	R03405
GDTP	R03409
RE0066C	R03424
GCCa	R03425
AGPR	R03443
MCITDm	R03444
IGPDH	R03457
APRAUR	R03458
DHPPDA2	R03459
PSCIT	R03460
PI4P5K_cho	R03469
4CMLCL_kt	R03470
HMPK1	R03471
ACGPID	R03482
HPPK2	R03503
DHNPA2r	R03504
IGPS	R03508
PRAI	R03509
CORE3GTg	R03513
CORE4GTg	R03514
NDPK10	R03530
NTPP10	R03531
HGDm	R03534
23CN2P1	R03537
23CN2P2	R03538
MALMDA	R03540
NTRLASE2	R03542
ALCD4	R03544
ALCD4y	R03545
GADOX	R03550
ALLK	R03576
SELNPS	R03595
SELTORc	R03600
ACSERL	R03601
LLOX13	R03626
STACHGALACT	R03634
ARGTRS	R03646
ASPTRS_Asn	R03647
ASNTRS	R03648
CYSTRS	R03650
GLUTRS_Gln	R03651
GLNTRS	R03652
GLYTLm	R03654
HISTRS	R03655
ILETRS	R03656
LEUTRS	R03657
LYSTRS	R03658
METTRS	R03659
PHETRS	R03660
PROTRS	R03661
SERTRS	R03662
THRTRS	R03663
TRPTRS	R03664
VALTLh	R03665
AOBUTDs	R03758
APPLDHr	R03759
CYEUOLCYCI	R03775
ACOAR3m	R03776
ACOA80OR	R03777
ACACT4m	R03778
GCCc	R03815
GCATENEC	R03824
ACOAR5m	R03856
ACOA120OR	R03857
ACACT6m	R03858
ALDH	R03869
MPML	R03877
AM6SAD	R03889
3MOPDC	R03894
CITCIb	R03898
RE1539C	R03899
GLNTRAT	R03905
GTHPDSOR	R03915
ABFPT	R03920
FFSD	R03921
23CN2P3	R03929
FMETTRS	R03940
SHCHD2	R03947
PC20M	R03948
MUCCYCI	R03959
4OT	R03966
IPPMIb	R03968
r0648	R03970
RE1835C	R03974
ACOAR6m	R03989
ACOA140OR	R03990
ACACT7m	R03991
GLPT	R03992
IPPMIa	R04001
APRTO2	R04025
NMPTRCOX	R04027
SUCBZL	R04030
PRADPh	R04035
PRACHh	R04037
DGC3D	R04049
ALDD20x_1	R04065
3MCAT23DOX	R04089
ACOAD8m	R04095
PENAM	R04103
GLUTRR	R04109
TFENFEOR	R04123
GCCb	R04125
OHEDH	R04132
ECH_3hivcoa	R04137
MCCC	R04138
MTRK	R04143
PPRGL	R04144
NNDMBRT	R04148
NPHS	R04150
AEPPYRTA	R04152
ECOAH5	R04170
3HXKYNDCL	R04172
PSAT	R04173
AOXHEXCYCL	R04175
SADH	R04189
HACD9	R04203
ECOAH9ir	R04204
PERD	R04210
ASNTRAT	R04212
SOTA	R04217
ECOAH12	R04224
PPNCL3	R04230
PPNCL2	R04231
MPOMT	R04237
MUCLI	R04260
r0673	R04285
PTHPS	R04286
QULNS	R04292
QUILSYN	R04293
42A12BOOX	R04300
DOPAMT	R04301
PCLAD	R04323
FPGFTh	R04325
FGFTh	R04326
KAS14	R04355
APATi	R04364
THDPS	R04365
HACNHm	R04371
HPPPNDO	R04376
ADPT2	R04378
CMHMI	R04379
BTNC	R04385
ACCOAC_1	R04386
APCPT	R04391
PI45P5P_cho	R04404
MHPGLUT	R04405
CMCMSAD	R04418
MTRI	R04420
MCITD	R04424
MICITDr	R04425
IPMD	R04426
SAM24MT	R04427
3HAD40_1	R04428
TDPAGTA	R04438
DMORh	R04439
KARI_23dhmb	R04440
DHAD1	R04441
PHCHGS	R04443
PHCD	R04444
r0686	R04445
HETZK	R04448
DLDLBT	R04457
ADAPAT	R04467
SDPTA	R04475
ACMAMUT	R04477
OMAIS	R04482
GLCNACT_cho	R04494
PMPK	R04509
PI345P3P_cho	R04513
3OAR40_1	R04533
3OAR100	R04534
3HAD100	R04535
3OAR80	R04536
3HAD80	R04537
3OAR160	R04543
3HAD160	R04544
PI45P3K_cho	R04545
USHD	R04549
U23GAAT	R04550
IG3PS	R04558
AICART	R04560
RE3556C	R04565
3OAR140	R04566
UAGAAT	R04567
3HAD140	R04568
UHGADA	R04587
RZ5PP	R04594
LPADSS	R04606
RE3519R	R04609
AKP1	R04620
DNMPPA	R04621
DNTPPA	R04638
r0708	R04639
PRICIh	R04640
TDSK	R04657
MOAT	R04658
APLh	R04672
ACAS_2ahbut	R04673
3DH5HPBMTm	R04711
HACD7	R04737
ECOAH7	R04738
HACD6	R04739
ECOAH6	R04740
HACD5	R04741
ACACT5r_1	R04742
HACD4	R04743
ECOAH4	R04744
HACD3	R04745
ECOAH3	R04746
HACD2	R04748
ECOAH2	R04749
RE1630C	R04762
RE2386C	R04764
SELMETAT	R04771
PFKh	R04779
BFBP	R04780
DASCBH	R04785
DMT	R04858
AHSERL4	R04859
HICITDm	R04862
34DHOXPEGOX	R04880
3MOXTYROX	R04890
3HXKYNOXDA	R04907
HPCOR	R04919
SELCYSTGL	R04930
SELCYSTL	R04941
SELCYSTS	R04942
ACHMSSELCYSL	R04945
SUCHMSSELCYSL	R04946
3OAR60	R04953
3HAD60	R04954
3OAR120	R04964
3HAD120	R04965
UPPDC2	R04972
OPHBDC	R04986
OHPHM	R04988
URFGTT	R04990
BDG2HCGHD	R04998
GLNSP2	R05030
BATHORHODOPSINI	R05041
r0775	R05046
r0777	R05048
SGSAD	R05049
NABTNO	R05050
4HGLSD	R05051
RE3566C	R05056
RE3567C	R05057
RE3421M	R05058
HIBH	R05064
HMNO	R05066
KARI_23dhmp	R05068
KARI	R05069
DHAD2	R05070
KARI_3hmoa	R05071
MOAT2	R05074
OHPBAT	R05085
4HTHRS	R05086
GAL3ST12_cho	R05105
GALGT3_cho	R05109
ST3GAL23g_cho	R05116
23CN2P4	R05135
HMSH3	R05138
PC6AR	R05150
AGMHE	R05176
PC17M	R05180
PC11M	R05181
CYRDAR2	R05218
R05219	R05219
ADOCBIK	R05221
ACBIPGT	R05222
ADOCBLS	R05223
ADOCBIAH	R05226
COCHL	R05227
VNTDM	R05274
4MBZALDH	R05282
PXMO	R05288
PTOLDOX	R05290
DH4MCHCDH	R05292
4MCAT23DOX	R05295
HMSH2	R05296
HOPNTAL2	R05298
3HOPCD	R05305
DH3MCHCDH	R05309
TAUDO	R05320
4HBCOAH	R05337
LCYG	R05341
3MBZALDH	R05347
HMSD2	R05353
4OD2	R05374
D5KGPA	R05378
4OT2	R05389
MXMO	R05443
AMID5	R05551
PABB	R05552
ADCL	R05553
ATRZCH	R05558
GLTPD	R05571
ASPTRS	R05577
GLUTRS	R05578
HOCCD	R05581
OGCOAAT	R05586
