,,,,,catabolic limitation,,,,,,,,,anabolic limitation,,,,,,,
,Pdh,PYR -> Acetyl-CoA,,mmol/h/gCDW,16.63,15.56,13.41,10.43,6.67,5.65,4.31,3.70,,15.22,13.52,14.99,10.74,9.03,8.49,7.94,6.70
,CS/Acn,Acetyl-CoA + OAA -> Icit,CS + ACN,mmol/h/gCDW,3.87,4.30,3.96,7.04,5.13,4.36,3.21,2.67,,4.78,4.10,4.55,4.10,3.90,3.84,4.09,3.68
,Icd,Icit -> aKG,,mmol/h/gCDW,3.87,4.30,3.96,7.04,5.13,4.36,3.21,2.67,,4.78,4.10,4.55,4.10,3.90,3.84,4.09,3.68
,aKG to Fumarate,aKG -> fumarate,"sucA+sucB+lpd, sucC+sucD, sdhA-D",mmol/h/gCDW,2.56,3.02,2.72,5.95,4.17,3.53,2.49,2.00,,3.47,2.84,3.28,2.79,2.45,2.12,2.15,1.74
,Fum,fumarate -> malate,,mmol/h/gCDW,2.56,3.02,2.72,5.95,4.17,3.53,2.49,2.00,,3.47,2.84,3.28,2.79,2.45,2.12,2.15,1.74
,Mdh,malate -> OAA,,mmol/h/gCDW,2.56,3.02,2.72,5.95,4.17,3.53,2.49,2.00,,3.47,2.84,3.28,2.79,2.45,2.12,2.15,1.74
,Malic enzymes,malate <-> PYR + CO2,,mmol/h/gCDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pck,PEP + CO2 -> OAA,absolute flux through Pck,mmol/h/gCDW,0.84,1.04,0.83,2.62,1.18,0.88,0.80,0.80,,2.02,1.73,0.89,1.36,1.58,1.02,1.31,0.49
,Ppc,OAA -> PEP + CO2,absolute flux through Ppc,mmol/h/gCDW,3.66,3.79,3.50,4.94,3.22,2.63,2.31,2.21,,4.82,4.44,3.60,3.68,3.88,3.50,3.80,2.82
,Acetate secretion,Acetyl-CoA -> acetate,,mmol/h/gCDW,10.53,9.08,7.35,1.61,0.00,0.00,0.00,0.00,,8.23,7.29,8.33,5.20,3.93,3.58,3.07,2.47
,Glyoxylate shunt,,,mmol/h/gCDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Transhydrogenase,exchange of NADH and NADPH,,mmol/h/gCDW,5.19,5.38,5.36,1.25,1.97,1.75,1.57,1.79,,4.20,4.90,5.71,4.07,2.95,1.99,0.11,0.00
,Respiration,O2 + 2 NADH -> 2*PO*ATP,calculated from TCA cycle flux,mmol/h/gCDW,22.70,22.25,19.41,22.78,15.44,13.04,9.81,8.12,,22.90,19.77,21.80,16.38,14.35,13.50,13.63,11.33
,2-oxoglutarate secretion,,,mmol/h/gCDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.40,0.71,1.03,1.48,1.69
,,,,,,,,,,,,,,,,,,,,,
STDEV,,,,,,,,,,,,,,,,,,,,,
,Reaction Name,Reaction,Comments,,,,,,,,,,,,,,,,,,
,Growth rate,,calculated based on exchange fluxes and flux ratios under constraints of measured growth rate and fluxes/ratios,[h-1],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,Glucose uptake,glucose + PEP -> G6P + PYR,uptake through PTS,mmol/h/gCDW,0.39,0.40,0.39,0.42,0.33,0.31,0.28,0.26,,0.40,0.41,0.42,0.37,0.36,0.35,0.35,0.33
,Zwf,G6P -> 6PG,ZWF + PGL,mmol/h/gCDW,0.11,0.10,0.10,0.09,0.09,0.08,0.08,0.09,,0.12,0.12,0.09,0.06,0.06,0.06,0.05,0.06
,Gnd,6PG -> P5P,,mmol/h/gCDW,0.11,0.10,0.10,0.09,0.08,0.07,0.08,0.07,,0.10,0.10,0.09,0.06,0.06,0.05,0.05,0.05
,Pgi,G6P -> F6P,,mmol/h/gCDW,0.32,0.34,0.32,0.35,0.25,0.24,0.20,0.18,,0.31,0.32,0.37,0.35,0.33,0.30,0.32,0.29
,ED pathway,6PG -> PYR + GAP,,mmol/h/gCDW,0.10,0.09,0.08,0.07,0.05,0.04,0.03,0.03,,0.10,0.09,0.09,0.06,0.05,0.06,0.05,0.04
,Pfk/FBA,F6P -> 2 GAP,PFK + FBA + TPI,mmol/h/gCDW,0.36,0.38,0.36,0.40,0.29,0.28,0.24,0.21,,0.35,0.36,0.41,0.36,0.35,0.31,0.34,0.31
,tktA,2 P5P -> GAP + S7P,,mmol/h/gCDW,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
,tktB,E4P + P5P -> F6P + GAP,,mmol/h/gCDW,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
,Transaldolase,GAP + S7P -> E4P + F6P,,mmol/h/gCDW,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
,GAPDH/Pgk,GAP ->  3PG,GAPDH + PGK,mmol/h/gCDW,0.74,0.76,0.75,0.82,0.61,0.58,0.50,0.46,,0.74,0.76,0.82,0.73,0.71,0.65,0.68,0.63
,PGA to PEP,3PG -> PEP,PGM + ENO,mmol/h/gCDW,0.74,0.76,0.74,0.82,0.60,0.56,0.49,0.44,,0.73,0.76,0.82,0.72,0.70,0.65,0.68,0.63
,PEP to PYR,PEP -> PYR,PTS flux + PYK flux,mmol/h/gCDW,0.73,0.76,0.74,0.81,0.56,0.52,0.43,0.37,,0.73,0.75,0.82,0.68,0.65,0.59,0.62,0.55
,Pdh,PYR -> Acetyl-CoA,,mmol/h/gCDW,0.75,0.76,0.76,0.82,0.55,0.50,0.40,0.34,,0.77,0.79,0.84,0.69,0.65,0.60,0.62,0.55
,CS/Acn,Acetyl-CoA + OAA -> Icit,CS + ACN,mmol/h/gCDW,0.46,0.52,0.48,0.85,0.55,0.49,0.38,0.32,,0.51,0.65,0.82,0.64,0.57,0.50,0.51,0.40
,Icd,Icit -> aKG,,mmol/h/gCDW,0.46,0.52,0.48,0.85,0.55,0.49,0.38,0.32,,0.51,0.65,0.82,0.64,0.57,0.50,0.51,0.40
,aKG to Fumarate,aKG -> fumarate,"sucA+sucB+lpd, sucC+sucD, sdhA-D",mmol/h/gCDW,0.45,0.52,0.47,0.85,0.54,0.48,0.36,0.30,,0.51,0.64,0.82,0.62,0.54,0.46,0.47,0.33
,Fum,fumarate -> malate,,mmol/h/gCDW,0.45,0.52,0.47,0.85,0.54,0.48,0.36,0.30,,0.51,0.64,0.82,0.62,0.54,0.46,0.47,0.33
,Mdh,malate -> OAA,,mmol/h/gCDW,0.45,0.52,0.47,0.85,0.54,0.48,0.36,0.30,,0.51,0.64,0.82,0.62,0.54,0.46,0.47,0.33
,Malic enzymes,malate <-> PYR + CO2,,mmol/h/gCDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pck,PEP + CO2 -> OAA,absolute flux through Pck,mmol/h/gCDW,0.48,0.48,0.42,0.72,0.29,0.24,0.20,0.19,,0.50,0.88,0.96,0.77,0.75,0.65,0.67,0.34
,Ppc,OAA -> PEP + CO2,absolute flux through Ppc,mmol/h/gCDW,0.49,0.48,0.43,0.71,0.30,0.26,0.23,0.22,,0.51,0.88,0.95,0.76,0.75,0.65,0.68,0.38
,Acetate secretion,Acetyl-CoA -> acetate,,mmol/h/gCDW,0.75,0.76,0.75,0.47,0.00,0.00,0.00,0.00,,0.75,0.77,0.81,0.47,0.46,0.46,0.46,0.46
,Glyoxylate shunt,,,mmol/h/gCDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Transhydrogenase,exchange of NADH and NADPH,,mmol/h/gCDW,0.86,0.90,0.87,1.22,0.97,0.92,0.85,0.81,,0.90,1.01,1.13,1.00,0.96,0.91,0.93,0.87
,Respiration,O2 + 2 NADH -> 2*PO*ATP,calculated from TCA cycle flux,mmol/h/gCDW,1.44,1.58,1.48,2.52,1.72,1.55,1.22,1.05,,1.56,1.86,2.26,1.88,1.69,1.47,1.52,1.20
,2-oxoglutarate secretion,,,mmol/h/gCDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.03,0.02,0.01,0.03,0.06
